#                                                                     
# $$\                                                                 
# $$ |                                                                
# $$ |     $$\   $$\ $$$$$$\$$$$\   $$$$$$\  $$$$$$$\                 
# $$ |     $$ |  $$ |$$  _$$  _$$\ $$  __$$\ $$  __$$\                
# $$ |     $$ |  $$ |$$ / $$ / $$ |$$$$$$$$ |$$ |  $$ |               
# $$ |     $$ |  $$ |$$ | $$ | $$ |$$   ____|$$ |  $$ |               
# $$$$$$$$\\$$$$$$  |$$ | $$ | $$ |\$$$$$$$\ $$ |  $$ |               
# \________|\______/ \__| \__| \__| \_______|\__|  \__|               
#                                                                     
#                   Fork Lumen 2.1.0                                  
#                   Branch is nlresp                                  
#        MPI+OpenMP+SLK+SLEPC+HDF5_MPI_IO Build                       
#               http://www.lumen-code.org                             
#
# Absorption @ Q(1):   1.00000000      0.00000000      0.00000000    [q->0 direction]
#
# [GEN] GF Energies                               : Perdew, Burke & Ernzerhof(X)+Perdew, Burke & Ernzerhof(C)
# [GEN] Green`s Function                          : Resonant
#
# [GEN] Gauge                                     : Length
# [GEN] [r,Vnl] included                          : yes
#
# DIP band range                                  :   1  10
# DIP band range limits                           :   5   6
# DIP e/h energy range                            :  -1.00000000     -1.00000000    [eV]
# RL vectors in the sum                           :  1837
# [r,Vnl] included                                : yes
# Bands ordered                                   : yes
# Direct v evaluation                             : no
# Approach used                                   : G-space v
# Dipoles computed                                : R V P [G-space]
# Wavefunctions                                   : Perdew, Burke & Ernzerhof(X)+Perdew, Burke & Ernzerhof(C)
#
#
# [K] Identifier                                  :   4782
# [K] Dimension                                   :   5315
# [K] Bands                                       :   1  10
# [K] Exchange res                                : yes
# [K] Correlation res                             : yes
# [K] Kernel`s coupling                           : no
# [K] Exchange cpl                                : no
# [K] Correlation cpl                             : no
# [K] W interaction is bare                       : no
# [K] ALDA kernel in R-space                      : no
# [K] RL vectors exchange                         :   531
# [K] RL vectors correlation                      :   89
# [K] E/h energy range                            :  -1.00000000     -1.00000000    [eV]
# [K] Coupling range                              :   100.000000      100.000000    [o/o]
# [W] Interaction is diagonal                     : no
# [W] Matrix size                                 :   89
# [W] Bands                                       :   1  10
# [W] e/h energy range                            :  -1.00000000     -1.00000000    [eV]
# [W] Poles                                       :   100.000000    [o/o]
# [W] RL vectors in the sum                       :  1837
# [W] [r,Vnl] included                            : yes
# [W] Field direction                             :  0.999999975E-5   0.00000000      0.00000000   
# [W] Coulomb Cutoff                              : none
# [W] Hxc Kernel                                  : HARTREE
# [RIM] RL components col                         : 0
# [RIM] Random points col                         : 0
# [SOC] Perturbative SOC                          : no
# [X] Response Kind                               : BAR
#
# Diamagnetic term                                
# Ao                                              :  -8.28586102    [nel]
# A                                               :  -8.48162937    [nel]
#
#    E[1] [eV]          Im(eps)            Re(eps)            Im(eps_o)          Re(eps_o)
#
        0.000000           0.746598E-3        1.173329           0.566513E-3        1.151577
        0.002000           0.746733E-3        1.173344           0.566601E-3        1.151589
        0.004000           0.746868E-3        1.173359           0.566690E-3        1.151600
        0.006000           0.747003E-3        1.173374           0.566779E-3        1.151612
        0.008000           0.747138E-3        1.173389           0.566868E-3        1.151623
        0.010000           0.747274E-3        1.173404           0.566956E-3        1.151634
        0.012000           0.747409E-3        1.173419           0.567045E-3        1.151646
        0.014000           0.747544E-3        1.173434           0.567134E-3        1.151657
        0.016000           0.747679E-3        1.173449           0.567222E-3        1.151668
        0.018000           0.747815E-3        1.173464           0.567311E-3        1.151680
        0.020000           0.747950E-3        1.173479           0.567400E-3        1.151691
        0.022000           0.748086E-3        1.173494           0.567488E-3        1.151702
        0.024000           0.748221E-3        1.173509           0.567577E-3        1.151713
        0.026000           0.748357E-3        1.173524           0.567666E-3        1.151725
        0.028000           0.748492E-3        1.173539           0.567755E-3        1.151736
        0.030000           0.748628E-3        1.173554           0.567844E-3        1.151748
        0.032000           0.748764E-3        1.173569           0.567933E-3        1.151759
        0.034000           0.748899E-3        1.173584           0.568021E-3        1.151770
        0.036000           0.749035E-3        1.173599           0.568110E-3        1.151782
        0.038000           0.749171E-3        1.173614           0.568199E-3        1.151793
        0.040000           0.749307E-3        1.173629           0.568289E-3        1.151804
        0.042000           0.749442E-3        1.173644           0.568378E-3        1.151816
        0.044000           0.749578E-3        1.173659           0.568467E-3        1.151827
        0.046000           0.749714E-3        1.173674           0.568556E-3        1.151839
        0.048000           0.749850E-3        1.173689           0.568645E-3        1.151850
        0.050000           0.749986E-3        1.173704           0.568734E-3        1.151861
        0.052000           0.750122E-3        1.173719           0.568823E-3        1.151873
        0.054000           0.750258E-3        1.173734           0.568912E-3        1.151884
        0.056000           0.750394E-3        1.173749           0.569001E-3        1.151896
        0.058000           0.750531E-3        1.173764           0.569090E-3        1.151907
        0.060000           0.750667E-3        1.173779           0.569179E-3        1.151918
        0.062000           0.750803E-3        1.173794           0.569269E-3        1.151930
        0.064000           0.750939E-3        1.173809           0.569358E-3        1.151941
        0.066000           0.751076E-3        1.173824           0.569447E-3        1.151952
        0.068000           0.751212E-3        1.173839           0.569536E-3        1.151964
        0.070000           0.751348E-3        1.173854           0.569626E-3        1.151975
        0.072000           0.751485E-3        1.173869           0.569715E-3        1.151987
        0.074000           0.751621E-3        1.173884           0.569804E-3        1.151998
        0.076000           0.751758E-3        1.173899           0.569894E-3        1.152009
        0.078000           0.751894E-3        1.173914           0.569983E-3        1.152021
        0.080000           0.752031E-3        1.173929           0.570072E-3        1.152032
        0.082000           0.752167E-3        1.173944           0.570162E-3        1.152044
        0.084000           0.752304E-3        1.173959           0.570251E-3        1.152055
        0.086000           0.752441E-3        1.173974           0.570341E-3        1.152066
