#                                                                     
# $$\                                                                 
# $$ |                                                                
# $$ |     $$\   $$\ $$$$$$\$$$$\   $$$$$$\  $$$$$$$\                 
# $$ |     $$ |  $$ |$$  _$$  _$$\ $$  __$$\ $$  __$$\                
# $$ |     $$ |  $$ |$$ / $$ / $$ |$$$$$$$$ |$$ |  $$ |               
# $$ |     $$ |  $$ |$$ | $$ | $$ |$$   ____|$$ |  $$ |               
# $$$$$$$$\\$$$$$$  |$$ | $$ | $$ |\$$$$$$$\ $$ |  $$ |               
# \________|\______/ \__| \__| \__| \_______|\__|  \__|               
#                                                                     
#                   Fork Lumen 2.1.0                                  
#                   Branch is nlresp                                  
#        MPI+OpenMP+SLK+SLEPC+HDF5_MPI_IO Build                       
#               http://www.lumen-code.org                             
#
# Absorption @ Q(1):   1.00000000      0.00000000      0.00000000    [q->0 direction]
#
# [GEN] GF Energies                               : Perdew, Burke & Ernzerhof(X)+Perdew, Burke & Ernzerhof(C)
# [GEN] Green`s Function                          : Resonant
#
# [GEN] Gauge                                     : Length
# [GEN] [r,Vnl] included                          : yes
#
# DIP band range                                  :   1  10
# DIP band range limits                           :   5   6
# DIP e/h energy range                            :  -1.00000000     -1.00000000    [eV]
# RL vectors in the sum                           :  1837
# [r,Vnl] included                                : yes
# Bands ordered                                   : yes
# Direct v evaluation                             : no
# Approach used                                   : G-space v
# Dipoles computed                                : R V P [G-space]
# Wavefunctions                                   : Perdew, Burke & Ernzerhof(X)+Perdew, Burke & Ernzerhof(C)
#
#
# [K] Identifier                                  :   9539
# [K] Dimension                                   :  2048
# [K] Bands                                       :   1  10
# [K] Exchange res                                : yes
# [K] Correlation res                             : yes
# [K] Kernel`s coupling                           : no
# [K] Exchange cpl                                : no
# [K] Correlation cpl                             : no
# [K] W interaction is bare                       : no
# [K] ALDA kernel in R-space                      : no
# [K] RL vectors exchange                         :   531
# [K] RL vectors correlation                      :   89
# [K] E/h energy range                            :  -1.00000000     -1.00000000    [eV]
# [K] Coupling range                              :   100.000000      100.000000    [o/o]
# [W] Interaction is diagonal                     : no
# [W] Matrix size                                 :   89
# [W] Bands                                       :   1  10
# [W] e/h energy range                            :  -1.00000000     -1.00000000    [eV]
# [W] Poles                                       :   100.000000    [o/o]
# [W] RL vectors in the sum                       :  1837
# [W] [r,Vnl] included                            : yes
# [W] Field direction                             :  0.999999975E-5   0.00000000      0.00000000   
# [W] Coulomb Cutoff                              : none
# [W] Hxc Kernel                                  : HARTREE
# [RIM] RL components col                         : 0
# [RIM] Random points col                         : 0
# [SOC] Perturbative SOC                          : no
# [X] Response Kind                               : BAR
#
# Diamagnetic term                                
# Ao                                              :  -9.64503479    [nel]
# A                                               :  -9.67371559    [nel]
#
#    E[1] [eV]          Im(eps)            Re(eps)            Im(eps_o)          Re(eps_o)
#
        0.000000           0.655036E-5        1.004903           0.553102E-5        1.004506
        0.002000           0.655071E-5        1.004903           0.553129E-5        1.004506
        0.004000           0.655106E-5        1.004903           0.553156E-5        1.004506
        0.006000           0.655141E-5        1.004903           0.553183E-5        1.004506
        0.008000           0.655177E-5        1.004903           0.553210E-5        1.004506
        0.010000           0.655212E-5        1.004903           0.553238E-5        1.004506
        0.012000           0.655247E-5        1.004904           0.553265E-5        1.004506
        0.014000           0.655282E-5        1.004904           0.553292E-5        1.004506
        0.016000           0.655317E-5        1.004904           0.553319E-5        1.004506
        0.018000           0.655352E-5        1.004904           0.553346E-5        1.004506
        0.020000           0.655387E-5        1.004904           0.553374E-5        1.004507
        0.022000           0.655422E-5        1.004904           0.553401E-5        1.004507
        0.024000           0.655457E-5        1.004904           0.553428E-5        1.004507
        0.026000           0.655492E-5        1.004905           0.553455E-5        1.004507
        0.028000           0.655527E-5        1.004905           0.553483E-5        1.004507
        0.030000           0.655562E-5        1.004905           0.553510E-5        1.004507
        0.032000           0.655597E-5        1.004905           0.553537E-5        1.004507
        0.034000           0.655632E-5        1.004905           0.553564E-5        1.004507
        0.036000           0.655668E-5        1.004905           0.553591E-5        1.004508
        0.038000           0.655703E-5        1.004905           0.553618E-5        1.004508
        0.040000           0.655738E-5        1.004905           0.553646E-5        1.004508
        0.042000           0.655773E-5        1.004905           0.553673E-5        1.004508
        0.044000           0.655808E-5        1.004906           0.553700E-5        1.004508
        0.046000           0.655843E-5        1.004906           0.553728E-5        1.004508
        0.048000           0.655878E-5        1.004906           0.553755E-5        1.004508
        0.050000           0.655913E-5        1.004906           0.553782E-5        1.004508
        0.052000           0.655948E-5        1.004906           0.553809E-5        1.004508
        0.054000           0.655984E-5        1.004906           0.553836E-5        1.004508
        0.056000           0.656019E-5        1.004906           0.553864E-5        1.004509
        0.058000           0.656054E-5        1.004907           0.553891E-5        1.004509
        0.060000           0.656089E-5        1.004907           0.553918E-5        1.004509
        0.062000           0.656124E-5        1.004907           0.553946E-5        1.004509
        0.064000           0.656159E-5        1.004907           0.553973E-5        1.004509
        0.066000           0.656194E-5        1.004907           0.554000E-5        1.004509
        0.068000           0.656230E-5        1.004907           0.554027E-5        1.004509
        0.070000           0.656265E-5        1.004907           0.554055E-5        1.004509
        0.072000           0.656300E-5        1.004907           0.554082E-5        1.004509
        0.074000           0.656335E-5        1.004908           0.554109E-5        1.004510
        0.076000           0.656370E-5        1.004908           0.554136E-5        1.004510
        0.078000           0.656405E-5        1.004908           0.554164E-5        1.004510
        0.080000           0.656440E-5        1.004908           0.554191E-5        1.004510
        0.082000           0.656476E-5        1.004908           0.554218E-5        1.004510
        0.084000           0.656511E-5        1.004908           0.554245E-5        1.004510
        0.086000           0.656546E-5        1.004908           0.554273E-5        1.004510
        0.088000           0.656581E-5        1.004909           0.554300E-5        1.004510
        0.090000           0.656616E-5        1.004909           0.554327E-5        1.004511
        0.092000           0.656652E-5        1.004909           0.554355E-5        1.004511
        0.094000           0.656687E-5        1.004909           0.554382E-5        1.004511
        0.096000           0.656722E-5        1.004909           0.554409E-5        1.004511
        0.098000           0.656757E-5        1.004909           0.554436E-5        1.004511
        0.100000           0.656792E-5        1.004909           0.554464E-5        1.004511
        0.102000           0.656827E-5        1.004910           0.554491E-5        1.004511
        0.104000           0.656862E-5        1.004910           0.554518E-5        1.004511
        0.106000           0.656898E-5        1.004910           0.554546E-5        1.004511
        0.108000           0.656933E-5        1.004910           0.554573E-5        1.004511
        0.110000           0.656968E-5        1.004910           0.554600E-5        1.004512
        0.112000           0.657003E-5        1.004910           0.554627E-5        1.004512
        0.114000           0.657039E-5        1.004910           0.554655E-5        1.004512
        0.116000           0.657074E-5        1.004910           0.554682E-5        1.004512
        0.118000           0.657109E-5        1.004910           0.554709E-5        1.004512
        0.120000           0.657144E-5        1.004911           0.554737E-5        1.004512
        0.122000           0.657179E-5        1.004911           0.554764E-5        1.004512
        0.124000           0.657215E-5        1.004911           0.554791E-5        1.004512
        0.126000           0.657250E-5        1.004911           0.554819E-5        1.004512
        0.128000           0.657285E-5        1.004911           0.554846E-5        1.004513
        0.130000           0.657320E-5        1.004911           0.554873E-5        1.004513
        0.132000           0.657356E-5        1.004911           0.554901E-5        1.004513
        0.134000           0.657391E-5        1.004912           0.554928E-5        1.004513
        0.136000           0.657426E-5        1.004912           0.554955E-5        1.004513
        0.138000           0.657461E-5        1.004912           0.554983E-5        1.004513
        0.140000           0.657497E-5        1.004912           0.555010E-5        1.004513
        0.142000           0.657532E-5        1.004912           0.555037E-5        1.004513
        0.144000           0.657567E-5        1.004912           0.555065E-5        1.004514
        0.146000           0.657602E-5        1.004912           0.555092E-5        1.004514
        0.148000           0.657638E-5        1.004912           0.555119E-5        1.004514
        0.150000           0.657673E-5        1.004913           0.555147E-5        1.004514
        0.152000           0.657708E-5        1.004913           0.555174E-5        1.004514
        0.154000           0.657743E-5        1.004913           0.555201E-5        1.004514
        0.156000           0.657779E-5        1.004913           0.555229E-5        1.004514
        0.158000           0.657814E-5        1.004913           0.555256E-5        1.004514
        0.160000           0.657849E-5        1.004913           0.555283E-5        1.004514
        0.162000           0.657884E-5        1.004913           0.555311E-5        1.004514
        0.164000           0.657920E-5        1.004914           0.555338E-5        1.004515
        0.166000           0.657955E-5        1.004914           0.555365E-5        1.004515
        0.168000           0.657990E-5        1.004914           0.555393E-5        1.004515
        0.170000           0.658026E-5        1.004914           0.555420E-5        1.004515
        0.172000           0.658061E-5        1.004914           0.555448E-5        1.004515
        0.174000           0.658096E-5        1.004914           0.555475E-5        1.004515
        0.176000           0.658131E-5        1.004914           0.555502E-5        1.004515
        0.178000           0.658167E-5        1.004914           0.555530E-5        1.004515
        0.180000           0.658202E-5        1.004915           0.555557E-5        1.004516
        0.182000           0.658237E-5        1.004915           0.555584E-5        1.004516
        0.184000           0.658273E-5        1.004915           0.555612E-5        1.004516
        0.186000           0.658308E-5        1.004915           0.555639E-5        1.004516
        0.188000           0.658343E-5        1.004915           0.555666E-5        1.004516
        0.190000           0.658379E-5        1.004915           0.555694E-5        1.004516
        0.192000           0.658414E-5        1.004915           0.555721E-5        1.004516
        0.194000           0.658449E-5        1.004915           0.555749E-5        1.004516
        0.196000           0.658485E-5        1.004916           0.555776E-5        1.004516
        0.198000           0.658520E-5        1.004916           0.555803E-5        1.004516
        0.200000           0.658555E-5        1.004916           0.555831E-5        1.004517
        0.202000           0.658591E-5        1.004916           0.555858E-5        1.004517
        0.204000           0.658626E-5        1.004916           0.555886E-5        1.004517
        0.206000           0.658661E-5        1.004916           0.555913E-5        1.004517
        0.208000           0.658697E-5        1.004916           0.555940E-5        1.004517
        0.210000           0.658732E-5        1.004917           0.555968E-5        1.004517
        0.212000           0.658767E-5        1.004917           0.555995E-5        1.004517
        0.214000           0.658803E-5        1.004917           0.556023E-5        1.004517
        0.216000           0.658838E-5        1.004917           0.556050E-5        1.004517
        0.218000           0.658873E-5        1.004917           0.556077E-5        1.004518
        0.220000           0.658909E-5        1.004917           0.556105E-5        1.004518
        0.222000           0.658944E-5        1.004917           0.556132E-5        1.004518
        0.224000           0.658979E-5        1.004918           0.556160E-5        1.004518
        0.226000           0.659015E-5        1.004918           0.556187E-5        1.004518
        0.228000           0.659050E-5        1.004918           0.556215E-5        1.004518
        0.230000           0.659085E-5        1.004918           0.556242E-5        1.004518
        0.232000           0.659121E-5        1.004918           0.556269E-5        1.004518
        0.234000           0.659156E-5        1.004918           0.556297E-5        1.004519
        0.236000           0.659192E-5        1.004918           0.556324E-5        1.004519
        0.238000           0.659227E-5        1.004918           0.556352E-5        1.004519
        0.240000           0.659262E-5        1.004919           0.556379E-5        1.004519
        0.242000           0.659298E-5        1.004919           0.556406E-5        1.004519
        0.244000           0.659333E-5        1.004919           0.556434E-5        1.004519
        0.246000           0.659369E-5        1.004919           0.556461E-5        1.004519
        0.248000           0.659404E-5        1.004919           0.556489E-5        1.004519
        0.250000           0.659439E-5        1.004919           0.556516E-5        1.004519
        0.252000           0.659475E-5        1.004919           0.556544E-5        1.004519
        0.254000           0.659510E-5        1.004919           0.556571E-5        1.004520
        0.256000           0.659545E-5        1.004920           0.556598E-5        1.004520
        0.258000           0.659581E-5        1.004920           0.556626E-5        1.004520
        0.260000           0.659616E-5        1.004920           0.556653E-5        1.004520
        0.262000           0.659652E-5        1.004920           0.556681E-5        1.004520
        0.264000           0.659687E-5        1.004920           0.556708E-5        1.004520
        0.266000           0.659723E-5        1.004920           0.556736E-5        1.004520
        0.268000           0.659758E-5        1.004920           0.556763E-5        1.004520
        0.270000           0.659794E-5        1.004920           0.556791E-5        1.004521
        0.272000           0.659829E-5        1.004921           0.556818E-5        1.004521
        0.274000           0.659864E-5        1.004921           0.556846E-5        1.004521
        0.276000           0.659900E-5        1.004921           0.556873E-5        1.004521
        0.278000           0.659935E-5        1.004921           0.556901E-5        1.004521
        0.280000           0.659971E-5        1.004921           0.556928E-5        1.004521
        0.282000           0.660006E-5        1.004921           0.556956E-5        1.004521
        0.284000           0.660042E-5        1.004921           0.556983E-5        1.004521
        0.286000           0.660077E-5        1.004922           0.557010E-5        1.004521
        0.288000           0.660113E-5        1.004922           0.557038E-5        1.004521
        0.290000           0.660148E-5        1.004922           0.557066E-5        1.004522
        0.292000           0.660183E-5        1.004922           0.557093E-5        1.004522
        0.294000           0.660219E-5        1.004922           0.557120E-5        1.004522
        0.296000           0.660254E-5        1.004922           0.557148E-5        1.004522
        0.298000           0.660290E-5        1.004922           0.557176E-5        1.004522
        0.300000           0.660325E-5        1.004923           0.557203E-5        1.004522
        0.302000           0.660361E-5        1.004923           0.557230E-5        1.004522
        0.304000           0.660396E-5        1.004923           0.557258E-5        1.004522
        0.306000           0.660432E-5        1.004923           0.557285E-5        1.004522
        0.308000           0.660467E-5        1.004923           0.557313E-5        1.004523
        0.310000           0.660503E-5        1.004923           0.557340E-5        1.004523
        0.312000           0.660538E-5        1.004923           0.557368E-5        1.004523
        0.314000           0.660574E-5        1.004923           0.557395E-5        1.004523
        0.316000           0.660609E-5        1.004924           0.557423E-5        1.004523
        0.318000           0.660645E-5        1.004924           0.557450E-5        1.004523
        0.320000           0.660680E-5        1.004924           0.557478E-5        1.004523
        0.322000           0.660716E-5        1.004924           0.557505E-5        1.004523
        0.324000           0.660751E-5        1.004924           0.557533E-5        1.004524
        0.326000           0.660787E-5        1.004924           0.557561E-5        1.004524
        0.328000           0.660822E-5        1.004924           0.557588E-5        1.004524
        0.330000           0.660858E-5        1.004925           0.557616E-5        1.004524
        0.332000           0.660893E-5        1.004925           0.557643E-5        1.004524
        0.334000           0.660929E-5        1.004925           0.557671E-5        1.004524
        0.336000           0.660964E-5        1.004925           0.557698E-5        1.004524
        0.338000           0.661000E-5        1.004925           0.557726E-5        1.004524
        0.340000           0.661036E-5        1.004925           0.557753E-5        1.004524
        0.342000           0.661071E-5        1.004925           0.557781E-5        1.004524
        0.344000           0.661107E-5        1.004925           0.557808E-5        1.004525
        0.346000           0.661142E-5        1.004925           0.557836E-5        1.004525
        0.348000           0.661178E-5        1.004926           0.557863E-5        1.004525
        0.350000           0.661213E-5        1.004926           0.557891E-5        1.004525
        0.352000           0.661249E-5        1.004926           0.557918E-5        1.004525
        0.354000           0.661284E-5        1.004926           0.557946E-5        1.004525
        0.356000           0.661320E-5        1.004926           0.557974E-5        1.004525
        0.358000           0.661355E-5        1.004926           0.558001E-5        1.004525
        0.360000           0.661391E-5        1.004926           0.558029E-5        1.004526
        0.362000           0.661426E-5        1.004927           0.558056E-5        1.004526
