#                                                                     
# $$\                                                                 
# $$ |                                                                
# $$ |     $$\   $$\ $$$$$$\$$$$\   $$$$$$\  $$$$$$$\                 
# $$ |     $$ |  $$ |$$  _$$  _$$\ $$  __$$\ $$  __$$\                
# $$ |     $$ |  $$ |$$ / $$ / $$ |$$$$$$$$ |$$ |  $$ |               
# $$ |     $$ |  $$ |$$ | $$ | $$ |$$   ____|$$ |  $$ |               
# $$$$$$$$\\$$$$$$  |$$ | $$ | $$ |\$$$$$$$\ $$ |  $$ |               
# \________|\______/ \__| \__| \__| \_______|\__|  \__|               
#                                                                     
#                   Fork Lumen 2.1.0                                  
#                   Branch is nlresp                                  
#        MPI+OpenMP+SLK+SLEPC+HDF5_MPI_IO Build                       
#               http://www.lumen-code.org                             
#
# Absorption @ Q(1):   1.00000000      0.00000000      0.00000000    [q->0 direction]
#
# [GEN] GF Energies                               : Perdew, Burke & Ernzerhof(X)+Perdew, Burke & Ernzerhof(C)
# [GEN] Green`s Function                          : Resonant
#
# [GEN] Gauge                                     : Length
# [GEN] [r,Vnl] included                          : yes
#
# DIP band range                                  :   1  10
# DIP band range limits                           :   5   6
# DIP e/h energy range                            :  -1.00000000     -1.00000000    [eV]
# RL vectors in the sum                           :  1837
# [r,Vnl] included                                : yes
# Bands ordered                                   : yes
# Direct v evaluation                             : no
# Approach used                                   : G-space v
# Dipoles computed                                : R V P [G-space]
# Wavefunctions                                   : Perdew, Burke & Ernzerhof(X)+Perdew, Burke & Ernzerhof(C)
#
#
# [K] Identifier                                  :  1533
# [K] Dimension                                   :   512
# [K] Bands                                       :   1  10
# [K] Exchange res                                : yes
# [K] Correlation res                             : yes
# [K] Kernel`s coupling                           : no
# [K] Exchange cpl                                : no
# [K] Correlation cpl                             : no
# [K] W interaction is bare                       : no
# [K] ALDA kernel in R-space                      : no
# [K] RL vectors exchange                         :   531
# [K] RL vectors correlation                      :   89
# [K] E/h energy range                            :  -1.00000000     -1.00000000    [eV]
# [K] Coupling range                              :   100.000000      100.000000    [o/o]
# [W] Interaction is diagonal                     : no
# [W] Matrix size                                 :   89
# [W] Bands                                       :   1  10
# [W] e/h energy range                            :  -1.00000000     -1.00000000    [eV]
# [W] Poles                                       :   100.000000    [o/o]
# [W] RL vectors in the sum                       :  1837
# [W] [r,Vnl] included                            : yes
# [W] Field direction                             :  0.999999975E-5   0.00000000      0.00000000   
# [W] Coulomb Cutoff                              : none
# [W] Hxc Kernel                                  : HARTREE
# [RIM] RL components col                         : 0
# [RIM] Random points col                         : 0
# [SOC] Perturbative SOC                          : no
# [X] Response Kind                               : BAR
#
# Diamagnetic term                                
# Ao                                              :  -9.93602467    [nel]
# A                                               :  -9.93784428    [nel]
#
#    E[1] [eV]          Im(eps)            Re(eps)            Im(eps_o)          Re(eps_o)
#
        0.000000           0.895872E-6        1.000749           0.845658E-6        1.000728
        0.002000           0.895915E-6        1.000749           0.845697E-6        1.000728
        0.004000           0.895958E-6        1.000749           0.845736E-6        1.000728
        0.006000           0.896000E-6        1.000749           0.845776E-6        1.000728
        0.008000           0.896043E-6        1.000749           0.845815E-6        1.000728
        0.010000           0.896086E-6        1.000749           0.845854E-6        1.000728
        0.012000           0.896129E-6        1.000749           0.845894E-6        1.000728
        0.014000           0.896172E-6        1.000749           0.845933E-6        1.000728
        0.016000           0.896215E-6        1.000749           0.845972E-6        1.000728
        0.018000           0.896258E-6        1.000749           0.846012E-6        1.000728
        0.020000           0.896301E-6        1.000749           0.846051E-6        1.000728
        0.022000           0.896344E-6        1.000749           0.846090E-6        1.000728
        0.024000           0.896387E-6        1.000749           0.846130E-6        1.000728
        0.026000           0.896430E-6        1.000749           0.846169E-6        1.000728
        0.028000           0.896472E-6        1.000749           0.846209E-6        1.000728
        0.030000           0.896515E-6        1.000749           0.846248E-6        1.000728
        0.032000           0.896558E-6        1.000749           0.846287E-6        1.000728
        0.034000           0.896601E-6        1.000750           0.846327E-6        1.000728
        0.036000           0.896644E-6        1.000750           0.846366E-6        1.000728
        0.038000           0.896687E-6        1.000750           0.846405E-6        1.000728
        0.040000           0.896730E-6        1.000750           0.846445E-6        1.000728
        0.042000           0.896773E-6        1.000750           0.846484E-6        1.000728
        0.044000           0.896816E-6        1.000750           0.846524E-6        1.000728
        0.046000           0.896859E-6        1.000750           0.846563E-6        1.000728
        0.048000           0.896902E-6        1.000750           0.846602E-6        1.000728
        0.050000           0.896945E-6        1.000750           0.846642E-6        1.000728
        0.052000           0.896988E-6        1.000750           0.846681E-6        1.000728
        0.054000           0.897031E-6        1.000750           0.846720E-6        1.000728
        0.056000           0.897074E-6        1.000750           0.846760E-6        1.000728
        0.058000           0.897117E-6        1.000750           0.846799E-6        1.000728
        0.060000           0.897160E-6        1.000750           0.846839E-6        1.000728
        0.062000           0.897203E-6        1.000750           0.846878E-6        1.000728
        0.064000           0.897246E-6        1.000750           0.846918E-6        1.000728
        0.066000           0.897289E-6        1.000750           0.846957E-6        1.000728
        0.068000           0.897332E-6        1.000750           0.846996E-6        1.000728
        0.070000           0.897375E-6        1.000750           0.847036E-6        1.000728
        0.072000           0.897418E-6        1.000750           0.847075E-6        1.000728
        0.074000           0.897460E-6        1.000750           0.847115E-6        1.000729
        0.076000           0.897504E-6        1.000750           0.847154E-6        1.000729
        0.078000           0.897547E-6        1.000750           0.847194E-6        1.000729
        0.080000           0.897590E-6        1.000750           0.847233E-6        1.000729
        0.082000           0.897633E-6        1.000750           0.847272E-6        1.000729
        0.084000           0.897676E-6        1.000750           0.847312E-6        1.000729
        0.086000           0.897719E-6        1.000750           0.847351E-6        1.000729
