E[1] [eV],Im(eps)_f_FzB_4,Im(eps)_f_FzB_5,Im(eps)_f_FzB_6,Im(eps)_f_FzB_7,Im(eps)_f_FzB_8,Im(eps)_f_FzB_9
0.000000,0.00074660,0.00000868,0.00000655,0.00000528,0.00000314,0.00000090
0.002000,0.00074673,0.00000868,0.00000655,0.00000528,0.00000314,0.00000090
0.004000,0.00074687,0.00000868,0.00000655,0.00000528,0.00000314,0.00000090
0.006000,0.00074700,0.00000868,0.00000655,0.00000528,0.00000314,0.00000090
0.008000,0.00074714,0.00000868,0.00000655,0.00000528,0.00000314,0.00000090
0.010000,0.00074727,0.00000868,0.00000655,0.00000528,0.00000314,0.00000090
0.012000,0.00074741,0.00000868,0.00000655,0.00000528,0.00000314,0.00000090
0.014000,0.00074754,0.00000868,0.00000655,0.00000528,0.00000314,0.00000090
0.016000,0.00074768,0.00000868,0.00000655,0.00000528,0.00000314,0.00000090
0.018000,0.00074781,0.00000869,0.00000655,0.00000528,0.00000314,0.00000090
0.020000,0.00074795,0.00000869,0.00000655,0.00000528,0.00000314,0.00000090
0.022000,0.00074809,0.00000869,0.00000655,0.00000528,0.00000314,0.00000090
0.024000,0.00074822,0.00000869,0.00000655,0.00000528,0.00000314,0.00000090
0.026000,0.00074836,0.00000869,0.00000655,0.00000528,0.00000314,0.00000090
0.028000,0.00074849,0.00000869,0.00000656,0.00000528,0.00000314,0.00000090
0.030000,0.00074863,0.00000869,0.00000656,0.00000528,0.00000314,0.00000090
0.032000,0.00074876,0.00000869,0.00000656,0.00000528,0.00000314,0.00000090
0.034000,0.00074890,0.00000869,0.00000656,0.00000528,0.00000314,0.00000090
0.036000,0.00074904,0.00000869,0.00000656,0.00000528,0.00000314,0.00000090
0.038000,0.00074917,0.00000869,0.00000656,0.00000528,0.00000314,0.00000090
0.040000,0.00074931,0.00000869,0.00000656,0.00000528,0.00000314,0.00000090
0.042000,0.00074944,0.00000869,0.00000656,0.00000528,0.00000314,0.00000090
0.044000,0.00074958,0.00000869,0.00000656,0.00000528,0.00000314,0.00000090
0.046000,0.00074971,0.00000869,0.00000656,0.00000528,0.00000314,0.00000090
0.048000,0.00074985,0.00000869,0.00000656,0.00000528,0.00000314,0.00000090
0.050000,0.00074999,0.00000869,0.00000656,0.00000528,0.00000314,0.00000090
0.052000,0.00075012,0.00000869,0.00000656,0.00000528,0.00000314,0.00000090
0.054000,0.00075026,0.00000869,0.00000656,0.00000528,0.00000314,0.00000090
0.056000,0.00075039,0.00000869,0.00000656,0.00000528,0.00000314,0.00000090
0.058000,0.00075053,0.00000869,0.00000656,0.00000528,0.00000314,0.00000090
0.060000,0.00075067,0.00000870,0.00000656,0.00000528,0.00000314,0.00000090
0.062000,0.00075080,0.00000870,0.00000656,0.00000528,0.00000314,0.00000090
0.064000,0.00075094,0.00000870,0.00000656,0.00000528,0.00000314,0.00000090
0.066000,0.00075108,0.00000870,0.00000656,0.00000528,0.00000314,0.00000090
0.068000,0.00075121,0.00000870,0.00000656,0.00000528,0.00000314,0.00000090
0.070000,0.00075135,0.00000870,0.00000656,0.00000529,0.00000314,0.00000090
0.072000,0.00075148,0.00000870,0.00000656,0.00000529,0.00000314,0.00000090
0.074000,0.00075162,0.00000870,0.00000656,0.00000529,0.00000314,0.00000090
0.076000,0.00075176,0.00000870,0.00000656,0.00000529,0.00000314,0.00000090
0.078000,0.00075189,0.00000870,0.00000656,0.00000529,0.00000314,0.00000090
0.080000,0.00075203,0.00000870,0.00000656,0.00000529,0.00000314,0.00000090
0.082000,0.00075217,0.00000870,0.00000656,0.00000529,0.00000314,0.00000090
0.084000,0.00075230,0.00000870,0.00000657,0.00000529,0.00000314,0.00000090
0.086000,0.00075244,0.00000870,0.00000657,0.00000529,0.00000314,0.00000090
0.088000,0.00075258,0.00000870,0.00000657,0.00000529,0.00000314,0.00000090
0.090000,0.00075271,0.00000870,0.00000657,0.00000529,0.00000314,0.00000090
