E[1] [eV],Re(eps)_f_FzB_4,Re(eps)_f_FzB_5,Re(eps)_f_FzB_6,Re(eps)_f_FzB_7,Re(eps)_f_FzB_8,Re(eps)_f_FzB_9
0.000000,1.17332900,1.00624900,1.00490300,1.00403000,1.00247600,1.00074900
0.002000,1.17334400,1.00624900,1.00490300,1.00403000,1.00247600,1.00074900
0.004000,1.17335900,1.00625000,1.00490300,1.00403100,1.00247600,1.00074900
0.006000,1.17337400,1.00625000,1.00490300,1.00403100,1.00247600,1.00074900
0.008000,1.17338900,1.00625000,1.00490300,1.00403100,1.00247600,1.00074900
0.010000,1.17340400,1.00625000,1.00490300,1.00403100,1.00247600,1.00074900
0.012000,1.17341900,1.00625000,1.00490400,1.00403100,1.00247600,1.00074900
0.014000,1.17343400,1.00625000,1.00490400,1.00403100,1.00247600,1.00074900
0.016000,1.17344900,1.00625100,1.00490400,1.00403100,1.00247600,1.00074900
0.018000,1.17346400,1.00625100,1.00490400,1.00403100,1.00247600,1.00074900
0.020000,1.17347900,1.00625100,1.00490400,1.00403100,1.00247600,1.00074900
0.022000,1.17349400,1.00625100,1.00490400,1.00403200,1.00247600,1.00074900
0.024000,1.17350900,1.00625100,1.00490400,1.00403200,1.00247600,1.00074900
0.026000,1.17352400,1.00625100,1.00490500,1.00403200,1.00247600,1.00074900
0.028000,1.17353900,1.00625200,1.00490500,1.00403200,1.00247700,1.00074900
0.030000,1.17355400,1.00625200,1.00490500,1.00403200,1.00247700,1.00074900
0.032000,1.17356900,1.00625200,1.00490500,1.00403200,1.00247700,1.00074900
0.034000,1.17358400,1.00625200,1.00490500,1.00403200,1.00247700,1.00075000
0.036000,1.17359900,1.00625200,1.00490500,1.00403200,1.00247700,1.00075000
0.038000,1.17361400,1.00625300,1.00490500,1.00403200,1.00247700,1.00075000
0.040000,1.17362900,1.00625300,1.00490500,1.00403200,1.00247700,1.00075000
0.042000,1.17364400,1.00625300,1.00490500,1.00403300,1.00247700,1.00075000
0.044000,1.17365900,1.00625300,1.00490600,1.00403300,1.00247700,1.00075000
0.046000,1.17367400,1.00625300,1.00490600,1.00403300,1.00247700,1.00075000
0.048000,1.17368900,1.00625300,1.00490600,1.00403300,1.00247700,1.00075000
0.050000,1.17370400,1.00625400,1.00490600,1.00403300,1.00247700,1.00075000
0.052000,1.17371900,1.00625400,1.00490600,1.00403300,1.00247700,1.00075000
0.054000,1.17373400,1.00625400,1.00490600,1.00403300,1.00247700,1.00075000
0.056000,1.17374900,1.00625400,1.00490600,1.00403300,1.00247700,1.00075000
0.058000,1.17376400,1.00625400,1.00490700,1.00403300,1.00247700,1.00075000
0.060000,1.17377900,1.00625400,1.00490700,1.00403400,1.00247800,1.00075000
0.062000,1.17379400,1.00625500,1.00490700,1.00403400,1.00247800,1.00075000
0.064000,1.17380900,1.00625500,1.00490700,1.00403400,1.00247800,1.00075000
0.066000,1.17382400,1.00625500,1.00490700,1.00403400,1.00247800,1.00075000
0.068000,1.17383900,1.00625500,1.00490700,1.00403400,1.00247800,1.00075000
0.070000,1.17385400,1.00625500,1.00490700,1.00403400,1.00247800,1.00075000
0.072000,1.17386900,1.00625600,1.00490700,1.00403400,1.00247800,1.00075000
0.074000,1.17388400,1.00625600,1.00490800,1.00403400,1.00247800,1.00075000
0.076000,1.17389900,1.00625600,1.00490800,1.00403400,1.00247800,1.00075000
0.078000,1.17391400,1.00625600,1.00490800,1.00403500,1.00247800,1.00075000
