#                                                                     
# $$\                                                                 
# $$ |                                                                
# $$ |     $$\   $$\ $$$$$$\$$$$\   $$$$$$\  $$$$$$$\                 
# $$ |     $$ |  $$ |$$  _$$  _$$\ $$  __$$\ $$  __$$\                
# $$ |     $$ |  $$ |$$ / $$ / $$ |$$$$$$$$ |$$ |  $$ |               
# $$ |     $$ |  $$ |$$ | $$ | $$ |$$   ____|$$ |  $$ |               
# $$$$$$$$\\$$$$$$  |$$ | $$ | $$ |\$$$$$$$\ $$ |  $$ |               
# \________|\______/ \__| \__| \__| \_______|\__|  \__|               
#                                                                     
#                   Fork Lumen 2.1.0                                  
#                   Branch is nlresp                                  
#        MPI+OpenMP+SLK+SLEPC+HDF5_MPI_IO Build                       
#               http://www.lumen-code.org                             
#
# Absorption @ Q(1):   1.00000000      0.00000000      0.00000000    [q->0 direction]
#
# [GEN] GF Energies                               : Perdew, Burke & Ernzerhof(X)+Perdew, Burke & Ernzerhof(C)
# [GEN] Green`s Function                          : Resonant
#
# [GEN] Gauge                                     : Length
# [GEN] [r,Vnl] included                          : yes
#
# DIP band range                                  :   1  10
# DIP band range limits                           :   5   6
# DIP e/h energy range                            :  -1.00000000     -1.00000000    [eV]
# RL vectors in the sum                           :  1837
# [r,Vnl] included                                : yes
# Bands ordered                                   : yes
# Direct v evaluation                             : no
# Approach used                                   : G-space v
# Dipoles computed                                : R V P [G-space]
# Wavefunctions                                   : Perdew, Burke & Ernzerhof(X)+Perdew, Burke & Ernzerhof(C)
#
#
# [K] Identifier                                  :   541
# [K] Dimension                                   :  2560
# [K] Bands                                       :   1  10
# [K] Exchange res                                : yes
# [K] Correlation res                             : yes
# [K] Kernel`s coupling                           : no
# [K] Exchange cpl                                : no
# [K] Correlation cpl                             : no
# [K] W interaction is bare                       : no
# [K] ALDA kernel in R-space                      : no
# [K] RL vectors exchange                         :   531
# [K] RL vectors correlation                      :   89
# [K] E/h energy range                            :  -1.00000000     -1.00000000    [eV]
# [K] Coupling range                              :   100.000000      100.000000    [o/o]
# [W] Interaction is diagonal                     : no
# [W] Matrix size                                 :   89
# [W] Bands                                       :   1  10
# [W] e/h energy range                            :  -1.00000000     -1.00000000    [eV]
# [W] Poles                                       :   100.000000    [o/o]
# [W] RL vectors in the sum                       :  1837
# [W] [r,Vnl] included                            : yes
# [W] Field direction                             :  0.999999975E-5   0.00000000      0.00000000   
# [W] Coulomb Cutoff                              : none
# [W] Hxc Kernel                                  : HARTREE
# [RIM] RL components col                         : 0
# [RIM] Random points col                         : 0
# [SOC] Perturbative SOC                          : no
# [X] Response Kind                               : BAR
#
# Diamagnetic term                                
# Ao                                              :  -9.57994461    [nel]
# A                                               :  -9.62080765    [nel]
#
#    E[1] [eV]          Im(eps)            Re(eps)            Im(eps_o)          Re(eps_o)
#
        0.000000           0.904706E-5        1.006380           0.735424E-5        1.005754
        0.002000           0.904758E-5        1.006380           0.735462E-5        1.005754
        0.004000           0.904809E-5        1.006380           0.735499E-5        1.005754
        0.006000           0.904861E-5        1.006380           0.735537E-5        1.005754
        0.008000           0.904912E-5        1.006380           0.735575E-5        1.005754
        0.010000           0.904964E-5        1.006381           0.735613E-5        1.005755
        0.012000           0.905015E-5        1.006381           0.735650E-5        1.005755
        0.014000           0.905067E-5        1.006381           0.735688E-5        1.005755
        0.016000           0.905118E-5        1.006381           0.735726E-5        1.005755
        0.018000           0.905170E-5        1.006381           0.735763E-5        1.005755
        0.020000           0.905222E-5        1.006382           0.735801E-5        1.005755
        0.022000           0.905273E-5        1.006382           0.735839E-5        1.005756
        0.024000           0.905324E-5        1.006382           0.735877E-5        1.005756
        0.026000           0.905376E-5        1.006382           0.735914E-5        1.005756
        0.028000           0.905428E-5        1.006382           0.735952E-5        1.005756
        0.030000           0.905479E-5        1.006382           0.735990E-5        1.005756
        0.032000           0.905531E-5        1.006383           0.736027E-5        1.005756
        0.034000           0.905582E-5        1.006383           0.736066E-5        1.005756
        0.036000           0.905634E-5        1.006383           0.736103E-5        1.005756
        0.038000           0.905685E-5        1.006383           0.736141E-5        1.005757
        0.040000           0.905737E-5        1.006383           0.736179E-5        1.005757
        0.042000           0.905789E-5        1.006384           0.736216E-5        1.005757
        0.044000           0.905840E-5        1.006384           0.736254E-5        1.005757
        0.046000           0.905892E-5        1.006384           0.736292E-5        1.005757
        0.048000           0.905943E-5        1.006384           0.736330E-5        1.005757
        0.050000           0.905995E-5        1.006384           0.736367E-5        1.005758
        0.052000           0.906047E-5        1.006384           0.736405E-5        1.005758
        0.054000           0.906098E-5        1.006385           0.736443E-5        1.005758
        0.056000           0.906150E-5        1.006385           0.736481E-5        1.005758
        0.058000           0.906201E-5        1.006385           0.736519E-5        1.005758
        0.060000           0.906253E-5        1.006385           0.736557E-5        1.005758
        0.062000           0.906305E-5        1.006385           0.736594E-5        1.005758
        0.064000           0.906356E-5        1.006386           0.736632E-5        1.005759
        0.066000           0.906408E-5        1.006386           0.736670E-5        1.005759
        0.068000           0.906459E-5        1.006386           0.736708E-5        1.005759
        0.070000           0.906511E-5        1.006386           0.736745E-5        1.005759
        0.072000           0.906563E-5        1.006386           0.736783E-5        1.005759
        0.074000           0.906614E-5        1.006386           0.736821E-5        1.005759
        0.076000           0.906666E-5        1.006387           0.736859E-5        1.005759
        0.078000           0.906718E-5        1.006387           0.736897E-5        1.005760
        0.080000           0.906769E-5        1.006387           0.736935E-5        1.005760
        0.082000           0.906821E-5        1.006387           0.736972E-5        1.005760
        0.084000           0.906873E-5        1.006387           0.737010E-5        1.005760
        0.086000           0.906924E-5        1.006387           0.737048E-5        1.005760
