#                                                                     
# $$\                                                                 
# $$ |                                                                
# $$ |     $$\   $$\ $$$$$$\$$$$\   $$$$$$\  $$$$$$$\                 
# $$ |     $$ |  $$ |$$  _$$  _$$\ $$  __$$\ $$  __$$\                
# $$ |     $$ |  $$ |$$ / $$ / $$ |$$$$$$$$ |$$ |  $$ |               
# $$ |     $$ |  $$ |$$ | $$ | $$ |$$   ____|$$ |  $$ |               
# $$$$$$$$\\$$$$$$  |$$ | $$ | $$ |\$$$$$$$\ $$ |  $$ |               
# \________|\______/ \__| \__| \__| \_______|\__|  \__|               
#                                                                     
#                   Fork Lumen 2.1.0                                  
#                   Branch is nlresp                                  
#        MPI+OpenMP+SLK+SLEPC+HDF5_MPI_IO Build                       
#               http://www.lumen-code.org                             
#
# Absorption @ Q(1):   1.00000000      0.00000000      0.00000000    [q->0 direction]
#
# [GEN] GF Energies                               : Perdew, Burke & Ernzerhof(X)+Perdew, Burke & Ernzerhof(C)
# [GEN] Green`s Function                          : Resonant
#
# [GEN] Gauge                                     : Length
# [GEN] [r,Vnl] included                          : yes
#
# DIP band range                                  :   1  20
# DIP band range limits                           :   5   6
# DIP e/h energy range                            :  -1.00000000     -1.00000000    [eV]
# RL vectors in the sum                           :  1837
# [r,Vnl] included                                : yes
# Bands ordered                                   : yes
# Direct v evaluation                             : no
# Approach used                                   : G-space v
# Dipoles computed                                : R V P [G-space]
# Wavefunctions                                   : Perdew, Burke & Ernzerhof(X)+Perdew, Burke & Ernzerhof(C)
#
#
# [K] Identifier                                  :  1339
# [K] Dimension                                   :   7680
# [K] Bands                                       :   1  20
# [K] Exchange res                                : yes
# [K] Correlation res                             : yes
# [K] Kernel`s coupling                           : no
# [K] Exchange cpl                                : no
# [K] Correlation cpl                             : no
# [K] W interaction is bare                       : no
# [K] ALDA kernel in R-space                      : no
# [K] RL vectors exchange                         :   531
# [K] RL vectors correlation                      :   89
# [K] E/h energy range                            :  -1.00000000     -1.00000000    [eV]
# [K] Coupling range                              :   100.000000      100.000000    [o/o]
# [W] Interaction is diagonal                     : no
# [W] Matrix size                                 :   89
# [W] Bands                                       :   1  20
# [W] e/h energy range                            :  -1.00000000     -1.00000000    [eV]
# [W] Poles                                       :   100.000000    [o/o]
# [W] RL vectors in the sum                       :  1837
# [W] [r,Vnl] included                            : yes
# [W] Field direction                             :  0.999999975E-5   0.00000000      0.00000000   
# [W] Coulomb Cutoff                              : none
# [W] Hxc Kernel                                  : HARTREE
# [RIM] RL components col                         : 0
# [RIM] Random points col                         : 0
# [SOC] Perturbative SOC                          : no
# [X] Response Kind                               : BAR
#
# Diamagnetic term                                
# Ao                                              :  -9.26254272    [nel]
# A                                               :  -9.34249115    [nel]
#
#    E[1] [eV]          Im(eps)            Re(eps)            Im(eps_o)          Re(eps_o)
#
        0.000000           0.126712E-4        1.009450           0.100098E-4        1.008403
        0.002000           0.126719E-4        1.009450           0.100103E-4        1.008404
        0.004000           0.126726E-4        1.009450           0.100108E-4        1.008404
        0.006000           0.126733E-4        1.009451           0.100113E-4        1.008404
        0.008000           0.126740E-4        1.009451           0.100118E-4        1.008404
        0.010000           0.126747E-4        1.009451           0.100123E-4        1.008404
        0.012000           0.126753E-4        1.009451           0.100127E-4        1.008404
        0.014000           0.126760E-4        1.009452           0.100132E-4        1.008405
        0.016000           0.126767E-4        1.009452           0.100137E-4        1.008405
        0.018000           0.126774E-4        1.009452           0.100142E-4        1.008405
        0.020000           0.126781E-4        1.009452           0.100147E-4        1.008405
        0.022000           0.126788E-4        1.009453           0.100152E-4        1.008406
        0.024000           0.126795E-4        1.009453           0.100156E-4        1.008406
        0.026000           0.126802E-4        1.009453           0.100161E-4        1.008406
        0.028000           0.126809E-4        1.009453           0.100166E-4        1.008406
        0.030000           0.126816E-4        1.009454           0.100171E-4        1.008406
        0.032000           0.126822E-4        1.009454           0.100176E-4        1.008407
        0.034000           0.126829E-4        1.009454           0.100181E-4        1.008407
        0.036000           0.126836E-4        1.009454           0.100186E-4        1.008407
        0.038000           0.126843E-4        1.009455           0.100190E-4        1.008407
        0.040000           0.126850E-4        1.009455           0.100195E-4        1.008407
        0.042000           0.126857E-4        1.009455           0.100200E-4        1.008408
        0.044000           0.126864E-4        1.009455           0.100205E-4        1.008408
        0.046000           0.126871E-4        1.009456           0.100210E-4        1.008408
        0.048000           0.126878E-4        1.009456           0.100215E-4        1.008408
        0.050000           0.126885E-4        1.009456           0.100219E-4        1.008408
        0.052000           0.126892E-4        1.009457           0.100224E-4        1.008409
        0.054000           0.126898E-4        1.009457           0.100229E-4        1.008409
        0.056000           0.126905E-4        1.009457           0.100234E-4        1.008409
        0.058000           0.126912E-4        1.009457           0.100239E-4        1.008409
        0.060000           0.126919E-4        1.009457           0.100244E-4        1.008409
        0.062000           0.126926E-4        1.009458           0.100249E-4        1.008410
        0.064000           0.126933E-4        1.009458           0.100253E-4        1.008410
        0.066000           0.126940E-4        1.009458           0.100258E-4        1.008410
        0.068000           0.126947E-4        1.009459           0.100263E-4        1.008410
        0.070000           0.126954E-4        1.009459           0.100268E-4        1.008410
        0.072000           0.126961E-4        1.009459           0.100273E-4        1.008411
        0.074000           0.126968E-4        1.009459           0.100278E-4        1.008411
        0.076000           0.126974E-4        1.009459           0.100282E-4        1.008411
        0.078000           0.126981E-4        1.009460           0.100287E-4        1.008411
        0.080000           0.126988E-4        1.009460           0.100292E-4        1.008411
        0.082000           0.126995E-4        1.009460           0.100297E-4        1.008412
        0.084000           0.127002E-4        1.009461           0.100302E-4        1.008412
        0.086000           0.127009E-4        1.009461           0.100307E-4        1.008412
        0.088000           0.127016E-4        1.009461           0.100312E-4        1.008412
        0.090000           0.127023E-4        1.009461           0.100316E-4        1.008412
        0.092000           0.127030E-4        1.009462           0.100321E-4        1.008413
        0.094000           0.127037E-4        1.009462           0.100326E-4        1.008413
        0.096000           0.127044E-4        1.009462           0.100331E-4        1.008413
        0.098000           0.127051E-4        1.009462           0.100336E-4        1.008413
        0.100000           0.127058E-4        1.009463           0.100341E-4        1.008413
        0.102000           0.127064E-4        1.009463           0.100346E-4        1.008414
        0.104000           0.127071E-4        1.009463           0.100351E-4        1.008414
        0.106000           0.127078E-4        1.009463           0.100355E-4        1.008414
        0.108000           0.127085E-4        1.009464           0.100360E-4        1.008414
        0.110000           0.127092E-4        1.009464           0.100365E-4        1.008414
        0.112000           0.127099E-4        1.009464           0.100370E-4        1.008415
        0.114000           0.127106E-4        1.009464           0.100375E-4        1.008415
        0.116000           0.127113E-4        1.009465           0.100380E-4        1.008415
        0.118000           0.127120E-4        1.009465           0.100385E-4        1.008415
        0.120000           0.127127E-4        1.009465           0.100389E-4        1.008415
        0.122000           0.127134E-4        1.009465           0.100394E-4        1.008416
        0.124000           0.127141E-4        1.009466           0.100399E-4        1.008416
        0.126000           0.127148E-4        1.009466           0.100404E-4        1.008416
        0.128000           0.127155E-4        1.009466           0.100409E-4        1.008416
        0.130000           0.127162E-4        1.009466           0.100414E-4        1.008416
        0.132000           0.127168E-4        1.009467           0.100419E-4        1.008417
        0.134000           0.127175E-4        1.009467           0.100423E-4        1.008417
        0.136000           0.127182E-4        1.009467           0.100428E-4        1.008417
        0.138000           0.127189E-4        1.009467           0.100433E-4        1.008417
        0.140000           0.127196E-4        1.009468           0.100438E-4        1.008417
        0.142000           0.127203E-4        1.009468           0.100443E-4        1.008418
        0.144000           0.127210E-4        1.009468           0.100448E-4        1.008418
        0.146000           0.127217E-4        1.009468           0.100453E-4        1.008418
        0.148000           0.127224E-4        1.009469           0.100457E-4        1.008418
