#                                                                     
# $$\                                                                 
# $$ |                                                                
# $$ |     $$\   $$\ $$$$$$\$$$$\   $$$$$$\  $$$$$$$\                 
# $$ |     $$ |  $$ |$$  _$$  _$$\ $$  __$$\ $$  __$$\                
# $$ |     $$ |  $$ |$$ / $$ / $$ |$$$$$$$$ |$$ |  $$ |               
# $$ |     $$ |  $$ |$$ | $$ | $$ |$$   ____|$$ |  $$ |               
# $$$$$$$$\\$$$$$$  |$$ | $$ | $$ |\$$$$$$$\ $$ |  $$ |               
# \________|\______/ \__| \__| \__| \_______|\__|  \__|               
#                                                                     
#                   Fork Lumen 2.1.0                                  
#                   Branch is nlresp                                  
#        MPI+OpenMP+SLK+SLEPC+HDF5_MPI_IO Build                       
#               http://www.lumen-code.org                             
#
# Absorption @ Q(1):   1.00000000      0.00000000      0.00000000    [q->0 direction]
#
# [GEN] GF Energies                               : Perdew, Burke & Ernzerhof(X)+Perdew, Burke & Ernzerhof(C)
# [GEN] Green`s Function                          : Resonant
#
# [GEN] Gauge                                     : Length
# [GEN] [r,Vnl] included                          : yes
#
# DIP band range                                  :   1  30
# DIP band range limits                           :   5   6
# DIP e/h energy range                            :  -1.00000000     -1.00000000    [eV]
# RL vectors in the sum                           :  1837
# [r,Vnl] included                                : yes
# Bands ordered                                   : yes
# Direct v evaluation                             : no
# Approach used                                   : G-space v
# Dipoles computed                                : R V P [G-space]
# Wavefunctions                                   : Perdew, Burke & Ernzerhof(X)+Perdew, Burke & Ernzerhof(C)
#
#
# [K] Identifier                                  :  1860
# [K] Dimension                                   :  12800
# [K] Bands                                       :   1  30
# [K] Exchange res                                : yes
# [K] Correlation res                             : yes
# [K] Kernel`s coupling                           : no
# [K] Exchange cpl                                : no
# [K] Correlation cpl                             : no
# [K] W interaction is bare                       : no
# [K] ALDA kernel in R-space                      : no
# [K] RL vectors exchange                         :   531
# [K] RL vectors correlation                      :   89
# [K] E/h energy range                            :  -1.00000000     -1.00000000    [eV]
# [K] Coupling range                              :   100.000000      100.000000    [o/o]
# [W] Interaction is diagonal                     : no
# [W] Matrix size                                 :   89
# [W] Bands                                       :   1  30
# [W] e/h energy range                            :  -1.00000000     -1.00000000    [eV]
# [W] Poles                                       :   100.000000    [o/o]
# [W] RL vectors in the sum                       :  1837
# [W] [r,Vnl] included                            : yes
# [W] Field direction                             :  0.999999975E-5   0.00000000      0.00000000   
# [W] Coulomb Cutoff                              : none
# [W] Hxc Kernel                                  : HARTREE
# [RIM] RL components col                         : 0
# [RIM] Random points col                         : 0
# [SOC] Perturbative SOC                          : no
# [X] Response Kind                               : BAR
#
# Diamagnetic term                                
# Ao                                              :  -9.08259773    [nel]
# A                                               :  -9.18705750    [nel]
#
#    E[1] [eV]          Im(eps)            Re(eps)            Im(eps_o)          Re(eps_o)
#
        0.000000           0.138991E-4        1.010658           0.108392E-4        1.009415
        0.002000           0.138998E-4        1.010658           0.108397E-4        1.009415
        0.004000           0.139005E-4        1.010659           0.108402E-4        1.009416
        0.006000           0.139013E-4        1.010659           0.108407E-4        1.009416
        0.008000           0.139020E-4        1.010659           0.108412E-4        1.009416
        0.010000           0.139028E-4        1.010659           0.108417E-4        1.009416
        0.012000           0.139035E-4        1.010660           0.108422E-4        1.009416
        0.014000           0.139043E-4        1.010660           0.108427E-4        1.009417
        0.016000           0.139050E-4        1.010660           0.108433E-4        1.009417
        0.018000           0.139057E-4        1.010661           0.108438E-4        1.009417
        0.020000           0.139065E-4        1.010661           0.108443E-4        1.009417
        0.022000           0.139072E-4        1.010661           0.108448E-4        1.009417
        0.024000           0.139080E-4        1.010661           0.108453E-4        1.009418
        0.026000           0.139087E-4        1.010662           0.108458E-4        1.009418
        0.028000           0.139095E-4        1.010662           0.108463E-4        1.009418
        0.030000           0.139102E-4        1.010662           0.108468E-4        1.009418
        0.032000           0.139109E-4        1.010663           0.108473E-4        1.009418
        0.034000           0.139117E-4        1.010663           0.108479E-4        1.009419
        0.036000           0.139124E-4        1.010663           0.108484E-4        1.009419
        0.038000           0.139132E-4        1.010663           0.108489E-4        1.009419
        0.040000           0.139139E-4        1.010664           0.108494E-4        1.009419
        0.042000           0.139147E-4        1.010664           0.108499E-4        1.009420
        0.044000           0.139154E-4        1.010664           0.108504E-4        1.009420
        0.046000           0.139161E-4        1.010664           0.108509E-4        1.009420
        0.048000           0.139169E-4        1.010665           0.108515E-4        1.009420
        0.050000           0.139176E-4        1.010665           0.108520E-4        1.009421
        0.052000           0.139184E-4        1.010665           0.108525E-4        1.009421
        0.054000           0.139191E-4        1.010666           0.108530E-4        1.009421
        0.056000           0.139199E-4        1.010666           0.108535E-4        1.009421
        0.058000           0.139206E-4        1.010666           0.108540E-4        1.009421
        0.060000           0.139213E-4        1.010666           0.108545E-4        1.009422
        0.062000           0.139221E-4        1.010667           0.108550E-4        1.009422
        0.064000           0.139228E-4        1.010667           0.108555E-4        1.009422
        0.066000           0.139236E-4        1.010667           0.108561E-4        1.009422
        0.068000           0.139243E-4        1.010668           0.108566E-4        1.009422
        0.070000           0.139251E-4        1.010668           0.108571E-4        1.009423
        0.072000           0.139258E-4        1.010668           0.108576E-4        1.009423
        0.074000           0.139265E-4        1.010668           0.108581E-4        1.009423
        0.076000           0.139273E-4        1.010669           0.108586E-4        1.009423
        0.078000           0.139280E-4        1.010669           0.108591E-4        1.009423
        0.080000           0.139288E-4        1.010669           0.108597E-4        1.009424
        0.082000           0.139295E-4        1.010669           0.108602E-4        1.009424
        0.084000           0.139303E-4        1.010670           0.108607E-4        1.009424
        0.086000           0.139310E-4        1.010670           0.108612E-4        1.009424
        0.088000           0.139318E-4        1.010670           0.108617E-4        1.009425
        0.090000           0.139325E-4        1.010671           0.108622E-4        1.009425
        0.092000           0.139333E-4        1.010671           0.108627E-4        1.009425
        0.094000           0.139340E-4        1.010671           0.108632E-4        1.009425
        0.096000           0.139347E-4        1.010671           0.108638E-4        1.009426
        0.098000           0.139355E-4        1.010672           0.108643E-4        1.009426
        0.100000           0.139362E-4        1.010672           0.108648E-4        1.009426
        0.102000           0.139370E-4        1.010672           0.108653E-4        1.009426
        0.104000           0.139377E-4        1.010673           0.108658E-4        1.009426
        0.106000           0.139385E-4        1.010673           0.108663E-4        1.009427
        0.108000           0.139392E-4        1.010673           0.108668E-4        1.009427
        0.110000           0.139400E-4        1.010673           0.108673E-4        1.009427
        0.112000           0.139407E-4        1.010674           0.108679E-4        1.009427
        0.114000           0.139414E-4        1.010674           0.108684E-4        1.009427
        0.116000           0.139422E-4        1.010674           0.108689E-4        1.009428
        0.118000           0.139429E-4        1.010674           0.108694E-4        1.009428
        0.120000           0.139437E-4        1.010675           0.108699E-4        1.009428
        0.122000           0.139444E-4        1.010675           0.108704E-4        1.009428
        0.124000           0.139452E-4        1.010675           0.108709E-4        1.009429
        0.126000           0.139459E-4        1.010676           0.108715E-4        1.009429
        0.128000           0.139467E-4        1.010676           0.108720E-4        1.009429
        0.130000           0.139474E-4        1.010676           0.108725E-4        1.009429
        0.132000           0.139482E-4        1.010676           0.108730E-4        1.009429
        0.134000           0.139489E-4        1.010677           0.108735E-4        1.009430
        0.136000           0.139496E-4        1.010677           0.108740E-4        1.009430
        0.138000           0.139504E-4        1.010677           0.108745E-4        1.009430
        0.140000           0.139511E-4        1.010678           0.108751E-4        1.009430
        0.142000           0.139519E-4        1.010678           0.108756E-4        1.009430
        0.144000           0.139526E-4        1.010678           0.108761E-4        1.009431
        0.146000           0.139534E-4        1.010678           0.108766E-4        1.009431
        0.148000           0.139541E-4        1.010679           0.108771E-4        1.009431
        0.150000           0.139549E-4        1.010679           0.108776E-4        1.009431
        0.152000           0.139556E-4        1.010679           0.108781E-4        1.009432
        0.154000           0.139564E-4        1.010679           0.108787E-4        1.009432
        0.156000           0.139571E-4        1.010680           0.108792E-4        1.009432
        0.158000           0.139579E-4        1.010680           0.108797E-4        1.009432
        0.160000           0.139586E-4        1.010680           0.108802E-4        1.009432
        0.162000           0.139594E-4        1.010681           0.108807E-4        1.009433
        0.164000           0.139601E-4        1.010681           0.108812E-4        1.009433
        0.166000           0.139608E-4        1.010681           0.108817E-4        1.009433
        0.168000           0.139616E-4        1.010682           0.108823E-4        1.009433
        0.170000           0.139623E-4        1.010682           0.108828E-4        1.009434
        0.172000           0.139631E-4        1.010682           0.108833E-4        1.009434
        0.174000           0.139638E-4        1.010682           0.108838E-4        1.009434
        0.176000           0.139646E-4        1.010683           0.108843E-4        1.009434
        0.178000           0.139653E-4        1.010683           0.108848E-4        1.009434
        0.180000           0.139661E-4        1.010683           0.108853E-4        1.009435
        0.182000           0.139668E-4        1.010683           0.108859E-4        1.009435
        0.184000           0.139676E-4        1.010684           0.108864E-4        1.009435
        0.186000           0.139683E-4        1.010684           0.108869E-4        1.009435
        0.188000           0.139691E-4        1.010684           0.108874E-4        1.009435
        0.190000           0.139698E-4        1.010684           0.108879E-4        1.009436
        0.192000           0.139706E-4        1.010685           0.108884E-4        1.009436
        0.194000           0.139713E-4        1.010685           0.108889E-4        1.009436
        0.196000           0.139721E-4        1.010685           0.108895E-4        1.009436
        0.198000           0.139728E-4        1.010686           0.108900E-4        1.009437
        0.200000           0.139736E-4        1.010686           0.108905E-4        1.009437
        0.202000           0.139743E-4        1.010686           0.108910E-4        1.009437
        0.204000           0.139750E-4        1.010687           0.108915E-4        1.009437
        0.206000           0.139758E-4        1.010687           0.108920E-4        1.009437
