#                                                                     
# $$\                                                                 
# $$ |                                                                
# $$ |     $$\   $$\ $$$$$$\$$$$\   $$$$$$\  $$$$$$$\                 
# $$ |     $$ |  $$ |$$  _$$  _$$\ $$  __$$\ $$  __$$\                
# $$ |     $$ |  $$ |$$ / $$ / $$ |$$$$$$$$ |$$ |  $$ |               
# $$ |     $$ |  $$ |$$ | $$ | $$ |$$   ____|$$ |  $$ |               
# $$$$$$$$\\$$$$$$  |$$ | $$ | $$ |\$$$$$$$\ $$ |  $$ |               
# \________|\______/ \__| \__| \__| \_______|\__|  \__|               
#                                                                     
#                   Fork Lumen 2.1.0                                  
#                   Branch is nlresp                                  
#        MPI+OpenMP+SLK+SLEPC+HDF5_MPI_IO Build                       
#               http://www.lumen-code.org                             
#
# Absorption @ Q(1):   1.00000000      0.00000000      0.00000000    [q->0 direction]
#
# [GEN] GF Energies                               : Perdew, Burke & Ernzerhof(X)+Perdew, Burke & Ernzerhof(C)
# [GEN] Green`s Function                          : Resonant
#
# [GEN] Gauge                                     : Length
# [GEN] [r,Vnl] included                          : yes
#
# DIP band range                                  :    1   40
# DIP band range limits                           :   5   6
# DIP e/h energy range                            :  -1.00000000     -1.00000000    [eV]
# RL vectors in the sum                           :  1837
# [r,Vnl] included                                : yes
# Bands ordered                                   : yes
# Direct v evaluation                             : no
# Approach used                                   : G-space v
# Dipoles computed                                : R V P [G-space]
# Wavefunctions                                   : Perdew, Burke & Ernzerhof(X)+Perdew, Burke & Ernzerhof(C)
#
#
# [K] Identifier                                  :   3726
# [K] Dimension                                   :  17920
# [K] Bands                                       :    1   40
# [K] Exchange res                                : yes
# [K] Correlation res                             : yes
# [K] Kernel`s coupling                           : no
# [K] Exchange cpl                                : no
# [K] Correlation cpl                             : no
# [K] W interaction is bare                       : no
# [K] ALDA kernel in R-space                      : no
# [K] RL vectors exchange                         :   531
# [K] RL vectors correlation                      :   89
# [K] E/h energy range                            :  -1.00000000     -1.00000000    [eV]
# [K] Coupling range                              :   100.000000      100.000000    [o/o]
# [W] Interaction is diagonal                     : no
# [W] Matrix size                                 :   89
# [W] Bands                                       :    1   40
# [W] e/h energy range                            :  -1.00000000     -1.00000000    [eV]
# [W] Poles                                       :   100.000000    [o/o]
# [W] RL vectors in the sum                       :  1837
# [W] [r,Vnl] included                            : yes
# [W] Field direction                             :  0.999999975E-5   0.00000000      0.00000000   
# [W] Coulomb Cutoff                              : none
# [W] Hxc Kernel                                  : HARTREE
# [RIM] RL components col                         : 0
# [RIM] Random points col                         : 0
# [SOC] Perturbative SOC                          : no
# [X] Response Kind                               : BAR
#
# Diamagnetic term                                
# Ao                                              :  -8.99888802    [nel]
# A                                               :  -9.11315823    [nel]
#
#    E[1] [eV]          Im(eps)            Re(eps)            Im(eps_o)          Re(eps_o)
#
        0.000000           0.142289E-4        1.011048           0.110674E-4        1.009747
        0.002000           0.142297E-4        1.011049           0.110679E-4        1.009747
        0.004000           0.142304E-4        1.011049           0.110685E-4        1.009748
        0.006000           0.142312E-4        1.011049           0.110690E-4        1.009748
        0.008000           0.142319E-4        1.011050           0.110695E-4        1.009748
        0.010000           0.142327E-4        1.011050           0.110700E-4        1.009748
        0.012000           0.142334E-4        1.011050           0.110705E-4        1.009748
        0.014000           0.142342E-4        1.011050           0.110710E-4        1.009749
        0.016000           0.142350E-4        1.011051           0.110715E-4        1.009749
        0.018000           0.142357E-4        1.011051           0.110721E-4        1.009749
        0.020000           0.142365E-4        1.011051           0.110726E-4        1.009749
        0.022000           0.142372E-4        1.011052           0.110731E-4        1.009750
        0.024000           0.142380E-4        1.011052           0.110736E-4        1.009750
        0.026000           0.142387E-4        1.011052           0.110742E-4        1.009750
        0.028000           0.142395E-4        1.011052           0.110747E-4        1.009750
        0.030000           0.142402E-4        1.011053           0.110752E-4        1.009750
        0.032000           0.142410E-4        1.011053           0.110757E-4        1.009751
        0.034000           0.142417E-4        1.011053           0.110762E-4        1.009751
        0.036000           0.142425E-4        1.011054           0.110767E-4        1.009751
        0.038000           0.142432E-4        1.011054           0.110773E-4        1.009751
        0.040000           0.142440E-4        1.011054           0.110778E-4        1.009751
        0.042000           0.142448E-4        1.011054           0.110783E-4        1.009752
        0.044000           0.142455E-4        1.011055           0.110788E-4        1.009752
        0.046000           0.142463E-4        1.011055           0.110793E-4        1.009752
        0.048000           0.142470E-4        1.011055           0.110799E-4        1.009752
        0.050000           0.142478E-4        1.011056           0.110804E-4        1.009753
        0.052000           0.142485E-4        1.011056           0.110809E-4        1.009753
        0.054000           0.142493E-4        1.011056           0.110814E-4        1.009753
        0.056000           0.142500E-4        1.011056           0.110819E-4        1.009753
        0.058000           0.142508E-4        1.011057           0.110824E-4        1.009753
        0.060000           0.142516E-4        1.011057           0.110830E-4        1.009754
        0.062000           0.142523E-4        1.011057           0.110835E-4        1.009754
        0.064000           0.142531E-4        1.011057           0.110840E-4        1.009754
        0.066000           0.142538E-4        1.011058           0.110845E-4        1.009754
        0.068000           0.142546E-4        1.011058           0.110850E-4        1.009755
        0.070000           0.142553E-4        1.011058           0.110856E-4        1.009755
        0.072000           0.142561E-4        1.011059           0.110861E-4        1.009755
        0.074000           0.142568E-4        1.011059           0.110866E-4        1.009755
        0.076000           0.142576E-4        1.011059           0.110871E-4        1.009755
        0.078000           0.142584E-4        1.011060           0.110876E-4        1.009756
        0.080000           0.142591E-4        1.011060           0.110881E-4        1.009756
        0.082000           0.142599E-4        1.011060           0.110887E-4        1.009756
        0.084000           0.142606E-4        1.011060           0.110892E-4        1.009756
        0.086000           0.142614E-4        1.011061           0.110897E-4        1.009757
