#                                                                     
# $$\                                                                 
# $$ |                                                                
# $$ |     $$\   $$\ $$$$$$\$$$$\   $$$$$$\  $$$$$$$\                 
# $$ |     $$ |  $$ |$$  _$$  _$$\ $$  __$$\ $$  __$$\                
# $$ |     $$ |  $$ |$$ / $$ / $$ |$$$$$$$$ |$$ |  $$ |               
# $$ |     $$ |  $$ |$$ | $$ | $$ |$$   ____|$$ |  $$ |               
# $$$$$$$$\\$$$$$$  |$$ | $$ | $$ |\$$$$$$$\ $$ |  $$ |               
# \________|\______/ \__| \__| \__| \_______|\__|  \__|               
#                                                                     
#                   Fork Lumen 2.1.0                                  
#                   Branch is nlresp                                  
#        MPI+OpenMP+SLK+SLEPC+HDF5_MPI_IO Build                       
#               http://www.lumen-code.org                             
#
# Absorption @ Q(1):   1.00000000      0.00000000      0.00000000    [q->0 direction]
#
# [GEN] GF Energies                               : Perdew, Burke & Ernzerhof(X)+Perdew, Burke & Ernzerhof(C)
# [GEN] Green`s Function                          : Resonant
#
# [GEN] Gauge                                     : Length
# [GEN] [r,Vnl] included                          : yes
#
# DIP band range                                  :    1   70
# DIP band range limits                           :   5   6
# DIP e/h energy range                            :  -1.00000000     -1.00000000    [eV]
# RL vectors in the sum                           :  1837
# [r,Vnl] included                                : yes
# Bands ordered                                   : yes
# Direct v evaluation                             : no
# Approach used                                   : G-space v
# Dipoles computed                                : R V P [G-space]
# Wavefunctions                                   : Perdew, Burke & Ernzerhof(X)+Perdew, Burke & Ernzerhof(C)
#
#
# [K] Identifier                                  :  2506
# [K] Dimension                                   :   33280
# [K] Bands                                       :    1   70
# [K] Exchange res                                : yes
# [K] Correlation res                             : yes
# [K] Kernel`s coupling                           : no
# [K] Exchange cpl                                : no
# [K] Correlation cpl                             : no
# [K] W interaction is bare                       : no
# [K] ALDA kernel in R-space                      : no
# [K] RL vectors exchange                         :   531
# [K] RL vectors correlation                      :   89
# [K] E/h energy range                            :  -1.00000000     -1.00000000    [eV]
# [K] Coupling range                              :   100.000000      100.000000    [o/o]
# [W] Interaction is diagonal                     : no
# [W] Matrix size                                 :   89
# [W] Bands                                       :    1   70
# [W] e/h energy range                            :  -1.00000000     -1.00000000    [eV]
# [W] Poles                                       :   100.000000    [o/o]
# [W] RL vectors in the sum                       :  1837
# [W] [r,Vnl] included                            : yes
# [W] Field direction                             :  0.999999975E-5   0.00000000      0.00000000   
# [W] Coulomb Cutoff                              : none
# [W] Hxc Kernel                                  : HARTREE
# [RIM] RL components col                         : 0
# [RIM] Random points col                         : 0
# [SOC] Perturbative SOC                          : no
# [X] Response Kind                               : BAR
#
# Diamagnetic term                                
# Ao                                              :  -8.84828377    [nel]
# A                                               :  -8.97601414    [nel]
#
#    E[1] [eV]          Im(eps)            Re(eps)            Im(eps_o)          Re(eps_o)
#
        0.000000           0.145289E-4        1.011505           0.112980E-4        1.010152
        0.002000           0.145297E-4        1.011505           0.112985E-4        1.010152
        0.004000           0.145305E-4        1.011505           0.112990E-4        1.010152
        0.006000           0.145312E-4        1.011506           0.112996E-4        1.010153
        0.008000           0.145320E-4        1.011506           0.113001E-4        1.010153
        0.010000           0.145328E-4        1.011506           0.113006E-4        1.010153
        0.012000           0.145335E-4        1.011507           0.113011E-4        1.010153
        0.014000           0.145343E-4        1.011507           0.113016E-4        1.010154
        0.016000           0.145350E-4        1.011507           0.113022E-4        1.010154
        0.018000           0.145358E-4        1.011507           0.113027E-4        1.010154
        0.020000           0.145366E-4        1.011508           0.113032E-4        1.010154
        0.022000           0.145373E-4        1.011508           0.113038E-4        1.010154
        0.024000           0.145381E-4        1.011508           0.113043E-4        1.010155
        0.026000           0.145389E-4        1.011509           0.113048E-4        1.010155
        0.028000           0.145396E-4        1.011509           0.113053E-4        1.010155
        0.030000           0.145404E-4        1.011509           0.113058E-4        1.010155
        0.032000           0.145411E-4        1.011509           0.113063E-4        1.010156
        0.034000           0.145419E-4        1.011510           0.113069E-4        1.010156
        0.036000           0.145427E-4        1.011510           0.113074E-4        1.010156
        0.038000           0.145434E-4        1.011510           0.113079E-4        1.010156
        0.040000           0.145442E-4        1.011511           0.113085E-4        1.010156
        0.042000           0.145450E-4        1.011511           0.113090E-4        1.010157
        0.044000           0.145457E-4        1.011511           0.113095E-4        1.010157
        0.046000           0.145465E-4        1.011511           0.113100E-4        1.010157
        0.048000           0.145472E-4        1.011512           0.113106E-4        1.010157
        0.050000           0.145480E-4        1.011512           0.113111E-4        1.010158
        0.052000           0.145488E-4        1.011512           0.113116E-4        1.010158
        0.054000           0.145495E-4        1.011513           0.113121E-4        1.010158
        0.056000           0.145503E-4        1.011513           0.113126E-4        1.010158
        0.058000           0.145511E-4        1.011513           0.113132E-4        1.010158
        0.060000           0.145518E-4        1.011513           0.113137E-4        1.010159
        0.062000           0.145526E-4        1.011514           0.113142E-4        1.010159
        0.064000           0.145533E-4        1.011514           0.113147E-4        1.010159
        0.066000           0.145541E-4        1.011514           0.113153E-4        1.010159
        0.068000           0.145549E-4        1.011515           0.113158E-4        1.010160
        0.070000           0.145556E-4        1.011515           0.113163E-4        1.010160
        0.072000           0.145564E-4        1.011515           0.113168E-4        1.010160
        0.074000           0.145572E-4        1.011515           0.113174E-4        1.010160
        0.076000           0.145579E-4        1.011516           0.113179E-4        1.010160
        0.078000           0.145587E-4        1.011516           0.113184E-4        1.010161
        0.080000           0.145595E-4        1.011516           0.113189E-4        1.010161
        0.082000           0.145602E-4        1.011517           0.113194E-4        1.010161
        0.084000           0.145610E-4        1.011517           0.113200E-4        1.010161
        0.086000           0.145618E-4        1.011517           0.113205E-4        1.010162
        0.088000           0.145625E-4        1.011518           0.113210E-4        1.010162
        0.090000           0.145633E-4        1.011518           0.113215E-4        1.010162
        0.092000           0.145640E-4        1.011518           0.113221E-4        1.010162
        0.094000           0.145648E-4        1.011518           0.113226E-4        1.010162
        0.096000           0.145656E-4        1.011519           0.113231E-4        1.010163
        0.098000           0.145663E-4        1.011519           0.113236E-4        1.010163
        0.100000           0.145671E-4        1.011519           0.113242E-4        1.010163
        0.102000           0.145679E-4        1.011520           0.113247E-4        1.010163
        0.104000           0.145686E-4        1.011520           0.113252E-4        1.010164
        0.106000           0.145694E-4        1.011520           0.113258E-4        1.010164
        0.108000           0.145702E-4        1.011521           0.113263E-4        1.010164
        0.110000           0.145709E-4        1.011521           0.113268E-4        1.010164
        0.112000           0.145717E-4        1.011521           0.113273E-4        1.010165
        0.114000           0.145725E-4        1.011521           0.113279E-4        1.010165
        0.116000           0.145732E-4        1.011522           0.113284E-4        1.010165
        0.118000           0.145740E-4        1.011522           0.113289E-4        1.010165
        0.120000           0.145748E-4        1.011522           0.113294E-4        1.010165
        0.122000           0.145755E-4        1.011523           0.113300E-4        1.010166
        0.124000           0.145763E-4        1.011523           0.113305E-4        1.010166
        0.126000           0.145771E-4        1.011523           0.113310E-4        1.010166
        0.128000           0.145778E-4        1.011523           0.113315E-4        1.010166
        0.130000           0.145786E-4        1.011524           0.113321E-4        1.010167
        0.132000           0.145794E-4        1.011524           0.113326E-4        1.010167
        0.134000           0.145801E-4        1.011524           0.113331E-4        1.010167
        0.136000           0.145809E-4        1.011525           0.113336E-4        1.010167
        0.138000           0.145817E-4        1.011525           0.113342E-4        1.010167
        0.140000           0.145824E-4        1.011525           0.113347E-4        1.010168
        0.142000           0.145832E-4        1.011525           0.113352E-4        1.010168
        0.144000           0.145840E-4        1.011526           0.113357E-4        1.010168
        0.146000           0.145847E-4        1.011526           0.113363E-4        1.010168
        0.148000           0.145855E-4        1.011526           0.113368E-4        1.010169
        0.150000           0.145862E-4        1.011527           0.113373E-4        1.010169
        0.152000           0.145870E-4        1.011527           0.113378E-4        1.010169
        0.154000           0.145878E-4        1.011527           0.113384E-4        1.010169
        0.156000           0.145885E-4        1.011528           0.113389E-4        1.010170
        0.158000           0.145893E-4        1.011528           0.113394E-4        1.010170
        0.160000           0.145901E-4        1.011528           0.113400E-4        1.010170
        0.162000           0.145908E-4        1.011528           0.113405E-4        1.010170
        0.164000           0.145916E-4        1.011529           0.113410E-4        1.010170
        0.166000           0.145924E-4        1.011529           0.113415E-4        1.010171
        0.168000           0.145931E-4        1.011529           0.113421E-4        1.010171
        0.170000           0.145939E-4        1.011530           0.113426E-4        1.010171
        0.172000           0.145947E-4        1.011530           0.113431E-4        1.010171
        0.174000           0.145955E-4        1.011530           0.113436E-4        1.010172
        0.176000           0.145962E-4        1.011530           0.113441E-4        1.010172
        0.178000           0.145970E-4        1.011531           0.113447E-4        1.010172
        0.180000           0.145978E-4        1.011531           0.113452E-4        1.010172
        0.182000           0.145985E-4        1.011531           0.113457E-4        1.010172
        0.184000           0.145993E-4        1.011532           0.113463E-4        1.010173
        0.186000           0.146001E-4        1.011532           0.113468E-4        1.010173
        0.188000           0.146008E-4        1.011532           0.113473E-4        1.010173
        0.190000           0.146016E-4        1.011532           0.113478E-4        1.010173
        0.192000           0.146024E-4        1.011533           0.113484E-4        1.010174
        0.194000           0.146031E-4        1.011533           0.113489E-4        1.010174
        0.196000           0.146039E-4        1.011533           0.113494E-4        1.010174
        0.198000           0.146047E-4        1.011534           0.113499E-4        1.010174
        0.200000           0.146054E-4        1.011534           0.113505E-4        1.010175
        0.202000           0.146062E-4        1.011534           0.113510E-4        1.010175
        0.204000           0.146070E-4        1.011534           0.113515E-4        1.010175
        0.206000           0.146077E-4        1.011535           0.113521E-4        1.010175
        0.208000           0.146085E-4        1.011535           0.113526E-4        1.010175
        0.210000           0.146093E-4        1.011535           0.113531E-4        1.010176
        0.212000           0.146100E-4        1.011536           0.113536E-4        1.010176
        0.214000           0.146108E-4        1.011536           0.113542E-4        1.010176
        0.216000           0.146116E-4        1.011536           0.113547E-4        1.010176
        0.218000           0.146123E-4        1.011537           0.113552E-4        1.010177
        0.220000           0.146131E-4        1.011537           0.113557E-4        1.010177
        0.222000           0.146139E-4        1.011537           0.113563E-4        1.010177
        0.224000           0.146146E-4        1.011537           0.113568E-4        1.010177
        0.226000           0.146154E-4        1.011538           0.113573E-4        1.010177
        0.228000           0.146162E-4        1.011538           0.113578E-4        1.010178
        0.230000           0.146170E-4        1.011538           0.113584E-4        1.010178
        0.232000           0.146177E-4        1.011539           0.113589E-4        1.010178
        0.234000           0.146185E-4        1.011539           0.113594E-4        1.010178
        0.236000           0.146193E-4        1.011539           0.113599E-4        1.010179
        0.238000           0.146200E-4        1.011539           0.113605E-4        1.010179
        0.240000           0.146208E-4        1.011540           0.113610E-4        1.010179
        0.242000           0.146216E-4        1.011540           0.113615E-4        1.010179
        0.244000           0.146223E-4        1.011540           0.113621E-4        1.010180
        0.246000           0.146231E-4        1.011541           0.113626E-4        1.010180
        0.248000           0.146239E-4        1.011541           0.113631E-4        1.010180
        0.250000           0.146246E-4        1.011541           0.113636E-4        1.010180
        0.252000           0.146254E-4        1.011541           0.113642E-4        1.010180
        0.254000           0.146262E-4        1.011542           0.113647E-4        1.010181
        0.256000           0.146270E-4        1.011542           0.113652E-4        1.010181
        0.258000           0.146277E-4        1.011542           0.113658E-4        1.010181
        0.260000           0.146285E-4        1.011543           0.113663E-4        1.010181
        0.262000           0.146293E-4        1.011543           0.113668E-4        1.010182
        0.264000           0.146300E-4        1.011543           0.113673E-4        1.010182
        0.266000           0.146308E-4        1.011544           0.113679E-4        1.010182
        0.268000           0.146316E-4        1.011544           0.113684E-4        1.010182
        0.270000           0.146323E-4        1.011544           0.113689E-4        1.010182
        0.272000           0.146331E-4        1.011544           0.113695E-4        1.010183
        0.274000           0.146339E-4        1.011545           0.113700E-4        1.010183
        0.276000           0.146347E-4        1.011545           0.113705E-4        1.010183
        0.278000           0.146354E-4        1.011545           0.113710E-4        1.010183
        0.280000           0.146362E-4        1.011546           0.113716E-4        1.010184
        0.282000           0.146370E-4        1.011546           0.113721E-4        1.010184
        0.284000           0.146377E-4        1.011546           0.113726E-4        1.010184
        0.286000           0.146385E-4        1.011546           0.113731E-4        1.010184
        0.288000           0.146393E-4        1.011547           0.113737E-4        1.010185
        0.290000           0.146401E-4        1.011547           0.113742E-4        1.010185
        0.292000           0.146408E-4        1.011547           0.113747E-4        1.010185
