#                                                                     
# $$\                                                                 
# $$ |                                                                
# $$ |     $$\   $$\ $$$$$$\$$$$\   $$$$$$\  $$$$$$$\                 
# $$ |     $$ |  $$ |$$  _$$  _$$\ $$  __$$\ $$  __$$\                
# $$ |     $$ |  $$ |$$ / $$ / $$ |$$$$$$$$ |$$ |  $$ |               
# $$ |     $$ |  $$ |$$ | $$ | $$ |$$   ____|$$ |  $$ |               
# $$$$$$$$\\$$$$$$  |$$ | $$ | $$ |\$$$$$$$\ $$ |  $$ |               
# \________|\______/ \__| \__| \__| \_______|\__|  \__|               
#                                                                     
#                   Fork Lumen 2.1.0                                  
#                   Branch is nlresp                                  
#        MPI+OpenMP+SLK+SLEPC+HDF5_MPI_IO Build                       
#               http://www.lumen-code.org                             
#
# Absorption @ Q(1):   1.00000000      0.00000000      0.00000000    [q->0 direction]
#
# [GEN] GF Energies                               : Perdew, Burke & Ernzerhof(X)+Perdew, Burke & Ernzerhof(C)
# [GEN] Green`s Function                          : Resonant
#
# [GEN] Gauge                                     : Length
# [GEN] [r,Vnl] included                          : yes
#
# DIP band range                                  :    1   80
# DIP band range limits                           :   5   6
# DIP e/h energy range                            :  -1.00000000     -1.00000000    [eV]
# RL vectors in the sum                           :  1837
# [r,Vnl] included                                : yes
# Bands ordered                                   : yes
# Direct v evaluation                             : no
# Approach used                                   : G-space v
# Dipoles computed                                : R V P [G-space]
# Wavefunctions                                   : Perdew, Burke & Ernzerhof(X)+Perdew, Burke & Ernzerhof(C)
#
#
# [K] Identifier                                  :   9981
# [K] Dimension                                   :   38400
# [K] Bands                                       :    1   80
# [K] Exchange res                                : yes
# [K] Correlation res                             : yes
# [K] Kernel`s coupling                           : no
# [K] Exchange cpl                                : no
# [K] Correlation cpl                             : no
# [K] W interaction is bare                       : no
# [K] ALDA kernel in R-space                      : no
# [K] RL vectors exchange                         :   531
# [K] RL vectors correlation                      :   89
# [K] E/h energy range                            :  -1.00000000     -1.00000000    [eV]
# [K] Coupling range                              :   100.000000      100.000000    [o/o]
# [W] Interaction is diagonal                     : no
# [W] Matrix size                                 :   89
# [W] Bands                                       :    1   80
# [W] e/h energy range                            :  -1.00000000     -1.00000000    [eV]
# [W] Poles                                       :   100.000000    [o/o]
# [W] RL vectors in the sum                       :  1837
# [W] [r,Vnl] included                            : yes
# [W] Field direction                             :  0.999999975E-5   0.00000000      0.00000000   
# [W] Coulomb Cutoff                              : none
# [W] Hxc Kernel                                  : HARTREE
# [RIM] RL components col                         : 0
# [RIM] Random points col                         : 0
# [SOC] Perturbative SOC                          : no
# [X] Response Kind                               : BAR
#
# Diamagnetic term                                
# Ao                                              :  -8.82443333    [nel]
# A                                               :  -8.95373821    [nel]
#
#    E[1] [eV]          Im(eps)            Re(eps)            Im(eps_o)          Re(eps_o)
#
        0.000000           0.145486E-4        1.011550           0.113185E-4        1.010196
        0.002000           0.145493E-4        1.011550           0.113190E-4        1.010196
        0.004000           0.145501E-4        1.011550           0.113195E-4        1.010196
        0.006000           0.145509E-4        1.011551           0.113201E-4        1.010196
        0.008000           0.145516E-4        1.011551           0.113206E-4        1.010197
        0.010000           0.145524E-4        1.011551           0.113211E-4        1.010197
        0.012000           0.145532E-4        1.011551           0.113216E-4        1.010197
        0.014000           0.145539E-4        1.011552           0.113222E-4        1.010197
        0.016000           0.145547E-4        1.011552           0.113227E-4        1.010198
        0.018000           0.145554E-4        1.011552           0.113232E-4        1.010198
        0.020000           0.145562E-4        1.011553           0.113237E-4        1.010198
        0.022000           0.145570E-4        1.011553           0.113243E-4        1.010198
        0.024000           0.145577E-4        1.011553           0.113248E-4        1.010198
        0.026000           0.145585E-4        1.011553           0.113253E-4        1.010199
        0.028000           0.145593E-4        1.011554           0.113258E-4        1.010199
        0.030000           0.145600E-4        1.011554           0.113264E-4        1.010199
        0.032000           0.145608E-4        1.011554           0.113269E-4        1.010199
        0.034000           0.145615E-4        1.011555           0.113274E-4        1.010200
        0.036000           0.145623E-4        1.011555           0.113279E-4        1.010200
        0.038000           0.145631E-4        1.011555           0.113284E-4        1.010200
        0.040000           0.145638E-4        1.011555           0.113290E-4        1.010200
        0.042000           0.145646E-4        1.011556           0.113295E-4        1.010200
        0.044000           0.145654E-4        1.011556           0.113300E-4        1.010201
        0.046000           0.145661E-4        1.011556           0.113306E-4        1.010201
        0.048000           0.145669E-4        1.011557           0.113311E-4        1.010201
        0.050000           0.145677E-4        1.011557           0.113316E-4        1.010201
        0.052000           0.145684E-4        1.011557           0.113321E-4        1.010202
        0.054000           0.145692E-4        1.011557           0.113326E-4        1.010202
        0.056000           0.145699E-4        1.011558           0.113332E-4        1.010202
        0.058000           0.145707E-4        1.011558           0.113337E-4        1.010202
        0.060000           0.145715E-4        1.011558           0.113342E-4        1.010202
        0.062000           0.145722E-4        1.011559           0.113347E-4        1.010203
        0.064000           0.145730E-4        1.011559           0.113353E-4        1.010203
        0.066000           0.145738E-4        1.011559           0.113358E-4        1.010203
        0.068000           0.145745E-4        1.011559           0.113363E-4        1.010203
        0.070000           0.145753E-4        1.011560           0.113368E-4        1.010204
        0.072000           0.145761E-4        1.011560           0.113374E-4        1.010204
        0.074000           0.145768E-4        1.011560           0.113379E-4        1.010204
        0.076000           0.145776E-4        1.011561           0.113384E-4        1.010204
        0.078000           0.145784E-4        1.011561           0.113389E-4        1.010205
        0.080000           0.145791E-4        1.011561           0.113394E-4        1.010205
        0.082000           0.145799E-4        1.011562           0.113400E-4        1.010205
        0.084000           0.145806E-4        1.011562           0.113405E-4        1.010205
        0.086000           0.145814E-4        1.011562           0.113410E-4        1.010205
