E[1] [eV],Im(eps)_nbnd_10,Im(eps)_nbnd_20,Im(eps)_nbnd_30,Im(eps)_nbnd_40,Im(eps)_nbnd_50,Im(eps)_nbnd_60,Im(eps)_nbnd_70,Im(eps)_nbnd_80
0.000000,0.00000905,0.00001267,0.00001390,0.00001423,0.00001439,0.00001448,0.00001453,0.00001455
0.002000,0.00000905,0.00001267,0.00001390,0.00001423,0.00001440,0.00001448,0.00001453,0.00001455
0.004000,0.00000905,0.00001267,0.00001390,0.00001423,0.00001440,0.00001448,0.00001453,0.00001455
0.006000,0.00000905,0.00001267,0.00001390,0.00001423,0.00001440,0.00001448,0.00001453,0.00001455
0.008000,0.00000905,0.00001267,0.00001390,0.00001423,0.00001440,0.00001448,0.00001453,0.00001455
0.010000,0.00000905,0.00001267,0.00001390,0.00001423,0.00001440,0.00001448,0.00001453,0.00001455
0.012000,0.00000905,0.00001268,0.00001390,0.00001423,0.00001440,0.00001449,0.00001453,0.00001455
0.014000,0.00000905,0.00001268,0.00001390,0.00001423,0.00001440,0.00001449,0.00001453,0.00001455
0.016000,0.00000905,0.00001268,0.00001390,0.00001424,0.00001440,0.00001449,0.00001454,0.00001455
0.018000,0.00000905,0.00001268,0.00001391,0.00001424,0.00001440,0.00001449,0.00001454,0.00001456
0.020000,0.00000905,0.00001268,0.00001391,0.00001424,0.00001440,0.00001449,0.00001454,0.00001456
0.022000,0.00000905,0.00001268,0.00001391,0.00001424,0.00001440,0.00001449,0.00001454,0.00001456
0.024000,0.00000905,0.00001268,0.00001391,0.00001424,0.00001440,0.00001449,0.00001454,0.00001456
0.026000,0.00000905,0.00001268,0.00001391,0.00001424,0.00001440,0.00001449,0.00001454,0.00001456
0.028000,0.00000905,0.00001268,0.00001391,0.00001424,0.00001441,0.00001449,0.00001454,0.00001456
0.030000,0.00000905,0.00001268,0.00001391,0.00001424,0.00001441,0.00001449,0.00001454,0.00001456
0.032000,0.00000906,0.00001268,0.00001391,0.00001424,0.00001441,0.00001449,0.00001454,0.00001456
0.034000,0.00000906,0.00001268,0.00001391,0.00001424,0.00001441,0.00001449,0.00001454,0.00001456
0.036000,0.00000906,0.00001268,0.00001391,0.00001424,0.00001441,0.00001449,0.00001454,0.00001456
0.038000,0.00000906,0.00001268,0.00001391,0.00001424,0.00001441,0.00001450,0.00001454,0.00001456
0.040000,0.00000906,0.00001268,0.00001391,0.00001424,0.00001441,0.00001450,0.00001454,0.00001456
0.042000,0.00000906,0.00001269,0.00001391,0.00001424,0.00001441,0.00001450,0.00001455,0.00001456
0.044000,0.00000906,0.00001269,0.00001392,0.00001425,0.00001441,0.00001450,0.00001455,0.00001457
0.046000,0.00000906,0.00001269,0.00001392,0.00001425,0.00001441,0.00001450,0.00001455,0.00001457
0.048000,0.00000906,0.00001269,0.00001392,0.00001425,0.00001441,0.00001450,0.00001455,0.00001457
0.050000,0.00000906,0.00001269,0.00001392,0.00001425,0.00001441,0.00001450,0.00001455,0.00001457
0.052000,0.00000906,0.00001269,0.00001392,0.00001425,0.00001441,0.00001450,0.00001455,0.00001457
0.054000,0.00000906,0.00001269,0.00001392,0.00001425,0.00001441,0.00001450,0.00001455,0.00001457
0.056000,0.00000906,0.00001269,0.00001392,0.00001425,0.00001442,0.00001450,0.00001455,0.00001457
0.058000,0.00000906,0.00001269,0.00001392,0.00001425,0.00001442,0.00001450,0.00001455,0.00001457
0.060000,0.00000906,0.00001269,0.00001392,0.00001425,0.00001442,0.00001450,0.00001455,0.00001457
0.062000,0.00000906,0.00001269,0.00001392,0.00001425,0.00001442,0.00001450,0.00001455,0.00001457
0.064000,0.00000906,0.00001269,0.00001392,0.00001425,0.00001442,0.00001451,0.00001455,0.00001457
0.066000,0.00000906,0.00001269,0.00001392,0.00001425,0.00001442,0.00001451,0.00001455,0.00001457
0.068000,0.00000906,0.00001269,0.00001392,0.00001425,0.00001442,0.00001451,0.00001455,0.00001457
0.070000,0.00000907,0.00001270,0.00001393,0.00001426,0.00001442,0.00001451,0.00001456,0.00001458
0.072000,0.00000907,0.00001270,0.00001393,0.00001426,0.00001442,0.00001451,0.00001456,0.00001458
0.074000,0.00000907,0.00001270,0.00001393,0.00001426,0.00001442,0.00001451,0.00001456,0.00001458
0.076000,0.00000907,0.00001270,0.00001393,0.00001426,0.00001442,0.00001451,0.00001456,0.00001458
0.078000,0.00000907,0.00001270,0.00001393,0.00001426,0.00001442,0.00001451,0.00001456,0.00001458
0.080000,0.00000907,0.00001270,0.00001393,0.00001426,0.00001442,0.00001451,0.00001456,0.00001458
0.082000,0.00000907,0.00001270,0.00001393,0.00001426,0.00001443,0.00001451,0.00001456,0.00001458
0.084000,0.00000907,0.00001270,0.00001393,0.00001426,0.00001443,0.00001451,0.00001456,0.00001458
