E[1] [eV],Re(eps)_nbnd_10,Re(eps)_nbnd_20,Re(eps)_nbnd_30,Re(eps)_nbnd_40,Re(eps)_nbnd_50,Re(eps)_nbnd_60,Re(eps)_nbnd_70,Re(eps)_nbnd_80
0.000000,1.00638000,1.00945000,1.01065800,1.01104800,1.01127900,1.01141700,1.01150500,1.01155000
0.002000,1.00638000,1.00945000,1.01065800,1.01104900,1.01127900,1.01141700,1.01150500,1.01155000
0.004000,1.00638000,1.00945000,1.01065900,1.01104900,1.01128000,1.01141700,1.01150500,1.01155000
0.006000,1.00638000,1.00945100,1.01065900,1.01104900,1.01128000,1.01141800,1.01150600,1.01155100
0.008000,1.00638000,1.00945100,1.01065900,1.01105000,1.01128000,1.01141800,1.01150600,1.01155100
0.010000,1.00638100,1.00945100,1.01065900,1.01105000,1.01128100,1.01141800,1.01150600,1.01155100
0.012000,1.00638100,1.00945100,1.01066000,1.01105000,1.01128100,1.01141800,1.01150700,1.01155100
0.014000,1.00638100,1.00945200,1.01066000,1.01105000,1.01128100,1.01141900,1.01150700,1.01155200
0.016000,1.00638100,1.00945200,1.01066000,1.01105100,1.01128100,1.01141900,1.01150700,1.01155200
0.018000,1.00638100,1.00945200,1.01066100,1.01105100,1.01128200,1.01141900,1.01150700,1.01155200
0.020000,1.00638200,1.00945200,1.01066100,1.01105100,1.01128200,1.01142000,1.01150800,1.01155300
0.022000,1.00638200,1.00945300,1.01066100,1.01105200,1.01128200,1.01142000,1.01150800,1.01155300
0.024000,1.00638200,1.00945300,1.01066100,1.01105200,1.01128300,1.01142000,1.01150800,1.01155300
0.026000,1.00638200,1.00945300,1.01066200,1.01105200,1.01128300,1.01142000,1.01150900,1.01155300
0.028000,1.00638200,1.00945300,1.01066200,1.01105200,1.01128300,1.01142100,1.01150900,1.01155400
0.030000,1.00638200,1.00945400,1.01066200,1.01105300,1.01128400,1.01142100,1.01150900,1.01155400
0.032000,1.00638300,1.00945400,1.01066300,1.01105300,1.01128400,1.01142100,1.01150900,1.01155400
0.034000,1.00638300,1.00945400,1.01066300,1.01105300,1.01128400,1.01142200,1.01151000,1.01155500
0.036000,1.00638300,1.00945400,1.01066300,1.01105400,1.01128400,1.01142200,1.01151000,1.01155500
0.038000,1.00638300,1.00945500,1.01066300,1.01105400,1.01128500,1.01142200,1.01151000,1.01155500
0.040000,1.00638300,1.00945500,1.01066400,1.01105400,1.01128500,1.01142200,1.01151100,1.01155500
