nbnd_1,nbnd_2,N_common_energy_points,rms
10,20,5001,0.000004134
10,30,5001,0.000005512
10,40,5001,0.000005875
10,50,5001,0.000006054
10,60,5001,0.000006147
10,70,5001,0.000006197
10,80,5001,0.000006217
20,30,5001,0.000001378
20,40,5001,0.000001741
20,50,5001,0.000001920
20,60,5001,0.000002012
20,70,5001,0.000002063
20,80,5001,0.000002083
30,40,5001,0.000000363
30,50,5001,0.000000542
30,60,5001,0.000000635
30,70,5001,0.000000685
30,80,5001,0.000000705
40,50,5001,0.000000179
40,60,5001,0.000000272
40,70,5001,0.000000322
40,80,5001,0.000000342
50,60,5001,0.000000092
50,70,5001,0.000000143
50,80,5001,0.000000163
60,70,5001,0.000000050
60,80,5001,0.000000071
70,80,5001,0.000000020
