nbnd_1,nbnd_2,N_common_energy_points,rms
10,20,5001,0.003269594
10,30,5001,0.004544528
10,40,5001,0.004952549
10,50,5001,0.005192062
10,60,5001,0.005334034
10,70,5001,0.005424673
10,80,5001,0.005470532
20,30,5001,0.001274947
20,40,5001,0.001682980
20,50,5001,0.001922504
20,60,5001,0.002064484
20,70,5001,0.002155130
20,80,5001,0.002200993
30,40,5001,0.000408037
30,50,5001,0.000647567
30,60,5001,0.000789552
30,70,5001,0.000880203
30,80,5001,0.000926068
40,50,5001,0.000239531
40,60,5001,0.000381518
40,70,5001,0.000472169
40,80,5001,0.000518036
50,60,5001,0.000141987
50,70,5001,0.000232639
50,80,5001,0.000278506
60,70,5001,0.000090653
60,80,5001,0.000136521
70,80,5001,0.000045869
