#                                                                     
# $$\                                                                 
# $$ |                                                                
# $$ |     $$\   $$\ $$$$$$\$$$$\   $$$$$$\  $$$$$$$\                 
# $$ |     $$ |  $$ |$$  _$$  _$$\ $$  __$$\ $$  __$$\                
# $$ |     $$ |  $$ |$$ / $$ / $$ |$$$$$$$$ |$$ |  $$ |               
# $$ |     $$ |  $$ |$$ | $$ | $$ |$$   ____|$$ |  $$ |               
# $$$$$$$$\\$$$$$$  |$$ | $$ | $$ |\$$$$$$$\ $$ |  $$ |               
# \________|\______/ \__| \__| \__| \_______|\__|  \__|               
#                                                                     
#                   Fork Lumen 2.1.0                                  
#                   Branch is nlresp                                  
#        MPI+OpenMP+SLK+SLEPC+HDF5_MPI_IO Build                       
#               http://www.lumen-code.org                             
#
# Absorption @ Q(1):  0.577350259     0.577350259     0.577350259    [q->0 direction]
#
# [GEN] GF Energies                               : Perdew, Burke & Ernzerhof(X)+Perdew, Burke & Ernzerhof(C)
# [GEN] Green`s Function                          : Resonant
#
# [GEN] Gauge                                     : Length
# [GEN] [r,Vnl] included                          : yes
#
# DIP band range                                  :   3   8
# DIP band range limits                           :   5   6
# DIP e/h energy range                            :  -1.00000000     -1.00000000    [eV]
# RL vectors in the sum                           :  1639
# [r,Vnl] included                                : yes
# Bands ordered                                   : yes
# Direct v evaluation                             : no
# Approach used                                   : G-space v
# Dipoles computed                                : R V P [G-space]
# Wavefunctions                                   : Perdew, Burke & Ernzerhof(X)+Perdew, Burke & Ernzerhof(C)
#
#
# [K] Identifier                                  :  1479
# [K] Dimension                                   :   36000
# [K] Bands                                       :   3   8
# [K] Exchange res                                : yes
# [K] Correlation res                             : yes
# [K] Kernel`s coupling                           : no
# [K] Exchange cpl                                : no
# [K] Correlation cpl                             : no
# [K] W interaction is bare                       : no
# [K] ALDA kernel in R-space                      : no
# [K] RL vectors exchange                         :  169
# [K] RL vectors correlation                      :   89
# [K] E/h energy range                            :  -1.00000000     -1.00000000    [eV]
# [K] Coupling range                              :   100.000000      100.000000    [o/o]
# [W] Interaction is diagonal                     : no
# [W] Matrix size                                 :   89
# [W] Bands                                       :   1  30
# [W] e/h energy range                            :  -1.00000000     -1.00000000    [eV]
# [W] Poles                                       :   100.000000    [o/o]
# [W] RL vectors in the sum                       :  1639
# [W] [r,Vnl] included                            : yes
# [W] Field direction                             :  0.999999975E-5   0.00000000      0.00000000   
# [W] Coulomb Cutoff                              : none
# [W] Hxc Kernel                                  : HARTREE
# [RIM] RL components col                         : 0
# [RIM] Random points col                         : 0
# [SOC] Perturbative SOC                          : no
# [X] Response Kind                               : bar
#
# Diamagnetic term                                
# Ao                                              :  -8.68975735    [nel]
# A                                               :  -8.96190262    [nel]
#
#    E[1] [eV]          Im(eps)            Re(eps)            Im(eps_o)          Re(eps_o)
#
        5.000000           0.008031           1.605902           0.003134           1.394253
        5.037593           0.008121           1.608937           0.003154           1.395435
        5.075188           0.008213           1.612005           0.003174           1.396624
        5.112782           0.008306           1.615109           0.003195           1.397821
        5.150376           0.008401           1.618248           0.003216           1.399026
        5.187970           0.008498           1.621423           0.003237           1.400238
        5.225564           0.008597           1.624635           0.003258           1.401459
        5.263157           0.008697           1.627884           0.003280           1.402688
        5.300752           0.008800           1.631171           0.003301           1.403924
        5.338346           0.008904           1.634497           0.003323           1.405170
        5.375940           0.009011           1.637863           0.003345           1.406423
        5.413534           0.009119           1.641269           0.003368           1.407684
        5.451128           0.009230           1.644716           0.003391           1.408955
        5.488721           0.009343           1.648205           0.003414           1.410233
        5.526316           0.009457           1.651737           0.003437           1.411521
        5.563910           0.009575           1.655312           0.003460           1.412817
        5.601503           0.009694           1.658932           0.003484           1.414122
        5.639097           0.009816           1.662597           0.003508           1.415436
        5.676692           0.009941           1.666308           0.003532           1.416759
        5.714285           0.010068           1.670067           0.003556           1.418092
        5.751880           0.010198           1.673874           0.003581           1.419433
        5.789474           0.010330           1.677730           0.003606           1.420784
        5.827067           0.010465           1.681636           0.003632           1.422144
        5.864661           0.010603           1.685594           0.003657           1.423514
        5.902255           0.010744           1.689604           0.003683           1.424893
        5.939849           0.010888           1.693667           0.003709           1.426282
        5.977444           0.011035           1.697785           0.003736           1.427682
        6.015037           0.011186           1.701959           0.003763           1.429091
        6.052631           0.011339           1.706190           0.003790           1.430510
        6.090225           0.011496           1.710479           0.003817           1.431940
        6.127820           0.011657           1.714828           0.003845           1.433379
        6.165413           0.011821           1.719238           0.003873           1.434830
        6.203007           0.011989           1.723710           0.003901           1.436291
        6.240601           0.012161           1.728246           0.003930           1.437762
        6.278195           0.012337           1.732847           0.003959           1.439245
        6.315789           0.012517           1.737516           0.003988           1.440739
        6.353383           0.012701           1.742252           0.004018           1.442243
        6.390977           0.012890           1.747058           0.004048           1.443759
        6.428571           0.013083           1.751936           0.004079           1.445287
        6.466165           0.013281           1.756888           0.004110           1.446826
        6.503759           0.013484           1.761914           0.004141           1.448376
        6.541353           0.013692           1.767018           0.004173           1.449939
        6.578947           0.013905           1.772200           0.004205           1.451513
        6.616541           0.014123           1.777464           0.004237           1.453099
        6.654135           0.014347           1.782810           0.004270           1.454698
        6.691729           0.014577           1.788242           0.004303           1.456309
        6.729323           0.014813           1.793761           0.004337           1.457932
        6.766917           0.015055           1.799369           0.004371           1.459569
        6.804511           0.015303           1.805069           0.004405           1.461218
        6.842104           0.015558           1.810864           0.004440           1.462880
        6.879699           0.015820           1.816756           0.004476           1.464556
        6.917293           0.016089           1.822748           0.004511           1.466244
        6.954887           0.016366           1.828841           0.004548           1.467947
        6.992481           0.016650           1.835040           0.004585           1.469663
        7.030074           0.016943           1.841347           0.004622           1.471393
        7.067669           0.017243           1.847765           0.004660           1.473137
        7.105263           0.017553           1.854297           0.004698           1.474896
        7.142857           0.017871           1.860947           0.004737           1.476668
        7.180451           0.018199           1.867718           0.004776           1.478456
        7.218045           0.018536           1.874614           0.004816           1.480259
        7.255639           0.018884           1.881639           0.004856           1.482077
        7.293232           0.019243           1.888795           0.004897           1.483909
