#                                                                     
# $$\                                                                 
# $$ |                                                                
# $$ |     $$\   $$\ $$$$$$\$$$$\   $$$$$$\  $$$$$$$\                 
# $$ |     $$ |  $$ |$$  _$$  _$$\ $$  __$$\ $$  __$$\                
# $$ |     $$ |  $$ |$$ / $$ / $$ |$$$$$$$$ |$$ |  $$ |               
# $$ |     $$ |  $$ |$$ | $$ | $$ |$$   ____|$$ |  $$ |               
# $$$$$$$$\\$$$$$$  |$$ | $$ | $$ |\$$$$$$$\ $$ |  $$ |               
# \________|\______/ \__| \__| \__| \_______|\__|  \__|               
#                                                                     
#                   Fork Lumen 2.1.0                                  
#                   Branch is nlresp                                  
#        MPI+OpenMP+SLK+SLEPC+HDF5_MPI_IO Build                       
#               http://www.lumen-code.org                             
#
# Absorption @ Q(1):  0.577350259     0.577350259     0.577350259    [q->0 direction]
#
# [GEN] GF Energies                               : Perdew, Burke & Ernzerhof(X)+Perdew, Burke & Ernzerhof(C)
# [GEN] Green`s Function                          : Resonant
#
# [GEN] Gauge                                     : Length
# [GEN] [r,Vnl] included                          : yes
#
# DIP band range                                  :   3   8
# DIP band range limits                           :   5   6
# DIP e/h energy range                            :  -1.00000000     -1.00000000    [eV]
# RL vectors in the sum                           :  1639
# [r,Vnl] included                                : yes
# Bands ordered                                   : yes
# Direct v evaluation                             : no
# Approach used                                   : G-space v
# Dipoles computed                                : R V P [G-space]
# Wavefunctions                                   : Perdew, Burke & Ernzerhof(X)+Perdew, Burke & Ernzerhof(C)
#
#
# [K] Identifier                                  :   5858
# [K] Dimension                                   :  2304
# [K] Bands                                       :   3   8
# [K] Exchange res                                : yes
# [K] Correlation res                             : yes
# [K] Kernel`s coupling                           : no
# [K] Exchange cpl                                : no
# [K] Correlation cpl                             : no
# [K] W interaction is bare                       : no
# [K] ALDA kernel in R-space                      : no
# [K] RL vectors exchange                         :  169
# [K] RL vectors correlation                      :   89
# [K] E/h energy range                            :  -1.00000000     -1.00000000    [eV]
# [K] Coupling range                              :   100.000000      100.000000    [o/o]
# [W] Interaction is diagonal                     : no
# [W] Matrix size                                 :   89
# [W] Bands                                       :   1  30
# [W] e/h energy range                            :  -1.00000000     -1.00000000    [eV]
# [W] Poles                                       :   100.000000    [o/o]
# [W] RL vectors in the sum                       :  1639
# [W] [r,Vnl] included                            : yes
# [W] Field direction                             :  0.999999975E-5   0.00000000      0.00000000   
# [W] Coulomb Cutoff                              : none
# [W] Hxc Kernel                                  : HARTREE
# [RIM] RL components col                         : 0
# [RIM] Random points col                         : 0
# [SOC] Perturbative SOC                          : no
# [X] Response Kind                               : bar
#
# Diamagnetic term                                
# Ao                                              :  -8.69183731    [nel]
# A                                               :  -8.95817566    [nel]
#
#    E[1] [eV]          Im(eps)            Re(eps)            Im(eps_o)          Re(eps_o)
#
        5.000000           0.007840           1.601822           0.003158           1.396655
        5.037593           0.007927           1.604784           0.003178           1.397845
        5.075188           0.008014           1.607779           0.003199           1.399044
        5.112782           0.008104           1.610807           0.003219           1.400250
        5.150376           0.008194           1.613870           0.003240           1.401464
        5.187970           0.008287           1.616966           0.003262           1.402686
        5.225564           0.008381           1.620098           0.003283           1.403916
        5.263157           0.008477           1.623265           0.003305           1.405154
        5.300752           0.008575           1.626468           0.003327           1.406401
        5.338346           0.008674           1.629709           0.003349           1.407655
        5.375940           0.008776           1.632987           0.003371           1.408918
        5.413534           0.008879           1.636304           0.003394           1.410190
        5.451128           0.008984           1.639660           0.003417           1.411470
        5.488721           0.009092           1.643056           0.003440           1.412758
        5.526316           0.009201           1.646493           0.003463           1.414056
        5.563910           0.009313           1.649971           0.003487           1.415362
        5.601503           0.009426           1.653491           0.003511           1.416677
        5.639097           0.009542           1.657055           0.003535           1.418001
        5.676692           0.009660           1.660662           0.003559           1.419334
        5.714285           0.009781           1.664314           0.003584           1.420677
        5.751880           0.009904           1.668012           0.003609           1.422028
        5.789474           0.010030           1.671757           0.003634           1.423390
        5.827067           0.010158           1.675549           0.003660           1.424760
        5.864661           0.010288           1.679389           0.003685           1.426141
        5.902255           0.010422           1.683280           0.003712           1.427531
        5.939849           0.010558           1.687221           0.003738           1.428931
        5.977444           0.010697           1.691214           0.003765           1.430341
        6.015037           0.010839           1.695259           0.003792           1.431761
        6.052631           0.010985           1.699358           0.003819           1.433191
        6.090225           0.011133           1.703513           0.003847           1.434632
        6.127820           0.011285           1.707724           0.003874           1.436083
        6.165413           0.011439           1.711992           0.003903           1.437544
        6.203007           0.011598           1.716319           0.003931           1.439017
        6.240601           0.011760           1.720706           0.003960           1.440500
        6.278195           0.011925           1.725155           0.003990           1.441994
        6.315789           0.012095           1.729666           0.004019           1.443499
        6.353383           0.012268           1.734242           0.004049           1.445015
        6.390977           0.012445           1.738884           0.004080           1.446543
        6.428571           0.012627           1.743593           0.004110           1.448082
        6.466165           0.012813           1.748371           0.004141           1.449633
        6.503759           0.013003           1.753219           0.004173           1.451195
        6.541353           0.013198           1.758140           0.004205           1.452769
        6.578947           0.013397           1.763134           0.004237           1.454356
        6.616541           0.013601           1.768205           0.004270           1.455954
        6.654135           0.013811           1.773352           0.004303           1.457565
        6.691729           0.014026           1.778580           0.004336           1.459189
        6.729323           0.014246           1.783889           0.004370           1.460825
        6.766917           0.014472           1.789282           0.004404           1.462474
        6.804511           0.014703           1.794760           0.004439           1.464136
        6.842104           0.014941           1.800327           0.004474           1.465811
        6.879699           0.015185           1.805984           0.004510           1.467499
        6.917293           0.015435           1.811733           0.004546           1.469201
        6.954887           0.015692           1.817578           0.004583           1.470916
        6.992481           0.015956           1.823520           0.004620           1.472646
        7.030074           0.016227           1.829563           0.004657           1.474389
        7.067669           0.016506           1.835709           0.004695           1.476146
        7.105263           0.016792           1.841960           0.004734           1.477918
        7.142857           0.017087           1.848321           0.004773           1.479705
        7.180451           0.017390           1.854794           0.004812           1.481506
        7.218045           0.017702           1.861382           0.004853           1.483322
        7.255639           0.018023           1.868088           0.004893           1.485154
        7.293232           0.018353           1.874917           0.004935           1.487001
        7.330826           0.018693           1.881872           0.004976           1.488863
        7.368421           0.019044           1.888955           0.005019           1.490741
        7.406014           0.019405           1.896173           0.005062           1.492635
        7.443608           0.019777           1.903527           0.005105           1.494546
        7.481203           0.020161           1.911024           0.005149           1.496473
        7.518797           0.020557           1.918666           0.005194           1.498417
        7.556391           0.020966           1.926459           0.005240           1.500377
        7.593984           0.021388           1.934408           0.005286           1.502355
        7.631578           0.021824           1.942518           0.005332           1.504350
        7.669173           0.022275           1.950794           0.005380           1.506363
        7.706767           0.022740           1.959241           0.005428           1.508394
        7.744360           0.023222           1.967865           0.005477           1.510443
        7.781955           0.023720           1.976674           0.005526           1.512511
        7.819549           0.024236           1.985671           0.005577           1.514597
        7.857142           0.024769           1.994865           0.005628           1.516702
        7.894736           0.025322           2.004263           0.005679           1.518827
        7.932330           0.025896           2.013871           0.005732           1.520971
        7.969924           0.026490           2.023699           0.005785           1.523135
        8.007519           0.027106           2.033752           0.005839           1.525320
        8.045113           0.027746           2.044041           0.005895           1.527525
        8.082706           0.028411           2.054573           0.005950           1.529750
        8.120299           0.029102           2.065359           0.006007           1.531997
        8.157894           0.029820           2.076409           0.006065           1.534266
        8.195488           0.030567           2.087733           0.006123           1.536556
        8.233082           0.031344           2.099341           0.006183           1.538868
        8.270677           0.032154           2.111246           0.006243           1.541203
        8.308270           0.032998           2.123461           0.006305           1.543561
        8.345864           0.033878           2.135997           0.006367           1.545942
        8.383458           0.034797           2.148870           0.006430           1.548346
        8.421052           0.035756           2.162093           0.006495           1.550775
        8.458646           0.036758           2.175683           0.006561           1.553228
        8.496240           0.037806           2.189655           0.006627           1.555706
        8.533834           0.038903           2.204028           0.006695           1.558209
        8.571428           0.040052           2.218820           0.006764           1.560738
        8.609021           0.041257           2.234051           0.006834           1.563293
        8.646616           0.042520           2.249742           0.006905           1.565874
        8.684210           0.043847           2.265916           0.006978           1.568482
        8.721804           0.045241           2.282598           0.007052           1.571118
        8.759398           0.046707           2.299812           0.007127           1.573782
        8.796992           0.048252           2.317588           0.007203           1.576474
        8.834586           0.049879           2.335954           0.007281           1.579196
        8.872180           0.051596           2.354943           0.007360           1.581947
        8.909773           0.053410           2.374588           0.007441           1.584727
        8.947368           0.055327           2.394928           0.007523           1.587539
        8.984962           0.057357           2.416002           0.007606           1.590381
        9.022555           0.059508           2.437852           0.007692           1.593255
        9.060150           0.061791           2.460527           0.007778           1.596162
        9.097744           0.064217           2.484076           0.007867           1.599101
        9.135338           0.066798           2.508553           0.007957           1.602074
        9.172933           0.069548           2.534019           0.008049           1.605081
        9.210526           0.072483           2.560539           0.008142           1.608122
        9.248120           0.075620           2.588183           0.008238           1.611200
        9.285713           0.078978           2.617029           0.008335           1.614313
        9.323307           0.082579           2.647162           0.008434           1.617464
        9.360902           0.086447           2.678675           0.008536           1.620652
        9.398496           0.090611           2.711670           0.008639           1.623878
        9.436090           0.095101           2.746261           0.008744           1.627144
        9.473684           0.099954           2.782573           0.008852           1.630449
        9.511277           0.105210           2.820744           0.008962           1.633795
        9.548872           0.110915           2.860929           0.009074           1.637183
        9.586466           0.117124           2.903301           0.009188           1.640614
        9.624060           0.123899           2.948050           0.009305           1.644088
        9.661654           0.131311           2.995395           0.009425           1.647606
        9.699247           0.139444           3.045578           0.009547           1.651170
        9.736841           0.148396           3.098872           0.009672           1.654780
        9.774436           0.158282           3.155593           0.009799           1.658437
        9.812029           0.169239           3.216089           0.009930           1.662143
        9.849624           0.181430           3.280775           0.010063           1.665898
        9.887218           0.195047           3.350112           0.010199           1.669704
