#                                                                     
# $$\                                                                 
# $$ |                                                                
# $$ |     $$\   $$\ $$$$$$\$$$$\   $$$$$$\  $$$$$$$\                 
# $$ |     $$ |  $$ |$$  _$$  _$$\ $$  __$$\ $$  __$$\                
# $$ |     $$ |  $$ |$$ / $$ / $$ |$$$$$$$$ |$$ |  $$ |               
# $$ |     $$ |  $$ |$$ | $$ | $$ |$$   ____|$$ |  $$ |               
# $$$$$$$$\\$$$$$$  |$$ | $$ | $$ |\$$$$$$$\ $$ |  $$ |               
# \________|\______/ \__| \__| \__| \_______|\__|  \__|               
#                                                                     
#                   Fork Lumen 2.1.0                                  
#                   Branch is nlresp                                  
#        MPI+OpenMP+SLK+SLEPC+HDF5_MPI_IO Build                       
#               http://www.lumen-code.org                             
#
# Absorption @ Q(1):  0.577350259     0.577350259     0.577350259    [q->0 direction]
#
# [GEN] GF Energies                               : Perdew, Burke & Ernzerhof(X)+Perdew, Burke & Ernzerhof(C)
# [GEN] Green`s Function                          : Resonant
#
# [GEN] Gauge                                     : Length
# [GEN] [r,Vnl] included                          : yes
#
# DIP band range                                  :   3   8
# DIP band range limits                           :   5   6
# DIP e/h energy range                            :  -1.00000000     -1.00000000    [eV]
# RL vectors in the sum                           :  1639
# [r,Vnl] included                                : yes
# Bands ordered                                   : yes
# Direct v evaluation                             : no
# Approach used                                   : G-space v
# Dipoles computed                                : R V P [G-space]
# Wavefunctions                                   : Perdew, Burke & Ernzerhof(X)+Perdew, Burke & Ernzerhof(C)
#
#
# [K] Identifier                                  :   4196
# [K] Dimension                                   :   7776
# [K] Bands                                       :   3   8
# [K] Exchange res                                : yes
# [K] Correlation res                             : yes
# [K] Kernel`s coupling                           : no
# [K] Exchange cpl                                : no
# [K] Correlation cpl                             : no
# [K] W interaction is bare                       : no
# [K] ALDA kernel in R-space                      : no
# [K] RL vectors exchange                         :  169
# [K] RL vectors correlation                      :   89
# [K] E/h energy range                            :  -1.00000000     -1.00000000    [eV]
# [K] Coupling range                              :   100.000000      100.000000    [o/o]
# [W] Interaction is diagonal                     : no
# [W] Matrix size                                 :   89
# [W] Bands                                       :   1  30
# [W] e/h energy range                            :  -1.00000000     -1.00000000    [eV]
# [W] Poles                                       :   100.000000    [o/o]
# [W] RL vectors in the sum                       :  1639
# [W] [r,Vnl] included                            : yes
# [W] Field direction                             :  0.999999975E-5   0.00000000      0.00000000   
# [W] Coulomb Cutoff                              : none
# [W] Hxc Kernel                                  : HARTREE
# [RIM] RL components col                         : 0
# [RIM] Random points col                         : 0
# [SOC] Perturbative SOC                          : no
# [X] Response Kind                               : bar
#
# Diamagnetic term                                
# Ao                                              :  -8.69280815    [nel]
# A                                               :  -8.96113014    [nel]
#
#    E[1] [eV]          Im(eps)            Re(eps)            Im(eps_o)          Re(eps_o)
#
        5.000000           0.007954           1.604274           0.003147           1.395360
        5.037593           0.008043           1.607279           0.003168           1.396546
        5.075188           0.008133           1.610318           0.003188           1.397741
        5.112782           0.008224           1.613391           0.003209           1.398943
        5.150376           0.008318           1.616499           0.003230           1.400153
        5.187970           0.008413           1.619642           0.003251           1.401371
        5.225564           0.008510           1.622822           0.003273           1.402597
        5.263157           0.008608           1.626038           0.003294           1.403831
        5.300752           0.008709           1.629291           0.003316           1.405074
        5.338346           0.008811           1.632583           0.003338           1.406324
        5.375940           0.008916           1.635913           0.003360           1.407583
        5.413534           0.009022           1.639283           0.003383           1.408851
        5.451128           0.009130           1.642694           0.003406           1.410126
        5.488721           0.009241           1.646145           0.003429           1.411411
        5.526316           0.009354           1.649638           0.003452           1.412704
        5.563910           0.009468           1.653174           0.003476           1.414006
        5.601503           0.009586           1.656753           0.003500           1.415317
        5.639097           0.009705           1.660377           0.003524           1.416637
        5.676692           0.009827           1.664046           0.003548           1.417966
        5.714285           0.009951           1.667762           0.003573           1.419304
        5.751880           0.010078           1.671525           0.003598           1.420652
        5.789474           0.010208           1.675335           0.003623           1.422009
        5.827067           0.010340           1.679195           0.003648           1.423375
        5.864661           0.010475           1.683105           0.003674           1.424751
        5.902255           0.010613           1.687066           0.003700           1.426137
        5.939849           0.010754           1.691080           0.003726           1.427532
        5.977444           0.010898           1.695147           0.003753           1.428938
        6.015037           0.011045           1.699269           0.003780           1.430354
        6.052631           0.011195           1.703446           0.003807           1.431779
        6.090225           0.011348           1.707680           0.003835           1.433215
        6.127820           0.011505           1.711973           0.003862           1.434662
        6.165413           0.011665           1.716325           0.003891           1.436119
        6.203007           0.011829           1.720737           0.003919           1.437587
        6.240601           0.011997           1.725213           0.003948           1.439065
        6.278195           0.012169           1.729752           0.003977           1.440555
        6.315789           0.012344           1.734355           0.004007           1.442055
        6.353383           0.012524           1.739026           0.004037           1.443567
        6.390977           0.012708           1.743765           0.004067           1.445090
        6.428571           0.012896           1.748574           0.004098           1.446625
        6.466165           0.013089           1.753454           0.004129           1.448171
        6.503759           0.013287           1.758408           0.004160           1.449728
        6.541353           0.013489           1.763436           0.004192           1.451298
        6.578947           0.013696           1.768542           0.004224           1.452880
        6.616541           0.013909           1.773726           0.004257           1.454473
        6.654135           0.014127           1.778991           0.004290           1.456079
        6.691729           0.014350           1.784338           0.004323           1.457698
        6.729323           0.014580           1.789771           0.004357           1.459329
        6.766917           0.014815           1.795290           0.004391           1.460973
        6.804511           0.015056           1.800899           0.004426           1.462630
        6.842104           0.015304           1.806600           0.004461           1.464300
        6.879699           0.015558           1.812395           0.004497           1.465984
        6.917293           0.015819           1.818287           0.004533           1.467681
        6.954887           0.016088           1.824278           0.004569           1.469391
        6.992481           0.016363           1.830370           0.004606           1.471115
