#                                                                     
# $$\                                                                 
# $$ |                                                                
# $$ |     $$\   $$\ $$$$$$\$$$$\   $$$$$$\  $$$$$$$\                 
# $$ |     $$ |  $$ |$$  _$$  _$$\ $$  __$$\ $$  __$$\                
# $$ |     $$ |  $$ |$$ / $$ / $$ |$$$$$$$$ |$$ |  $$ |               
# $$ |     $$ |  $$ |$$ | $$ | $$ |$$   ____|$$ |  $$ |               
# $$$$$$$$\\$$$$$$  |$$ | $$ | $$ |\$$$$$$$\ $$ |  $$ |               
# \________|\______/ \__| \__| \__| \_______|\__|  \__|               
#                                                                     
#                   Fork Lumen 2.1.0                                  
#                   Branch is nlresp                                  
#        MPI+OpenMP+SLK+SLEPC+HDF5_MPI_IO Build                       
#               http://www.lumen-code.org                             
#
# Absorption @ Q(1):   1.00000000      0.00000000      0.00000000    [q->0 direction]
#
# [GEN] GF Energies                               : Perdew, Burke & Ernzerhof(X)+Perdew, Burke & Ernzerhof(C)
# [GEN] Green`s Function                          : Resonant
#
# [GEN] Gauge                                     : Length
# [GEN] [r,Vnl] included                          : yes
#
# DIP band range                                  :   1  10
# DIP band range limits                           :   5   6
# DIP e/h energy range                            :  -1.00000000     -1.00000000    [eV]
# RL vectors in the sum                           :  1837
# [r,Vnl] included                                : yes
# Bands ordered                                   : yes
# Direct v evaluation                             : no
# Approach used                                   : G-space v
# Dipoles computed                                : R V P [G-space]
# Wavefunctions                                   : Perdew, Burke & Ernzerhof(X)+Perdew, Burke & Ernzerhof(C)
#
#
# [K] Identifier                                  :  131
# [K] Dimension                                   :   5000
# [K] Bands                                       :   1  10
# [K] Exchange res                                : yes
# [K] Correlation res                             : yes
# [K] Kernel`s coupling                           : no
# [K] Exchange cpl                                : no
# [K] Correlation cpl                             : no
# [K] W interaction is bare                       : no
# [K] ALDA kernel in R-space                      : no
# [K] RL vectors exchange                         :   531
# [K] RL vectors correlation                      :   89
# [K] E/h energy range                            :  -1.00000000     -1.00000000    [eV]
# [K] Coupling range                              :   100.000000      100.000000    [o/o]
# [W] Interaction is diagonal                     : no
# [W] Matrix size                                 :   89
# [W] Bands                                       :   1  10
# [W] e/h energy range                            :  -1.00000000     -1.00000000    [eV]
# [W] Poles                                       :   100.000000    [o/o]
# [W] RL vectors in the sum                       :  1837
# [W] [r,Vnl] included                            : yes
# [W] Field direction                             :  0.999999975E-5   0.00000000      0.00000000   
# [W] Coulomb Cutoff                              : none
# [W] Hxc Kernel                                  : HARTREE
# [RIM] RL components col                         : 0
# [RIM] Random points col                         : 0
# [SOC] Perturbative SOC                          : no
# [X] Response Kind                               : BAR
#
# Diamagnetic term                                
# Ao                                              :  -9.57579422    [nel]
# A                                               :  -9.61718178    [nel]
#
#    E[1] [eV]          Im(eps)            Re(eps)            Im(eps_o)          Re(eps_o)
#
        0.000000           0.902378E-5        1.006388           0.732975E-5        1.005759
        0.002000           0.902429E-5        1.006388           0.733012E-5        1.005759
        0.004000           0.902481E-5        1.006388           0.733050E-5        1.005759
        0.006000           0.902532E-5        1.006388           0.733087E-5        1.005759
        0.008000           0.902583E-5        1.006388           0.733125E-5        1.005760
        0.010000           0.902634E-5        1.006389           0.733162E-5        1.005760
        0.012000           0.902685E-5        1.006389           0.733199E-5        1.005760
        0.014000           0.902737E-5        1.006389           0.733237E-5        1.005760
        0.016000           0.902788E-5        1.006389           0.733274E-5        1.005760
        0.018000           0.902839E-5        1.006389           0.733312E-5        1.005760
        0.020000           0.902890E-5        1.006389           0.733349E-5        1.005761
        0.022000           0.902941E-5        1.006390           0.733387E-5        1.005761
        0.024000           0.902993E-5        1.006390           0.733424E-5        1.005761
        0.026000           0.903044E-5        1.006390           0.733461E-5        1.005761
        0.028000           0.903095E-5        1.006390           0.733499E-5        1.005761
        0.030000           0.903146E-5        1.006390           0.733537E-5        1.005761
        0.032000           0.903197E-5        1.006391           0.733574E-5        1.005761
        0.034000           0.903249E-5        1.006391           0.733611E-5        1.005762
        0.036000           0.903300E-5        1.006391           0.733649E-5        1.005762
        0.038000           0.903351E-5        1.006391           0.733686E-5        1.005762
        0.040000           0.903402E-5        1.006391           0.733724E-5        1.005762
        0.042000           0.903454E-5        1.006392           0.733761E-5        1.005762
        0.044000           0.903505E-5        1.006392           0.733799E-5        1.005762
        0.046000           0.903556E-5        1.006392           0.733836E-5        1.005762
        0.048000           0.903608E-5        1.006392           0.733874E-5        1.005763
        0.050000           0.903659E-5        1.006392           0.733911E-5        1.005763
        0.052000           0.903710E-5        1.006392           0.733949E-5        1.005763
        0.054000           0.903761E-5        1.006393           0.733986E-5        1.005763
        0.056000           0.903813E-5        1.006393           0.734024E-5        1.005763
        0.058000           0.903864E-5        1.006393           0.734061E-5        1.005763
        0.060000           0.903915E-5        1.006393           0.734099E-5        1.005763
        0.062000           0.903967E-5        1.006393           0.734137E-5        1.005764
        0.064000           0.904018E-5        1.006393           0.734174E-5        1.005764
        0.066000           0.904069E-5        1.006394           0.734211E-5        1.005764
        0.068000           0.904121E-5        1.006394           0.734249E-5        1.005764
        0.070000           0.904172E-5        1.006394           0.734287E-5        1.005764
        0.072000           0.904223E-5        1.006394           0.734324E-5        1.005764
        0.074000           0.904275E-5        1.006394           0.734362E-5        1.005764
        0.076000           0.904326E-5        1.006395           0.734399E-5        1.005765
        0.078000           0.904377E-5        1.006395           0.734437E-5        1.005765
        0.080000           0.904428E-5        1.006395           0.734474E-5        1.005765
        0.082000           0.904480E-5        1.006395           0.734511E-5        1.005765
        0.084000           0.904531E-5        1.006395           0.734549E-5        1.005765
        0.086000           0.904583E-5        1.006395           0.734587E-5        1.005765
