#                                                                     
# $$\                                                                 
# $$ |                                                                
# $$ |     $$\   $$\ $$$$$$\$$$$\   $$$$$$\  $$$$$$$\                 
# $$ |     $$ |  $$ |$$  _$$  _$$\ $$  __$$\ $$  __$$\                
# $$ |     $$ |  $$ |$$ / $$ / $$ |$$$$$$$$ |$$ |  $$ |               
# $$ |     $$ |  $$ |$$ | $$ | $$ |$$   ____|$$ |  $$ |               
# $$$$$$$$\\$$$$$$  |$$ | $$ | $$ |\$$$$$$$\ $$ |  $$ |               
# \________|\______/ \__| \__| \__| \_______|\__|  \__|               
#                                                                     
#                   Fork Lumen 2.1.0                                  
#                   Branch is nlresp                                  
#        MPI+OpenMP+SLK+SLEPC+HDF5_MPI_IO Build                       
#               http://www.lumen-code.org                             
#
# Absorption @ Q(1):   1.00000000      0.00000000      0.00000000    [q->0 direction]
#
# [GEN] GF Energies                               : Perdew, Burke & Ernzerhof(X)+Perdew, Burke & Ernzerhof(C)
# [GEN] Green`s Function                          : Resonant
#
# [GEN] Gauge                                     : Length
# [GEN] [r,Vnl] included                          : yes
#
# DIP band range                                  :   1  10
# DIP band range limits                           :   5   6
# DIP e/h energy range                            :  -1.00000000     -1.00000000    [eV]
# RL vectors in the sum                           :  1837
# [r,Vnl] included                                : yes
# Bands ordered                                   : yes
# Direct v evaluation                             : no
# Approach used                                   : G-space v
# Dipoles computed                                : R V P [G-space]
# Wavefunctions                                   : Perdew, Burke & Ernzerhof(X)+Perdew, Burke & Ernzerhof(C)
#
#
# [K] Identifier                                  :  2787
# [K] Dimension                                   :  20480
# [K] Bands                                       :   1  10
# [K] Exchange res                                : yes
# [K] Correlation res                             : yes
# [K] Kernel`s coupling                           : no
# [K] Exchange cpl                                : no
# [K] Correlation cpl                             : no
# [K] W interaction is bare                       : no
# [K] ALDA kernel in R-space                      : no
# [K] RL vectors exchange                         :   531
# [K] RL vectors correlation                      :   89
# [K] E/h energy range                            :  -1.00000000     -1.00000000    [eV]
# [K] Coupling range                              :   100.000000      100.000000    [o/o]
# [W] Interaction is diagonal                     : no
# [W] Matrix size                                 :   89
# [W] Bands                                       :   1  10
# [W] e/h energy range                            :  -1.00000000     -1.00000000    [eV]
# [W] Poles                                       :   100.000000    [o/o]
# [W] RL vectors in the sum                       :  1837
# [W] [r,Vnl] included                            : yes
# [W] Field direction                             :  0.999999975E-5   0.00000000      0.00000000   
# [W] Coulomb Cutoff                              : none
# [W] Hxc Kernel                                  : HARTREE
# [RIM] RL components col                         : 0
# [RIM] Random points col                         : 0
# [SOC] Perturbative SOC                          : no
# [X] Response Kind                               : BAR
#
# Diamagnetic term                                
# Ao                                              :  -9.57322311    [nel]
# A                                               :  -9.61486530    [nel]
#
#    E[1] [eV]          Im(eps)            Re(eps)            Im(eps_o)          Re(eps_o)
#
        0.000000           0.888953E-5        1.006337           0.722069E-5        1.005714
        0.002000           0.889003E-5        1.006338           0.722105E-5        1.005714
        0.004000           0.889053E-5        1.006338           0.722142E-5        1.005714
        0.006000           0.889103E-5        1.006338           0.722179E-5        1.005714
        0.008000           0.889153E-5        1.006338           0.722215E-5        1.005714
        0.010000           0.889203E-5        1.006338           0.722252E-5        1.005714
        0.012000           0.889253E-5        1.006338           0.722288E-5        1.005714
        0.014000           0.889303E-5        1.006339           0.722326E-5        1.005715
        0.016000           0.889353E-5        1.006339           0.722362E-5        1.005715
        0.018000           0.889404E-5        1.006339           0.722399E-5        1.005715
        0.020000           0.889453E-5        1.006339           0.722435E-5        1.005715
        0.022000           0.889504E-5        1.006339           0.722472E-5        1.005715
        0.024000           0.889554E-5        1.006340           0.722509E-5        1.005715
        0.026000           0.889604E-5        1.006340           0.722545E-5        1.005715
        0.028000           0.889654E-5        1.006340           0.722582E-5        1.005716
        0.030000           0.889704E-5        1.006340           0.722618E-5        1.005716
        0.032000           0.889754E-5        1.006340           0.722655E-5        1.005716
        0.034000           0.889804E-5        1.006340           0.722692E-5        1.005716
        0.036000           0.889854E-5        1.006341           0.722728E-5        1.005716
        0.038000           0.889905E-5        1.006341           0.722764E-5        1.005716
        0.040000           0.889955E-5        1.006341           0.722802E-5        1.005716
        0.042000           0.890005E-5        1.006341           0.722838E-5        1.005717
        0.044000           0.890055E-5        1.006341           0.722875E-5        1.005717
        0.046000           0.890105E-5        1.006341           0.722911E-5        1.005717
        0.048000           0.890155E-5        1.006342           0.722948E-5        1.005717
        0.050000           0.890205E-5        1.006342           0.722985E-5        1.005717
        0.052000           0.890256E-5        1.006342           0.723022E-5        1.005717
        0.054000           0.890306E-5        1.006342           0.723058E-5        1.005718
        0.056000           0.890356E-5        1.006342           0.723095E-5        1.005718
        0.058000           0.890406E-5        1.006343           0.723131E-5        1.005718
        0.060000           0.890456E-5        1.006343           0.723168E-5        1.005718
        0.062000           0.890506E-5        1.006343           0.723205E-5        1.005718
        0.064000           0.890556E-5        1.006343           0.723241E-5        1.005718
        0.066000           0.890607E-5        1.006343           0.723278E-5        1.005718
        0.068000           0.890657E-5        1.006343           0.723315E-5        1.005718
        0.070000           0.890707E-5        1.006344           0.723352E-5        1.005719
        0.072000           0.890757E-5        1.006344           0.723388E-5        1.005719
        0.074000           0.890807E-5        1.006344           0.723425E-5        1.005719
        0.076000           0.890858E-5        1.006344           0.723462E-5        1.005719
        0.078000           0.890908E-5        1.006344           0.723498E-5        1.005719
        0.080000           0.890958E-5        1.006344           0.723535E-5        1.005719
        0.082000           0.891008E-5        1.006345           0.723572E-5        1.005720
        0.084000           0.891058E-5        1.006345           0.723608E-5        1.005720
        0.086000           0.891109E-5        1.006345           0.723645E-5        1.005720
        0.088000           0.891159E-5        1.006345           0.723682E-5        1.005720
        0.090000           0.891209E-5        1.006345           0.723719E-5        1.005720
        0.092000           0.891259E-5        1.006346           0.723756E-5        1.005720
        0.094000           0.891310E-5        1.006346           0.723792E-5        1.005720
        0.096000           0.891360E-5        1.006346           0.723829E-5        1.005720
        0.098000           0.891410E-5        1.006346           0.723865E-5        1.005721
        0.100000           0.891461E-5        1.006346           0.723903E-5        1.005721
        0.102000           0.891511E-5        1.006346           0.723939E-5        1.005721
        0.104000           0.891561E-5        1.006347           0.723976E-5        1.005721
        0.106000           0.891611E-5        1.006347           0.724013E-5        1.005721
        0.108000           0.891662E-5        1.006347           0.724049E-5        1.005721
        0.110000           0.891712E-5        1.006347           0.724086E-5        1.005722
        0.112000           0.891762E-5        1.006347           0.724123E-5        1.005722
        0.114000           0.891812E-5        1.006348           0.724159E-5        1.005722
        0.116000           0.891863E-5        1.006348           0.724197E-5        1.005722
        0.118000           0.891913E-5        1.006348           0.724233E-5        1.005722
        0.120000           0.891963E-5        1.006348           0.724270E-5        1.005722
        0.122000           0.892014E-5        1.006348           0.724307E-5        1.005722
        0.124000           0.892064E-5        1.006348           0.724343E-5        1.005723
        0.126000           0.892114E-5        1.006349           0.724380E-5        1.005723
        0.128000           0.892165E-5        1.006349           0.724417E-5        1.005723
        0.130000           0.892215E-5        1.006349           0.724454E-5        1.005723
        0.132000           0.892265E-5        1.006349           0.724491E-5        1.005723
        0.134000           0.892315E-5        1.006349           0.724528E-5        1.005723
        0.136000           0.892366E-5        1.006349           0.724564E-5        1.005723
        0.138000           0.892416E-5        1.006350           0.724601E-5        1.005724
        0.140000           0.892467E-5        1.006350           0.724638E-5        1.005724
        0.142000           0.892517E-5        1.006350           0.724674E-5        1.005724
        0.144000           0.892567E-5        1.006350           0.724711E-5        1.005724
        0.146000           0.892618E-5        1.006350           0.724748E-5        1.005724
        0.148000           0.892668E-5        1.006351           0.724785E-5        1.005724
        0.150000           0.892718E-5        1.006351           0.724822E-5        1.005724
        0.152000           0.892769E-5        1.006351           0.724859E-5        1.005725
        0.154000           0.892819E-5        1.006351           0.724895E-5        1.005725
        0.156000           0.892870E-5        1.006351           0.724932E-5        1.005725
        0.158000           0.892920E-5        1.006351           0.724969E-5        1.005725
        0.160000           0.892970E-5        1.006352           0.725006E-5        1.005725
        0.162000           0.893021E-5        1.006352           0.725043E-5        1.005725
        0.164000           0.893071E-5        1.006352           0.725080E-5        1.005726
        0.166000           0.893121E-5        1.006352           0.725116E-5        1.005726
        0.168000           0.893172E-5        1.006352           0.725153E-5        1.005726
        0.170000           0.893222E-5        1.006353           0.725190E-5        1.005726
        0.172000           0.893273E-5        1.006353           0.725227E-5        1.005726
        0.174000           0.893323E-5        1.006353           0.725264E-5        1.005726
        0.176000           0.893374E-5        1.006353           0.725301E-5        1.005726
        0.178000           0.893424E-5        1.006353           0.725338E-5        1.005726
        0.180000           0.893474E-5        1.006353           0.725374E-5        1.005727
        0.182000           0.893525E-5        1.006354           0.725411E-5        1.005727
        0.184000           0.893575E-5        1.006354           0.725447E-5        1.005727
        0.186000           0.893626E-5        1.006354           0.725484E-5        1.005727
        0.188000           0.893676E-5        1.006354           0.725522E-5        1.005727
        0.190000           0.893726E-5        1.006354           0.725559E-5        1.005727
        0.192000           0.893777E-5        1.006354           0.725596E-5        1.005728
        0.194000           0.893827E-5        1.006355           0.725632E-5        1.005728
        0.196000           0.893878E-5        1.006355           0.725669E-5        1.005728
        0.198000           0.893928E-5        1.006355           0.725706E-5        1.005728
        0.200000           0.893979E-5        1.006355           0.725743E-5        1.005728
        0.202000           0.894029E-5        1.006355           0.725780E-5        1.005728
        0.204000           0.894080E-5        1.006356           0.725817E-5        1.005728
        0.206000           0.894130E-5        1.006356           0.725854E-5        1.005728
        0.208000           0.894181E-5        1.006356           0.725891E-5        1.005729
        0.210000           0.894231E-5        1.006356           0.725928E-5        1.005729
        0.212000           0.894282E-5        1.006356           0.725965E-5        1.005729
        0.214000           0.894332E-5        1.006356           0.726002E-5        1.005729
        0.216000           0.894383E-5        1.006357           0.726039E-5        1.005729
        0.218000           0.894433E-5        1.006357           0.726075E-5        1.005729
        0.220000           0.894484E-5        1.006357           0.726112E-5        1.005730
        0.222000           0.894534E-5        1.006357           0.726149E-5        1.005730
        0.224000           0.894585E-5        1.006357           0.726186E-5        1.005730
        0.226000           0.894635E-5        1.006358           0.726223E-5        1.005730
        0.228000           0.894686E-5        1.006358           0.726260E-5        1.005730
        0.230000           0.894736E-5        1.006358           0.726297E-5        1.005730
        0.232000           0.894787E-5        1.006358           0.726333E-5        1.005730
        0.234000           0.894837E-5        1.006358           0.726371E-5        1.005731
        0.236000           0.894888E-5        1.006358           0.726408E-5        1.005731
        0.238000           0.894939E-5        1.006359           0.726444E-5        1.005731
        0.240000           0.894989E-5        1.006359           0.726482E-5        1.005731
        0.242000           0.895040E-5        1.006359           0.726518E-5        1.005731
        0.244000           0.895090E-5        1.006359           0.726556E-5        1.005731
        0.246000           0.895141E-5        1.006359           0.726592E-5        1.005731
        0.248000           0.895191E-5        1.006359           0.726629E-5        1.005732
        0.250000           0.895242E-5        1.006360           0.726666E-5        1.005732
        0.252000           0.895292E-5        1.006360           0.726703E-5        1.005732
        0.254000           0.895343E-5        1.006360           0.726740E-5        1.005732
        0.256000           0.895394E-5        1.006360           0.726777E-5        1.005732
        0.258000           0.895444E-5        1.006360           0.726814E-5        1.005732
        0.260000           0.895495E-5        1.006361           0.726851E-5        1.005732
        0.262000           0.895545E-5        1.006361           0.726888E-5        1.005733
        0.264000           0.895596E-5        1.006361           0.726925E-5        1.005733
        0.266000           0.895647E-5        1.006361           0.726962E-5        1.005733
        0.268000           0.895697E-5        1.006361           0.726999E-5        1.005733
        0.270000           0.895748E-5        1.006361           0.727036E-5        1.005733
        0.272000           0.895798E-5        1.006362           0.727073E-5        1.005733
        0.274000           0.895849E-5        1.006362           0.727110E-5        1.005733
        0.276000           0.895900E-5        1.006362           0.727146E-5        1.005734
        0.278000           0.895950E-5        1.006362           0.727184E-5        1.005734
        0.280000           0.896001E-5        1.006362           0.727221E-5        1.005734
        0.282000           0.896052E-5        1.006363           0.727258E-5        1.005734
        0.284000           0.896102E-5        1.006363           0.727295E-5        1.005734
        0.286000           0.896153E-5        1.006363           0.727332E-5        1.005734
        0.288000           0.896204E-5        1.006363           0.727369E-5        1.005734
        0.290000           0.896255E-5        1.006363           0.727406E-5        1.005735
        0.292000           0.896305E-5        1.006363           0.727443E-5        1.005735
        0.294000           0.896356E-5        1.006364           0.727480E-5        1.005735
        0.296000           0.896406E-5        1.006364           0.727517E-5        1.005735
        0.298000           0.896457E-5        1.006364           0.727554E-5        1.005735
        0.300000           0.896508E-5        1.006364           0.727591E-5        1.005735
        0.302000           0.896559E-5        1.006364           0.727628E-5        1.005736
        0.304000           0.896609E-5        1.006364           0.727665E-5        1.005736
        0.306000           0.896660E-5        1.006365           0.727702E-5        1.005736
        0.308000           0.896710E-5        1.006365           0.727739E-5        1.005736
        0.310000           0.896761E-5        1.006365           0.727776E-5        1.005736
        0.312000           0.896812E-5        1.006365           0.727813E-5        1.005736
        0.314000           0.896863E-5        1.006365           0.727851E-5        1.005736
        0.316000           0.896913E-5        1.006366           0.727887E-5        1.005736
        0.318000           0.896964E-5        1.006366           0.727924E-5        1.005737
        0.320000           0.897015E-5        1.006366           0.727961E-5        1.005737
        0.322000           0.897065E-5        1.006366           0.727998E-5        1.005737
        0.324000           0.897116E-5        1.006366           0.728035E-5        1.005737
        0.326000           0.897167E-5        1.006366           0.728072E-5        1.005737
        0.328000           0.897218E-5        1.006367           0.728110E-5        1.005737
        0.330000           0.897268E-5        1.006367           0.728146E-5        1.005738
        0.332000           0.897319E-5        1.006367           0.728184E-5        1.005738
        0.334000           0.897370E-5        1.006367           0.728221E-5        1.005738
        0.336000           0.897421E-5        1.006367           0.728257E-5        1.005738
        0.338000           0.897472E-5        1.006368           0.728295E-5        1.005738
        0.340000           0.897522E-5        1.006368           0.728332E-5        1.005738
        0.342000           0.897573E-5        1.006368           0.728369E-5        1.005738
        0.344000           0.897624E-5        1.006368           0.728407E-5        1.005738
        0.346000           0.897674E-5        1.006368           0.728443E-5        1.005739
        0.348000           0.897725E-5        1.006368           0.728480E-5        1.005739
        0.350000           0.897776E-5        1.006369           0.728517E-5        1.005739
        0.352000           0.897827E-5        1.006369           0.728555E-5        1.005739
        0.354000           0.897878E-5        1.006369           0.728591E-5        1.005739
        0.356000           0.897929E-5        1.006369           0.728629E-5        1.005739
        0.358000           0.897979E-5        1.006369           0.728666E-5        1.005740
        0.360000           0.898030E-5        1.006369           0.728703E-5        1.005740
        0.362000           0.898081E-5        1.006370           0.728740E-5        1.005740
        0.364000           0.898132E-5        1.006370           0.728777E-5        1.005740
        0.366000           0.898183E-5        1.006370           0.728814E-5        1.005740
        0.368000           0.898234E-5        1.006370           0.728851E-5        1.005740
        0.370000           0.898284E-5        1.006370           0.728888E-5        1.005740
        0.372000           0.898335E-5        1.006371           0.728926E-5        1.005741
        0.374000           0.898386E-5        1.006371           0.728963E-5        1.005741
        0.376000           0.898437E-5        1.006371           0.729000E-5        1.005741
        0.378000           0.898488E-5        1.006371           0.729037E-5        1.005741
        0.380000           0.898539E-5        1.006371           0.729074E-5        1.005741
        0.382000           0.898590E-5        1.006371           0.729111E-5        1.005741
        0.384000           0.898641E-5        1.006372           0.729148E-5        1.005741
        0.386000           0.898691E-5        1.006372           0.729185E-5        1.005742
        0.388000           0.898742E-5        1.006372           0.729223E-5        1.005742
        0.390000           0.898793E-5        1.006372           0.729260E-5        1.005742
        0.392000           0.898844E-5        1.006372           0.729297E-5        1.005742
        0.394000           0.898895E-5        1.006373           0.729334E-5        1.005742
        0.396000           0.898946E-5        1.006373           0.729371E-5        1.005742
        0.398000           0.898997E-5        1.006373           0.729409E-5        1.005742
        0.400000           0.899048E-5        1.006373           0.729446E-5        1.005743
        0.402000           0.899098E-5        1.006373           0.729483E-5        1.005743
        0.404000           0.899149E-5        1.006374           0.729520E-5        1.005743
        0.406000           0.899200E-5        1.006374           0.729557E-5        1.005743
        0.408000           0.899251E-5        1.006374           0.729595E-5        1.005743
        0.410000           0.899302E-5        1.006374           0.729632E-5        1.005743
        0.412000           0.899353E-5        1.006374           0.729669E-5        1.005744
        0.414000           0.899404E-5        1.006374           0.729706E-5        1.005744
        0.416000           0.899455E-5        1.006375           0.729743E-5        1.005744
        0.418000           0.899506E-5        1.006375           0.729780E-5        1.005744
        0.420000           0.899557E-5        1.006375           0.729818E-5        1.005744
        0.422000           0.899608E-5        1.006375           0.729855E-5        1.005744
        0.424000           0.899659E-5        1.006375           0.729892E-5        1.005744
        0.426000           0.899710E-5        1.006375           0.729930E-5        1.005745
        0.428000           0.899761E-5        1.006376           0.729966E-5        1.005745
        0.430000           0.899812E-5        1.006376           0.730003E-5        1.005745
        0.432000           0.899863E-5        1.006376           0.730041E-5        1.005745
        0.434000           0.899913E-5        1.006376           0.730078E-5        1.005745
        0.436000           0.899964E-5        1.006376           0.730115E-5        1.005745
        0.438000           0.900015E-5        1.006377           0.730153E-5        1.005745
        0.440000           0.900067E-5        1.006377           0.730190E-5        1.005746
        0.442000           0.900118E-5        1.006377           0.730227E-5        1.005746
        0.444000           0.900168E-5        1.006377           0.730264E-5        1.005746
        0.446000           0.900219E-5        1.006377           0.730301E-5        1.005746
        0.448000           0.900270E-5        1.006377           0.730339E-5        1.005746
        0.450000           0.900321E-5        1.006378           0.730376E-5        1.005746
        0.452000           0.900372E-5        1.006378           0.730413E-5        1.005746
        0.454000           0.900423E-5        1.006378           0.730450E-5        1.005747
        0.456000           0.900474E-5        1.006378           0.730488E-5        1.005747
        0.458000           0.900525E-5        1.006378           0.730525E-5        1.005747
        0.460000           0.900576E-5        1.006379           0.730562E-5        1.005747
        0.462000           0.900627E-5        1.006379           0.730600E-5        1.005747
        0.464000           0.900678E-5        1.006379           0.730637E-5        1.005747
        0.466000           0.900729E-5        1.006379           0.730674E-5        1.005747
        0.468000           0.900781E-5        1.006379           0.730712E-5        1.005748
        0.470000           0.900832E-5        1.006379           0.730749E-5        1.005748
        0.472000           0.900883E-5        1.006380           0.730786E-5        1.005748
        0.474000           0.900934E-5        1.006380           0.730823E-5        1.005748
        0.476000           0.900985E-5        1.006380           0.730861E-5        1.005748
        0.478000           0.901036E-5        1.006380           0.730897E-5        1.005748
        0.480000           0.901087E-5        1.006380           0.730935E-5        1.005749
        0.482000           0.901138E-5        1.006381           0.730972E-5        1.005749
