#                                                                     
# $$\                                                                 
# $$ |                                                                
# $$ |     $$\   $$\ $$$$$$\$$$$\   $$$$$$\  $$$$$$$\                 
# $$ |     $$ |  $$ |$$  _$$  _$$\ $$  __$$\ $$  __$$\                
# $$ |     $$ |  $$ |$$ / $$ / $$ |$$$$$$$$ |$$ |  $$ |               
# $$ |     $$ |  $$ |$$ | $$ | $$ |$$   ____|$$ |  $$ |               
# $$$$$$$$\\$$$$$$  |$$ | $$ | $$ |\$$$$$$$\ $$ |  $$ |               
# \________|\______/ \__| \__| \__| \_______|\__|  \__|               
#                                                                     
#                   Fork Lumen 2.1.0                                  
#                   Branch is nlresp                                  
#        MPI+OpenMP+SLK+SLEPC+HDF5_MPI_IO Build                       
#               http://www.lumen-code.org                             
#
# Absorption @ Q(1):   1.00000000      0.00000000      0.00000000    [q->0 direction]
#
# [GEN] GF Energies                               : Perdew, Burke & Ernzerhof(X)+Perdew, Burke & Ernzerhof(C)
# [GEN] Green`s Function                          : Resonant
#
# [GEN] Gauge                                     : Length
# [GEN] [r,Vnl] included                          : yes
#
# DIP band range                                  :   1  10
# DIP band range limits                           :   5   6
# DIP e/h energy range                            :  -1.00000000     -1.00000000    [eV]
# RL vectors in the sum                           :  1837
# [r,Vnl] included                                : yes
# Bands ordered                                   : yes
# Direct v evaluation                             : no
# Approach used                                   : G-space v
# Dipoles computed                                : R V P [G-space]
# Wavefunctions                                   : Perdew, Burke & Ernzerhof(X)+Perdew, Burke & Ernzerhof(C)
#
#
# [K] Identifier                                  :   5964
# [K] Dimension                                   :  29160
# [K] Bands                                       :   1  10
# [K] Exchange res                                : yes
# [K] Correlation res                             : yes
# [K] Kernel`s coupling                           : no
# [K] Exchange cpl                                : no
# [K] Correlation cpl                             : no
# [K] W interaction is bare                       : no
# [K] ALDA kernel in R-space                      : no
# [K] RL vectors exchange                         :   531
# [K] RL vectors correlation                      :   89
# [K] E/h energy range                            :  -1.00000000     -1.00000000    [eV]
# [K] Coupling range                              :   100.000000      100.000000    [o/o]
# [W] Interaction is diagonal                     : no
# [W] Matrix size                                 :   89
# [W] Bands                                       :   1  10
# [W] e/h energy range                            :  -1.00000000     -1.00000000    [eV]
# [W] Poles                                       :   100.000000    [o/o]
# [W] RL vectors in the sum                       :  1837
# [W] [r,Vnl] included                            : yes
# [W] Field direction                             :  0.999999975E-5   0.00000000      0.00000000   
# [W] Coulomb Cutoff                              : none
# [W] Hxc Kernel                                  : HARTREE
# [RIM] RL components col                         : 0
# [RIM] Random points col                         : 0
# [SOC] Perturbative SOC                          : no
# [X] Response Kind                               : BAR
#
# Diamagnetic term                                
# Ao                                              :  -9.57431698    [nel]
# A                                               :  -9.61616421    [nel]
#
#    E[1] [eV]          Im(eps)            Re(eps)            Im(eps_o)          Re(eps_o)
#
        0.000000           0.897274E-5        1.006369           0.728052E-5        1.005740
        0.002000           0.897325E-5        1.006370           0.728090E-5        1.005740
        0.004000           0.897376E-5        1.006370           0.728127E-5        1.005740
        0.006000           0.897427E-5        1.006370           0.728164E-5        1.005741
        0.008000           0.897477E-5        1.006370           0.728201E-5        1.005741
        0.010000           0.897528E-5        1.006370           0.728238E-5        1.005741
        0.012000           0.897579E-5        1.006371           0.728275E-5        1.005741
        0.014000           0.897630E-5        1.006371           0.728312E-5        1.005741
        0.016000           0.897680E-5        1.006371           0.728350E-5        1.005741
        0.018000           0.897731E-5        1.006371           0.728387E-5        1.005741
        0.020000           0.897782E-5        1.006371           0.728424E-5        1.005741
        0.022000           0.897833E-5        1.006371           0.728461E-5        1.005742
        0.024000           0.897883E-5        1.006372           0.728498E-5        1.005742
        0.026000           0.897934E-5        1.006372           0.728535E-5        1.005742
        0.028000           0.897985E-5        1.006372           0.728572E-5        1.005742
        0.030000           0.898036E-5        1.006372           0.728609E-5        1.005742
        0.032000           0.898087E-5        1.006372           0.728646E-5        1.005742
        0.034000           0.898137E-5        1.006373           0.728683E-5        1.005743
        0.036000           0.898188E-5        1.006373           0.728720E-5        1.005743
        0.038000           0.898239E-5        1.006373           0.728757E-5        1.005743
        0.040000           0.898290E-5        1.006373           0.728794E-5        1.005743
        0.042000           0.898341E-5        1.006373           0.728832E-5        1.005743
        0.044000           0.898392E-5        1.006373           0.728869E-5        1.005743
        0.046000           0.898442E-5        1.006374           0.728906E-5        1.005743
        0.048000           0.898493E-5        1.006374           0.728943E-5        1.005744
        0.050000           0.898544E-5        1.006374           0.728980E-5        1.005744
        0.052000           0.898595E-5        1.006374           0.729017E-5        1.005744
        0.054000           0.898646E-5        1.006374           0.729054E-5        1.005744
        0.056000           0.898697E-5        1.006374           0.729091E-5        1.005744
        0.058000           0.898747E-5        1.006375           0.729129E-5        1.005744
        0.060000           0.898798E-5        1.006375           0.729165E-5        1.005744
        0.062000           0.898849E-5        1.006375           0.729203E-5        1.005745
        0.064000           0.898900E-5        1.006375           0.729240E-5        1.005745
        0.066000           0.898951E-5        1.006375           0.729277E-5        1.005745
        0.068000           0.899002E-5        1.006376           0.729314E-5        1.005745
        0.070000           0.899053E-5        1.006376           0.729351E-5        1.005745
        0.072000           0.899104E-5        1.006376           0.729389E-5        1.005745
        0.074000           0.899154E-5        1.006376           0.729425E-5        1.005745
        0.076000           0.899205E-5        1.006376           0.729462E-5        1.005746
        0.078000           0.899256E-5        1.006377           0.729500E-5        1.005746
        0.080000           0.899307E-5        1.006377           0.729536E-5        1.005746
        0.082000           0.899358E-5        1.006377           0.729574E-5        1.005746
        0.084000           0.899409E-5        1.006377           0.729611E-5        1.005746
        0.086000           0.899460E-5        1.006377           0.729648E-5        1.005746
