#                                                                     
# $$\                                                                 
# $$ |                                                                
# $$ |     $$\   $$\ $$$$$$\$$$$\   $$$$$$\  $$$$$$$\                 
# $$ |     $$ |  $$ |$$  _$$  _$$\ $$  __$$\ $$  __$$\                
# $$ |     $$ |  $$ |$$ / $$ / $$ |$$$$$$$$ |$$ |  $$ |               
# $$ |     $$ |  $$ |$$ | $$ | $$ |$$   ____|$$ |  $$ |               
# $$$$$$$$\\$$$$$$  |$$ | $$ | $$ |\$$$$$$$\ $$ |  $$ |               
# \________|\______/ \__| \__| \__| \_______|\__|  \__|               
#                                                                     
#                   Fork Lumen 2.1.0                                  
#                   Branch is nlresp                                  
#        MPI+OpenMP+SLK+SLEPC+HDF5_MPI_IO Build                       
#               http://www.lumen-code.org                             
#
# Absorption @ Q(1):   1.00000000      0.00000000      0.00000000    [q->0 direction]
#
# [GEN] GF Energies                               : Perdew, Burke & Ernzerhof(X)+Perdew, Burke & Ernzerhof(C)
# [GEN] Green`s Function                          : Resonant
#
# [GEN] Gauge                                     : Length
# [GEN] [r,Vnl] included                          : yes
#
# DIP band range                                  :   1  10
# DIP band range limits                           :   5   6
# DIP e/h energy range                            :  -1.00000000     -1.00000000    [eV]
# RL vectors in the sum                           :  1807
# [r,Vnl] included                                : yes
# Bands ordered                                   : yes
# Direct v evaluation                             : no
# Approach used                                   : G-space v
# Dipoles computed                                : R V P [G-space]
# Wavefunctions                                   : Perdew, Burke & Ernzerhof(X)+Perdew, Burke & Ernzerhof(C)
#
#
# [K] Identifier                                  :   8031
# [K] Dimension                                   :   320
# [K] Bands                                       :   1  10
# [K] Exchange res                                : yes
# [K] Correlation res                             : yes
# [K] Kernel`s coupling                           : no
# [K] Exchange cpl                                : no
# [K] Correlation cpl                             : no
# [K] W interaction is bare                       : no
# [K] ALDA kernel in R-space                      : no
# [K] RL vectors exchange                         :   531
# [K] RL vectors correlation                      :   89
# [K] E/h energy range                            :  -1.00000000     -1.00000000    [eV]
# [K] Coupling range                              :   100.000000      100.000000    [o/o]
# [W] Interaction is diagonal                     : no
# [W] Matrix size                                 :   89
# [W] Bands                                       :   1  10
# [W] e/h energy range                            :  -1.00000000     -1.00000000    [eV]
# [W] Poles                                       :   100.000000    [o/o]
# [W] RL vectors in the sum                       :  1807
# [W] [r,Vnl] included                            : yes
# [W] Field direction                             :  0.999999975E-5   0.00000000      0.00000000   
# [W] Coulomb Cutoff                              : none
# [W] Hxc Kernel                                  : HARTREE
# [RIM] RL components col                         : 0
# [RIM] Random points col                         : 0
# [SOC] Perturbative SOC                          : no
# [X] Response Kind                               : BAR
#
# Diamagnetic term                                
# Ao                                              :  -9.58086777    [nel]
# A                                               :  -9.62097359    [nel]
#
#    E[1] [eV]          Im(eps)            Re(eps)            Im(eps_o)          Re(eps_o)
#
        0.000000           0.908697E-5        1.006397           0.741398E-5        1.005780
        0.002000           0.908749E-5        1.006397           0.741436E-5        1.005780
        0.004000           0.908801E-5        1.006397           0.741475E-5        1.005780
        0.006000           0.908853E-5        1.006397           0.741513E-5        1.005780
        0.008000           0.908904E-5        1.006397           0.741551E-5        1.005780
        0.010000           0.908956E-5        1.006398           0.741589E-5        1.005781
        0.012000           0.909008E-5        1.006398           0.741627E-5        1.005781
        0.014000           0.909060E-5        1.006398           0.741665E-5        1.005781
        0.016000           0.909112E-5        1.006398           0.741704E-5        1.005781
        0.018000           0.909163E-5        1.006398           0.741742E-5        1.005781
        0.020000           0.909216E-5        1.006399           0.741780E-5        1.005781
        0.022000           0.909267E-5        1.006399           0.741818E-5        1.005782
        0.024000           0.909319E-5        1.006399           0.741856E-5        1.005782
        0.026000           0.909371E-5        1.006399           0.741895E-5        1.005782
        0.028000           0.909423E-5        1.006399           0.741933E-5        1.005782
        0.030000           0.909475E-5        1.006400           0.741971E-5        1.005782
        0.032000           0.909527E-5        1.006400           0.742009E-5        1.005782
        0.034000           0.909579E-5        1.006400           0.742047E-5        1.005782
        0.036000           0.909630E-5        1.006400           0.742085E-5        1.005782
        0.038000           0.909682E-5        1.006400           0.742124E-5        1.005783
        0.040000           0.909734E-5        1.006400           0.742162E-5        1.005783
        0.042000           0.909786E-5        1.006401           0.742200E-5        1.005783
        0.044000           0.909838E-5        1.006401           0.742238E-5        1.005783
        0.046000           0.909890E-5        1.006401           0.742276E-5        1.005783
        0.048000           0.909942E-5        1.006401           0.742315E-5        1.005783
        0.050000           0.909994E-5        1.006401           0.742353E-5        1.005784
        0.052000           0.910046E-5        1.006402           0.742391E-5        1.005784
        0.054000           0.910098E-5        1.006402           0.742429E-5        1.005784
        0.056000           0.910150E-5        1.006402           0.742468E-5        1.005784
        0.058000           0.910201E-5        1.006402           0.742506E-5        1.005784
        0.060000           0.910253E-5        1.006402           0.742544E-5        1.005784
        0.062000           0.910306E-5        1.006402           0.742582E-5        1.005785
        0.064000           0.910357E-5        1.006403           0.742621E-5        1.005785
        0.066000           0.910409E-5        1.006403           0.742659E-5        1.005785
        0.068000           0.910461E-5        1.006403           0.742697E-5        1.005785
        0.070000           0.910513E-5        1.006403           0.742735E-5        1.005785
        0.072000           0.910565E-5        1.006403           0.742774E-5        1.005785
        0.074000           0.910617E-5        1.006404           0.742812E-5        1.005785
        0.076000           0.910669E-5        1.006404           0.742850E-5        1.005785
        0.078000           0.910721E-5        1.006404           0.742888E-5        1.005786
        0.080000           0.910773E-5        1.006404           0.742927E-5        1.005786
        0.082000           0.910825E-5        1.006404           0.742965E-5        1.005786
        0.084000           0.910877E-5        1.006404           0.743003E-5        1.005786
        0.086000           0.910929E-5        1.006405           0.743042E-5        1.005786
