E[1] [eV],Re(eps)_nk_4,Re(eps)_nk_6,Re(eps)_nk_8,Re(eps)_nk_10,Re(eps)_nk_12,Re(eps)_nk_14,Re(eps)_nk_16,Re(eps)_nk_18
0.000000,1.00639700,1.00634000,1.00635400,1.00638800,1.00636500,1.00636500,1.00633700,1.00636900
0.002000,1.00639700,1.00634100,1.00635500,1.00638800,1.00636500,1.00636500,1.00633800,1.00637000
0.004000,1.00639700,1.00634100,1.00635500,1.00638800,1.00636500,1.00636500,1.00633800,1.00637000
0.006000,1.00639700,1.00634100,1.00635500,1.00638800,1.00636500,1.00636500,1.00633800,1.00637000
0.008000,1.00639700,1.00634100,1.00635500,1.00638800,1.00636500,1.00636500,1.00633800,1.00637000
0.010000,1.00639800,1.00634100,1.00635500,1.00638900,1.00636600,1.00636600,1.00633800,1.00637000
0.012000,1.00639800,1.00634100,1.00635600,1.00638900,1.00636600,1.00636600,1.00633800,1.00637100
0.014000,1.00639800,1.00634200,1.00635600,1.00638900,1.00636600,1.00636600,1.00633900,1.00637100
0.016000,1.00639800,1.00634200,1.00635600,1.00638900,1.00636600,1.00636600,1.00633900,1.00637100
0.018000,1.00639800,1.00634200,1.00635600,1.00638900,1.00636600,1.00636600,1.00633900,1.00637100
0.020000,1.00639900,1.00634200,1.00635600,1.00638900,1.00636600,1.00636600,1.00633900,1.00637100
0.022000,1.00639900,1.00634200,1.00635600,1.00639000,1.00636700,1.00636700,1.00633900,1.00637100
0.024000,1.00639900,1.00634300,1.00635700,1.00639000,1.00636700,1.00636700,1.00634000,1.00637200
0.026000,1.00639900,1.00634300,1.00635700,1.00639000,1.00636700,1.00636700,1.00634000,1.00637200
0.028000,1.00639900,1.00634300,1.00635700,1.00639000,1.00636700,1.00636700,1.00634000,1.00637200
0.030000,1.00640000,1.00634300,1.00635700,1.00639000,1.00636700,1.00636700,1.00634000,1.00637200
0.032000,1.00640000,1.00634300,1.00635700,1.00639100,1.00636700,1.00636800,1.00634000,1.00637200
0.034000,1.00640000,1.00634300,1.00635800,1.00639100,1.00636800,1.00636800,1.00634000,1.00637300
0.036000,1.00640000,1.00634400,1.00635800,1.00639100,1.00636800,1.00636800,1.00634100,1.00637300
0.038000,1.00640000,1.00634400,1.00635800,1.00639100,1.00636800,1.00636800,1.00634100,1.00637300
0.040000,1.00640000,1.00634400,1.00635800,1.00639100,1.00636800,1.00636800,1.00634100,1.00637300
0.042000,1.00640100,1.00634400,1.00635800,1.00639200,1.00636800,1.00636900,1.00634100,1.00637300
0.044000,1.00640100,1.00634400,1.00635900,1.00639200,1.00636900,1.00636900,1.00634100,1.00637300
0.046000,1.00640100,1.00634400,1.00635900,1.00639200,1.00636900,1.00636900,1.00634100,1.00637400
0.048000,1.00640100,1.00634500,1.00635900,1.00639200,1.00636900,1.00636900,1.00634200,1.00637400
0.050000,1.00640100,1.00634500,1.00635900,1.00639200,1.00636900,1.00636900,1.00634200,1.00637400
0.052000,1.00640200,1.00634500,1.00635900,1.00639200,1.00636900,1.00636900,1.00634200,1.00637400
0.054000,1.00640200,1.00634500,1.00635900,1.00639300,1.00636900,1.00637000,1.00634200,1.00637400
0.056000,1.00640200,1.00634500,1.00636000,1.00639300,1.00637000,1.00637000,1.00634200,1.00637400
0.058000,1.00640200,1.00634600,1.00636000,1.00639300,1.00637000,1.00637000,1.00634300,1.00637500
