nk_1,nk_2,N_common_energy_points,rms
4,6,5001,0.000000313
4,8,5001,0.000000138
4,10,5001,0.000000084
4,12,5001,0.000000153
4,14,5001,0.000000170
4,16,5001,0.000000254
4,18,5001,0.000000149
6,8,5001,0.000000175
6,10,5001,0.000000229
6,12,5001,0.000000160
6,14,5001,0.000000143
6,16,5001,0.000000059
6,18,5001,0.000000164
8,10,5001,0.000000054
8,12,5001,0.000000015
8,14,5001,0.000000032
8,16,5001,0.000000116
8,18,5001,0.000000012
10,12,5001,0.000000069
10,14,5001,0.000000086
10,16,5001,0.000000170
10,18,5001,0.000000065
12,14,5001,0.000000017
12,16,5001,0.000000101
12,18,5001,0.000000004
14,16,5001,0.000000084
14,18,5001,0.000000021
16,18,5001,0.000000105
