nk_1,nk_2,N_common_energy_points,rms
4,6,5001,0.000071206
4,8,5001,0.000048802
4,10,5001,0.000013149
4,12,5001,0.000039419
4,14,5001,0.000040110
4,16,5001,0.000071416
4,18,5001,0.000034379
6,8,5001,0.000022564
6,10,5001,0.000058091
6,12,5001,0.000031800
6,14,5001,0.000031100
6,16,5001,0.000001762
6,18,5001,0.000036831
8,10,5001,0.000035754
8,12,5001,0.000009483
8,14,5001,0.000008883
8,16,5001,0.000022653
8,18,5001,0.000014538
10,12,5001,0.000026329
10,14,5001,0.000027007
10,16,5001,0.000058328
10,18,5001,0.000021275
12,14,5001,0.000000898
12,16,5001,0.000032004
12,18,5001,0.000005073
14,16,5001,0.000031327
14,18,5001,0.000005747
16,18,5001,0.000037058
