#                                                                     
# $$\                                                                 
# $$ |                                                                
# $$ |     $$\   $$\ $$$$$$\$$$$\   $$$$$$\  $$$$$$$\                 
# $$ |     $$ |  $$ |$$  _$$  _$$\ $$  __$$\ $$  __$$\                
# $$ |     $$ |  $$ |$$ / $$ / $$ |$$$$$$$$ |$$ |  $$ |               
# $$ |     $$ |  $$ |$$ | $$ | $$ |$$   ____|$$ |  $$ |               
# $$$$$$$$\\$$$$$$  |$$ | $$ | $$ |\$$$$$$$\ $$ |  $$ |               
# \________|\______/ \__| \__| \__| \_______|\__|  \__|               
#                                                                     
#                   Fork Lumen 2.1.0                                  
#                  Branch is bug-fixes                                
#        MPI+OpenMP+SLK+SLEPC+HDF5_MPI_IO Build                       
#               http://www.lumen-code.org                             
#
#     |k| (a.u.)         b1                 b2                 b3                 b4                 b5                 b6                 b7                 b8                 b9                 b10               k_x (rlu)          k_y (rlu)          k_z (rlu)
#
       0.00000000        -46.0847511        -20.9483566        -2.37952256       -0.212951154       -0.214177668         14.6663208         21.3822403         23.7622566         23.7643929         34.0222511        0.500000060        0.500000060        0.500000060     [L]   
      0.859948620E-2     -46.0847702        -20.9485130        -2.37874198       -0.212798953       -0.214211389         14.6661263         21.3826885         23.7631187         23.7655201         34.0193367        0.493902504        0.493902504        0.493902504   
      0.171989724E-1     -46.0848198        -20.9489880        -2.37639785       -0.212390438       -0.214267701         14.6655741         21.3839931         23.7657528         23.7688503         34.0101357        0.487804949        0.487804949        0.487804949   
      0.257984996E-1     -46.0849113        -20.9497738        -2.37249279       -0.211843416       -0.214229718         14.6647606         21.3860493         23.7702808         23.7742538         33.9933434        0.481707335        0.481707335        0.481707335   
      0.343979858E-1     -46.0850372        -20.9508724        -2.36705327       -0.211280316       -0.213954523         14.6637802         21.3887501         23.7768574         23.7815781         33.9670029        0.475609779        0.475609779        0.475609779   
      0.429974720E-1     -46.0851936        -20.9522839        -2.36013770       -0.210761100       -0.213331118         14.6627083         21.3920212         23.7856045         23.7906971         33.9289818        0.469512224        0.469512224        0.469512224   
      0.515969582E-1     -46.0853920        -20.9540005        -2.35182548       -0.210249186       -0.212327942         14.6615763         21.3958511         23.7965679         23.8015690         33.8776588        0.463414669        0.463414669        0.463414669   
      0.601964854E-1     -46.0856247        -20.9560242        -2.34218454       -0.209623471       -0.211011454         14.6603861         21.4002724         23.8097134         23.8142204         33.8125916        0.457317114        0.457317114        0.457317114   
      0.687959716E-1     -46.0858841        -20.9583511        -2.33124375       -0.208726436       -0.209526494         14.6591368         21.4053535         23.8249416         23.8287296         33.7349091        0.451219559        0.451219559        0.451219559   
      0.773954540E-1     -46.0861855        -20.9609737        -2.31898427       -0.207424879       -0.208043590         14.6578102         21.4111843         23.8421364         23.8451977         33.6471252        0.445122004        0.445122004        0.445122004   
      0.859949440E-1     -46.0865173        -20.9638920        -2.30535793       -0.205657184       -0.206692219         14.6563501         21.4178829         23.8611965         23.8636971         33.5525055        0.439024448        0.439024448        0.439024448   
      0.945944339E-1     -46.0868835        -20.9670944        -2.29031730       -0.203456536       -0.205507293         14.6546364         21.4256115         23.8820801         23.8842602         33.4542618        0.432926863        0.432926863        0.432926863   
      0.103193924        -46.0872803        -20.9705811        -2.27383757       -0.200944588       -0.204412714         14.6524696         21.4345665         23.9047832         23.9068756         33.3549461        0.426829308        0.426829308        0.426829308   
