#                                                                     
# $$\                                                                 
# $$ |                                                                
# $$ |     $$\   $$\ $$$$$$\$$$$\   $$$$$$\  $$$$$$$\                 
# $$ |     $$ |  $$ |$$  _$$  _$$\ $$  __$$\ $$  __$$\                
# $$ |     $$ |  $$ |$$ / $$ / $$ |$$$$$$$$ |$$ |  $$ |               
# $$ |     $$ |  $$ |$$ | $$ | $$ |$$   ____|$$ |  $$ |               
# $$$$$$$$\\$$$$$$  |$$ | $$ | $$ |\$$$$$$$\ $$ |  $$ |               
# \________|\______/ \__| \__| \__| \_______|\__|  \__|               
#                                                                     
#                   Fork Lumen 2.1.0                                  
#                  Branch is bug-fixes                                
#        MPI+OpenMP+SLK+SLEPC+HDF5_MPI_IO Build                       
#               http://www.lumen-code.org                             
#
#     |k| (a.u.)         b1                 b2                 b3                 b4                 b5                 b6                 b7                 b8                 b9                 b10               k_x (rlu)          k_y (rlu)          k_z (rlu)
#
       0.00000000        -40.8938828        -19.3709297        -2.37937903       -0.213850334       -0.213933915         10.6291227         16.2674141         18.6479034         18.6476364         29.8215771        0.500000060        0.500000060        0.500000060     [L]   
      0.859948620E-2     -40.8939018        -19.3710861        -2.37859845       -0.213698208       -0.213967502         10.6289272         16.2678604         18.6487656         18.6487617         29.8186646        0.493902504        0.493902504        0.493902504   
      0.171989724E-1     -40.8939552        -19.3715611        -2.37625408       -0.213289842       -0.214023396         10.6283751         16.2691650         18.6513996         18.6520901         29.8094673        0.487804949        0.487804949        0.487804949   
      0.257984996E-1     -40.8940468        -19.3723469        -2.37234902       -0.212743044       -0.213984728         10.6275606         16.2712231         18.6559277         18.6574917         29.7926807        0.481707335        0.481707335        0.481707335   
      0.343979858E-1     -40.8941689        -19.3734455        -2.36690879       -0.212180257       -0.213708550         10.6265812         16.2739258         18.6625042         18.6648102         29.7663460        0.475609779        0.475609779        0.475609779   
      0.429974720E-1     -40.8943291        -19.3748550        -2.35999322       -0.211661443       -0.213083878         10.6255083         16.2771988         18.6712494         18.6739254         29.7283363        0.469512224        0.469512224        0.469512224   
      0.515969582E-1     -40.8945274        -19.3765736        -2.35168028       -0.211149961       -0.212079138         10.6243763         16.2810287         18.6822090         18.6847878         29.6770248        0.463414669        0.463414669        0.463414669   
      0.601964854E-1     -40.8947563        -19.3785973        -2.34203887       -0.210524738       -0.210760802         10.6231871         16.2854538         18.6953545         18.6974297         29.6119728        0.457317114        0.457317114        0.457317114   
      0.687959716E-1     -40.8950195        -19.3809242        -2.33109736       -0.209628224       -0.209273770         10.6219378         16.2905388         18.7105808         18.7119293         29.5343037        0.451219559        0.451219559        0.451219559   
      0.773954540E-1     -40.8953171        -19.3835468        -2.31883717       -0.208327234       -0.207788542         10.6206102         16.2963734         18.7277718         18.7283859         29.4465389        0.445122004        0.445122004        0.445122004   
      0.859949440E-1     -40.8956528        -19.3864632        -2.30521011       -0.206560135       -0.206434637         10.6191521         16.3030758         18.7468319         18.7468700         29.3519382        0.439024448        0.439024448        0.439024448   
