E[1] [eV],Im(eps)_nbnd_30,Im(eps)_nbnd_40,Im(eps)_nbnd_50,Im(eps)_nbnd_60,Im(eps)_nbnd_70,Im(eps)_nbnd_80,Im(eps)_nbnd_90,Im(eps)_nbnd_100,Im(eps)_nbnd_110,Im(eps)_nbnd_120,Im(eps)_nbnd_130
5.000000,0.01258300,0.01085400,0.01051900,0.01046700,0.01049900,0.01050300,0.01050400,0.01050400,0.01050400,0.01050400,0.01050400
5.037593,0.01269500,0.01094300,0.01060500,0.01055200,0.01058400,0.01058800,0.01058900,0.01058900,0.01058900,0.01058900,0.01058800
5.075188,0.01281000,0.01103400,0.01069100,0.01063800,0.01067100,0.01067500,0.01067600,0.01067500,0.01067500,0.01067500,0.01067500
5.112782,0.01292700,0.01112600,0.01078000,0.01072600,0.01075900,0.01076400,0.01076400,0.01076400,0.01076400,0.01076400,0.01076400
5.150376,0.01304600,0.01122100,0.01087000,0.01081500,0.01085000,0.01085400,0.01085400,0.01085400,0.01085400,0.01085400,0.01085400
5.187970,0.01316800,0.01131800,0.01096200,0.01090700,0.01094200,0.01094600,0.01094700,0.01094600,0.01094600,0.01094600,0.01094600
5.225564,0.01329300,0.01141600,0.01105700,0.01100000,0.01103600,0.01104000,0.01104100,0.01104100,0.01104100,0.01104100,0.01104000
5.263157,0.01342100,0.01151700,0.01115300,0.01109600,0.01113200,0.01113600,0.01113700,0.01113700,0.01113700,0.01113700,0.01113600
5.300752,0.01355200,0.01162000,0.01125100,0.01119300,0.01123000,0.01123500,0.01123500,0.01123500,0.01123500,0.01123500,0.01123500
5.338346,0.01368500,0.01172500,0.01135100,0.01129300,0.01133000,0.01133500,0.01133500,0.01133500,0.01133500,0.01133500,0.01133500
5.375940,0.01382200,0.01183200,0.01145300,0.01139400,0.01143200,0.01143700,0.01143800,0.01143700,0.01143700,0.01143700,0.01143700
5.413534,0.01396200,0.01194200,0.01155800,0.01149800,0.01153700,0.01154200,0.01154200,0.01154200,0.01154200,0.01154200,0.01154200
5.451128,0.01410500,0.01205400,0.01166500,0.01160400,0.01164400,0.01164800,0.01164900,0.01164900,0.01164900,0.01164900,0.01164900
5.488721,0.01425100,0.01216900,0.01177400,0.01171300,0.01175300,0.01175800,0.01175800,0.01175800,0.01175800,0.01175800,0.01175800
5.526316,0.01440100,0.01228600,0.01188600,0.01182300,0.01186400,0.01186900,0.01187000,0.01186900,0.01186900,0.01186900,0.01186900
5.563910,0.01455400,0.01240600,0.01200000,0.01193600,0.01197800,0.01198300,0.01198400,0.01198400,0.01198300,0.01198300,0.01198300
5.601503,0.01471100,0.01252800,0.01211600,0.01205200,0.01209500,0.01210000,0.01210000,0.01210000,0.01210000,0.01210000,0.01210000
5.639097,0.01487200,0.01265300,0.01223500,0.01217000,0.01221400,0.01221900,0.01221900,0.01221900,0.01221900,0.01221900,0.01221900
