E[1] [eV],Re(eps)_nbnd_30,Re(eps)_nbnd_40,Re(eps)_nbnd_50,Re(eps)_nbnd_60,Re(eps)_nbnd_70,Re(eps)_nbnd_80,Re(eps)_nbnd_90,Re(eps)_nbnd_100,Re(eps)_nbnd_110,Re(eps)_nbnd_120,Re(eps)_nbnd_130
5.000000,2.33999500,2.22368800,2.19991000,2.19585400,2.19726000,2.19753800,2.19756100,2.19754900,2.19754000,2.19753700,2.19752700
5.037593,2.34321000,2.22638900,2.20251400,2.19844300,2.19986000,2.20013900,2.20016200,2.20014900,2.20014100,2.20013800,2.20012800
5.075188,2.34647100,2.22912900,2.20515600,2.20106900,2.20249700,2.20277600,2.20280100,2.20278700,2.20277900,2.20277600,2.20276600
5.112782,2.34978200,2.23190900,2.20783500,2.20373300,2.20517200,2.20545200,2.20547600,2.20546300,2.20545500,2.20545200,2.20544200
5.150376,2.35314300,2.23473000,2.21055300,2.20643500,2.20788500,2.20816700,2.20819100,2.20817800,2.20817000,2.20816700,2.20815700
5.187970,2.35655600,2.23759100,2.21331000,2.20917700,2.21063700,2.21092000,2.21094500,2.21093200,2.21092300,2.21092100,2.21091100
5.225564,2.36002000,2.24049400,2.21610700,2.21195800,2.21342900,2.21371400,2.21373900,2.21372600,2.21371700,2.21371400,2.21370500
5.263157,2.36353800,2.24343900,2.21894500,2.21477800,2.21626300,2.21654800,2.21657300,2.21656000,2.21655200,2.21654900,2.21653900
5.300752,2.36711000,2.24642800,2.22182400,2.21764100,2.21913700,2.21942400,2.21944900,2.21943500,2.21942800,2.21942500,2.21941500
5.338346,2.37073700,2.24946100,2.22474600,2.22054600,2.22205300,2.22234200,2.22236700,2.22235400,2.22234600,2.22234200,2.22233200
5.375940,2.37442000,2.25253900,2.22770900,2.22349300,2.22501300,2.22530300,2.22532700,2.22531400,2.22530600,2.22530300,2.22529400
5.413534,2.37816100,2.25566200,2.23071700,2.22648200,2.22801500,2.22830700,2.22833200,2.22831800,2.22831000,2.22830700,2.22829700
5.451128,2.38196000,2.25883100,2.23377000,2.22951700,2.23106200,2.23135500,2.23138000,2.23136700,2.23135900,2.23135500,2.23134600
5.488721,2.38581900,2.26204900,2.23686700,2.23259500,2.23415500,2.23444900,2.23447500,2.23446100,2.23445400,2.23445100,2.23444000
