nbnd_1,nbnd_2,N_common_energy_points,rms
30,40,400,0.645617161
30,50,400,0.733924695
30,60,400,0.732424023
30,70,400,0.725238470
30,80,400,0.724590960
30,90,400,0.724553169
30,100,400,0.724606794
30,110,400,0.724664889
30,120,400,0.724684252
30,130,400,0.724716041
40,50,400,0.236808665
40,60,400,0.289862700
40,70,400,0.308112462
40,80,400,0.311596999
40,90,400,0.311938927
40,100,400,0.312045265
40,110,400,0.312064768
40,120,400,0.312063176
40,130,400,0.312007512
50,60,400,0.108020114
50,70,400,0.156849827
50,80,400,0.164244042
50,90,400,0.164877827
50,100,400,0.164895713
50,110,400,0.164776874
50,120,400,0.164729838
50,130,400,0.164564403
60,70,400,0.061128790
60,80,400,0.069424410
60,90,400,0.070121846
60,100,400,0.070105481
60,110,400,0.069917183
60,120,400,0.069843220
60,130,400,0.069639062
70,80,400,0.008597648
70,90,400,0.009322879
70,100,400,0.009356383
70,110,400,0.009197439
70,120,400,0.009122824
70,130,400,0.008931255
80,90,400,0.000775666
80,100,400,0.001133706
80,110,400,0.001298695
80,120,400,0.001393340
80,130,400,0.001413518
90,100,400,0.000601557
90,110,400,0.000934870
90,120,400,0.001092117
90,130,400,0.001228390
100,110,400,0.000388211
100,120,400,0.000575689
100,130,400,0.000752762
110,120,400,0.000205373
110,130,400,0.000385357
120,130,400,0.000221383
