nbnd_1,nbnd_2,N_common_energy_points,rms
30,40,400,0.644074227
30,50,400,0.732169715
30,60,400,0.730080446
30,70,400,0.722705571
30,80,400,0.722011288
30,90,400,0.721961722
30,100,400,0.722000468
30,110,400,0.722049720
30,120,400,0.722064706
30,130,400,0.722095203
40,50,400,0.237683249
40,60,400,0.289819650
40,70,400,0.307847477
40,80,400,0.311267490
40,90,400,0.311594888
40,100,400,0.311681601
40,110,400,0.311688985
40,120,400,0.311680900
40,130,400,0.311623509
50,60,400,0.106419025
50,70,400,0.155262455
50,80,400,0.162625440
50,90,400,0.163247065
50,100,400,0.163241389
50,110,400,0.163107790
50,120,400,0.163052852
50,130,400,0.162884245
60,70,400,0.061060560
60,80,400,0.069334786
60,90,400,0.070027990
60,100,400,0.070003350
60,110,400,0.069809777
60,120,400,0.069732473
60,130,400,0.069527229
70,80,400,0.008576502
70,90,400,0.009297219
70,100,400,0.009318985
70,110,400,0.009151517
70,120,400,0.009071310
70,130,400,0.008877331
80,90,400,0.000770740
80,100,400,0.001108997
80,110,400,0.001259137
80,120,400,0.001344420
80,130,400,0.001362097
90,100,400,0.000584164
90,110,400,0.000907325
90,120,400,0.001057916
90,130,400,0.001195536
100,110,400,0.000379552
100,120,400,0.000561540
100,130,400,0.000740122
110,120,400,0.000200433
110,130,400,0.000381507
120,130,400,0.000221120
