E[1] [eV],Im(eps)_nbnd_10,Im(eps)_nbnd_20,Im(eps)_nbnd_30,Im(eps)_nbnd_40,Im(eps)_nbnd_50,Im(eps)_nbnd_60,Im(eps)_nbnd_70,Im(eps)_nbnd_80
5.000000,0.01012400,0.01045900,0.01049500,0.01050300,0.01050700,0.01050800,0.01050900,0.01051000
5.037593,0.01020900,0.01054400,0.01058000,0.01058800,0.01059200,0.01059300,0.01059400,0.01059500
5.075188,0.01029500,0.01063100,0.01066700,0.01067500,0.01067900,0.01068000,0.01068100,0.01068100
5.112782,0.01038300,0.01071900,0.01075500,0.01076400,0.01076700,0.01076900,0.01076900,0.01077000
5.150376,0.01047300,0.01081000,0.01084600,0.01085400,0.01085700,0.01085900,0.01086000,0.01086000
5.187970,0.01056500,0.01090200,0.01093800,0.01094600,0.01095000,0.01095100,0.01095200,0.01095200
5.225564,0.01065900,0.01099600,0.01103200,0.01104000,0.01104400,0.01104500,0.01104600,0.01104600
5.263157,0.01075400,0.01109200,0.01112800,0.01113600,0.01114000,0.01114100,0.01114200,0.01114200
5.300752,0.01085200,0.01119000,0.01122600,0.01123500,0.01123800,0.01123900,0.01124000,0.01124100
5.338346,0.01095200,0.01129000,0.01132600,0.01133500,0.01133800,0.01134000,0.01134000,0.01134100
5.375940,0.01105400,0.01139300,0.01142900,0.01143700,0.01144000,0.01144200,0.01144300,0.01144300
5.413534,0.01115800,0.01149700,0.01153300,0.01154200,0.01154500,0.01154600,0.01154700,0.01154800
5.451128,0.01126500,0.01160400,0.01164000,0.01164800,0.01165200,0.01165300,0.01165400,0.01165400
5.488721,0.01137300,0.01171300,0.01174900,0.01175800,0.01176100,0.01176200,0.01176300,0.01176400
5.526316,0.01148500,0.01182500,0.01186100,0.01186900,0.01187200,0.01187400,0.01187500,0.01187500
5.563910,0.01159800,0.01193900,0.01197500,0.01198300,0.01198700,0.01198800,0.01198900,0.01198900
5.601503,0.01171400,0.01205500,0.01209100,0.01210000,0.01210300,0.01210500,0.01210500,0.01210600
5.639097,0.01183300,0.01217400,0.01221000,0.01221900,0.01222200,0.01222400,0.01222500,0.01222500
5.676692,0.01195500,0.01229600,0.01233200,0.01234100,0.01234400,0.01234600,0.01234700,0.01234700
