E[1] [eV],Re(eps)_nbnd_10,Re(eps)_nbnd_20,Re(eps)_nbnd_30,Re(eps)_nbnd_40,Re(eps)_nbnd_50,Re(eps)_nbnd_60,Re(eps)_nbnd_70,Re(eps)_nbnd_80
5.000000,2.04828900,2.16741900,2.19034400,2.19753800,2.20108900,2.20289700,2.20395500,2.20458700
5.037593,2.05085200,2.17001700,2.19294400,2.20013900,2.20369000,2.20549800,2.20655500,2.20718800
5.075188,2.05345200,2.17265300,2.19558100,2.20277600,2.20632800,2.20813600,2.20919400,2.20982600
5.112782,2.05608900,2.17532600,2.19825700,2.20545200,2.20900400,2.21081200,2.21187000,2.21250200
5.150376,2.05876500,2.17803900,2.20097100,2.20816700,2.21171900,2.21352700,2.21458500,2.21521700
5.187970,2.06148000,2.18078900,2.20372500,2.21092000,2.21447300,2.21628100,2.21734000,2.21797100
5.225564,2.06423400,2.18358000,2.20651800,2.21371400,2.21726700,2.21907400,2.22013300,2.22076500
5.263157,2.06702800,2.18641200,2.20935200,2.21654800,2.22010100,2.22191000,2.22296700,2.22359900
5.300752,2.06986400,2.18928500,2.21222700,2.21942400,2.22297700,2.22478600,2.22584300,2.22647500
5.338346,2.07274200,2.19219900,2.21514400,2.22234200,2.22589400,2.22770300,2.22876100,2.22939300
5.375940,2.07566200,2.19515800,2.21810500,2.22530200,2.22885600,2.23066400,2.23172200,2.23235500
5.413534,2.07862500,2.19816000,2.22110800,2.22830700,2.23186000,2.23366800,2.23472700,2.23535900
5.451128,2.08163200,2.20120500,2.22415600,2.23135500,2.23490800,2.23671700,2.23777500,2.23840800
5.488721,2.08468400,2.20429700,2.22725100,2.23444900,2.23800200,2.23981100,2.24086900,2.24150200
5.526316,2.08778300,2.20743400,2.23039000,2.23758900,2.24114300,2.24295100,2.24401000,2.24464200
5.563910,2.09092800,2.21061800,2.23357700,2.24077600,2.24433000,2.24613900,2.24719700,2.24782900
5.601503,2.09412000,2.21385000,2.23681100,2.24401100,2.24756500,2.24937400,2.25043200,2.25106400
5.639097,2.09736100,2.21713200,2.24009500,2.24729500,2.25084900,2.25265800,2.25371600,2.25434800
5.676692,2.10065200,2.22046300,2.24342800,2.25062900,2.25418300,2.25599200,2.25705100,2.25768300
5.714285,2.10399300,2.22384400,2.24681200,2.25401400,2.25756800,2.25937700,2.26043600,2.26106800
5.751880,2.10738600,2.22727800,2.25024900,2.25745100,2.26100500,2.26281400,2.26387200,2.26450400
5.789474,2.11083100,2.23076500,2.25373700,2.26094000,2.26449400,2.26630300,2.26736200,2.26799400
