nbnd_1,nbnd_2,N_common_energy_points,rms
10,20,400,0.000593336
10,30,400,0.000632490
10,40,400,0.000641131
10,50,400,0.000644397
10,60,400,0.000645782
10,70,400,0.000646407
10,80,400,0.000646684
20,30,400,0.000040610
20,40,400,0.000049647
20,50,400,0.000053089
20,60,400,0.000054551
20,70,400,0.000055226
20,80,400,0.000055543
30,40,400,0.000009071
30,50,400,0.000012509
30,60,400,0.000013975
30,70,400,0.000014651
30,80,400,0.000014981
40,50,400,0.000003532
40,60,400,0.000004968
40,70,400,0.000005645
40,80,400,0.000005972
50,60,400,0.000001626
50,70,400,0.000002266
50,80,400,0.000002591
60,70,400,0.000000947
60,80,400,0.000001274
70,80,400,0.000000812
