nbnd_1,nbnd_2,N_common_energy_points,rms
10,20,400,0.138439813
10,30,400,0.162210417
10,40,400,0.169537074
10,50,400,0.173124945
10,60,400,0.174944919
10,70,400,0.176007249
10,80,400,0.176640897
20,30,400,0.023842710
20,40,400,0.031194097
20,50,400,0.034794823
20,60,400,0.036621480
20,70,400,0.037687776
20,80,400,0.038323823
30,40,400,0.007351854
30,50,400,0.010952933
30,60,400,0.012779796
30,70,400,0.013846224
30,80,400,0.014482355
40,50,400,0.003601119
40,60,400,0.005428011
40,70,400,0.006494460
40,80,400,0.007130605
50,60,400,0.001826897
50,70,400,0.002893349
50,80,400,0.003529498
60,70,400,0.001066454
60,80,400,0.001702603
70,80,400,0.000636150
