E[1] [eV],Im(eps)_nk_4,Im(eps)_nk_6,Im(eps)_nk_8,Im(eps)_nk_10,Im(eps)_nk_12,Im(eps)_nk_14,Im(eps)_nk_16,Im(eps)_nk_18
5.000000,0.01086000,0.01049900,0.01050900,0.01052100,0.01052700,0.01053000,0.01053200,0.01053300
5.037593,0.01095200,0.01058400,0.01059400,0.01060700,0.01061300,0.01061600,0.01061700,0.01061800
5.075188,0.01104700,0.01067100,0.01068100,0.01069400,0.01070000,0.01070300,0.01070400,0.01070500
5.112782,0.01114300,0.01075900,0.01077000,0.01078200,0.01078800,0.01079200,0.01079300,0.01079400
5.150376,0.01124100,0.01085000,0.01086000,0.01087300,0.01087900,0.01088200,0.01088400,0.01088500
5.187970,0.01134100,0.01094200,0.01095200,0.01096500,0.01097200,0.01097500,0.01097700,0.01097800
5.225564,0.01144400,0.01103600,0.01104600,0.01106000,0.01106600,0.01106900,0.01107100,0.01107200
5.263157,0.01154900,0.01113200,0.01114200,0.01115600,0.01116300,0.01116600,0.01116800,0.01116900
5.300752,0.01165600,0.01123000,0.01124100,0.01125400,0.01126100,0.01126400,0.01126600,0.01126800
5.338346,0.01176500,0.01133000,0.01134100,0.01135500,0.01136200,0.01136500,0.01136700,0.01136800
5.375940,0.01187700,0.01143300,0.01144300,0.01145700,0.01146400,0.01146800,0.01147000,0.01147100
5.413534,0.01199200,0.01153700,0.01154800,0.01156200,0.01156900,0.01157300,0.01157500,0.01157600
5.451128,0.01210900,0.01164400,0.01165400,0.01166900,0.01167700,0.01168000,0.01168300,0.01168400
5.488721,0.01222900,0.01175300,0.01176400,0.01177900,0.01178600,0.01179000,0.01179200,0.01179400
5.526316,0.01235200,0.01186500,0.01187500,0.01189100,0.01189800,0.01190200,0.01190400,0.01190600
5.563910,0.01247700,0.01197900,0.01198900,0.01200500,0.01201300,0.01201700,0.01201900,0.01202000
5.601503,0.01260600,0.01209600,0.01210600,0.01212200,0.01213000,0.01213400,0.01213600,0.01213800
5.639097,0.01273700,0.01221500,0.01222500,0.01224100,0.01225000,0.01225400,0.01225600,0.01225800
5.676692,0.01287200,0.01233700,0.01234700,0.01236400,0.01237200,0.01237600,0.01237900,0.01238000
