E[1] [eV],Re(eps)_nk_4,Re(eps)_nk_6,Re(eps)_nk_8,Re(eps)_nk_10,Re(eps)_nk_12,Re(eps)_nk_14,Re(eps)_nk_16,Re(eps)_nk_18
5.000000,2.21707200,2.20369000,2.20458600,2.20515400,2.20541300,2.20554300,2.20562300,2.20566700
5.037593,2.21979200,2.20628800,2.20718700,2.20775900,2.20801900,2.20815100,2.20823100,2.20827600
5.075188,2.22255300,2.20892400,2.20982600,2.21040200,2.21066300,2.21079600,2.21087700,2.21092200
5.112782,2.22535400,2.21159700,2.21250200,2.21308200,2.21334500,2.21348000,2.21356100,2.21360600
5.150376,2.22819700,2.21430900,2.21521600,2.21580100,2.21606600,2.21620100,2.21628400,2.21632900
5.187970,2.23108100,2.21706000,2.21797100,2.21855900,2.21882600,2.21896300,2.21904600,2.21909200
5.225564,2.23401000,2.21985100,2.22076400,2.22135700,2.22162700,2.22176400,2.22184800,2.22189300
5.263157,2.23698100,2.22268300,2.22359800,2.22419600,2.22446800,2.22460700,2.22469100,2.22473800
5.300752,2.23999900,2.22555600,2.22647500,2.22707700,2.22735000,2.22749000,2.22757500,2.22762100
5.338346,2.24306100,2.22847100,2.22939300,2.22999900,2.23027500,2.23041600,2.23050100,2.23054800
5.375940,2.24617000,2.23143000,2.23235400,2.23296400,2.23324300,2.23338500,2.23347100,2.23351900
5.413534,2.24932700,2.23443000,2.23535800,2.23597400,2.23625300,2.23639800,2.23648500,2.23653300
5.451128,2.25253100,2.23747700,2.23840700,2.23902800,2.23931000,2.23945500,2.23954300,2.23959200
5.488721,2.25578400,2.24056800,2.24150000,2.24212600,2.24241300,2.24255800,2.24264700,2.24269500
5.526316,2.25908900,2.24370600,2.24464100,2.24527200,2.24556000,2.24570700,2.24579600,2.24584600
5.563910,2.26244500,2.24689100,2.24782800,2.24846500,2.24875500,2.24890400,2.24899300,2.24904300
5.601503,2.26585200,2.25012300,2.25106300,2.25170500,2.25199800,2.25214900,2.25223900,2.25229000
5.639097,2.26931400,2.25340500,2.25434700,2.25499600,2.25529100,2.25544200,2.25553300,2.25558500
