nk_1,nk_2,N_common_energy_points,rms
4,6,400,1.003464614
4,8,400,1.005024581
4,10,400,0.949992298
4,12,400,0.893873145
4,14,400,0.928473210
4,16,400,0.917148251
4,18,400,0.922951688
6,8,400,0.600711026
6,10,400,0.647726763
6,12,400,0.570246288
6,14,400,0.582244898
6,16,400,0.573079109
6,18,400,0.546787990
8,10,400,0.377081490
8,12,400,0.417565055
8,14,400,0.396939270
8,16,400,0.384494309
8,18,400,0.369140628
10,12,400,0.330084328
10,14,400,0.307257125
10,16,400,0.285329401
10,18,400,0.267325118
12,14,400,0.204865148
12,16,400,0.210722691
12,18,400,0.200979408
14,16,400,0.142620540
14,18,400,0.151720843
16,18,400,0.115097339
