nk_1,nk_2,N_common_energy_points,rms
4,6,400,1.001350070
4,8,400,1.000626154
4,10,400,0.941019710
4,12,400,0.887671850
4,14,400,0.923112011
4,16,400,0.910107861
4,18,400,0.917443066
6,8,400,0.601354195
6,10,400,0.646986814
6,12,400,0.570052791
6,14,400,0.582966976
6,16,400,0.572885840
6,18,400,0.547421843
8,10,400,0.376109177
8,12,400,0.417656614
8,14,400,0.396922701
8,16,400,0.384365129
8,18,400,0.369141817
10,12,400,0.329609373
10,14,400,0.306033059
10,16,400,0.285019376
10,18,400,0.266066212
12,14,400,0.204811973
12,16,400,0.210691111
12,18,400,0.200982568
14,16,400,0.142012913
14,18,400,0.151715021
16,18,400,0.114524432
